"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
369260,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Unexpected reloaded resources on resource with fragments unloading","2017-02-24 15:21:03"
375161,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","DeadLock in Lock class in conjunction with uiSafeAcquire","2017-02-24 15:20:58"
377799,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Transactional command stack non-redoable with trigger command or wrapped operation","2017-10-11 07:07:43"
393451,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","ArrayStoreException: Implementation error in CompositeChangeDescription","2017-02-24 15:20:52"
406309,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Undo throws 'no duplicates' constraint in eclipse 4.2.2","2017-02-24 15:21:08"
413912,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Recursive attempt of WorkbenchPage activation due to runExclusive method continuing running UI event loop","2017-02-24 15:21:07"
428457,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","TransactionalPropertySource.resetPropertyValue(Object) has poor implementation.","2017-02-24 15:20:54"
428775,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Enforce transactions for the most destructive operations","2017-02-24 15:20:50"
428777,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Allow to upgrade read to write transactions","2017-02-24 15:21:04"
429315,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Inconsistent exception handling in WorkspaceCommandStackImpl and TransactionalCommandStackImpl","2017-02-24 15:21:05"
437580,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","java.io.FileNotFoundException making Help topics unavailable","2020-02-08 15:08:46"
447136,"EMF Services","Transaction","emfservices.transaction-inbox","NEW"," ---","Deadlock inside TransactionImpl","2017-02-24 15:20:54"
374641,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Need a way to force initialization of dynamic constraint providers","2017-02-24 15:21:24"
377931,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Provide the possibility to reuse the validation context from the BatchValidator","2017-02-24 15:21:24"
380376,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","XSD validator does not defect all invalid schemas","2017-02-24 15:21:21"
397306,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","org.eclipse.emf.validation.constraintProviders is not genuinely extensible","2017-02-24 15:21:20"
397327,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","IXmlConstraintDescriptor should not be deprecated","2017-02-24 15:21:27"
397332,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","equalsIgnoreCase used for nsURI comparison","2017-02-24 15:21:31"
397388,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Missing modeledConstraintProviders documentation","2019-05-14 04:54:48"
410834,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","emf.validation.tests is early startup","2019-05-14 04:55:16"
431779,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","EMFv examples earlyStartup starts all client context plugins","2017-02-24 15:21:21"
437582,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","java.io.FileNotFoundException making Help topics unavailable","2020-02-08 15:08:37"
442587,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Lookup of inherited TraversalStrategy fails for superclasses outside of the validation root's EPackage","2017-02-24 15:21:25"
458833,"EMF Services","Validation","emfservices.validation-inbox","NEW"," ---","Simplifyspecification of nsURI in target attribute of ValidationConstraints","2017-02-24 15:21:26"
381692,"EMF Services","Transaction","ahunter.eclipse","RESOLVED","FIXED","Transaction and Validation update site only contains pack200 files","2017-02-24 15:10:46"
392342,"EMF Services","Query","ahunter.eclipse","RESOLVED","FIXED","Migrate EMF Query to CBI Build","2017-02-24 14:42:13"
393262,"EMF Services","Transaction","ahunter.eclipse","RESOLVED","FIXED","Migrate EMF Transaction to CBI Build","2017-02-24 15:10:29"
393263,"EMF Services","Validation","ahunter.eclipse","RESOLVED","FIXED","Migrate EMF Validation to CBI Build","2017-02-24 15:09:06"
395680,"EMF Services","Validation","ahunter.eclipse","RESOLVED","FIXED","Remove upper bound of ICU packages dependency","2017-02-24 15:08:55"
403668,"EMF Services","Validation","ahunter.eclipse","RESOLVED","FIXED","Cannot install on M6","2017-02-24 15:08:53"
407441,"EMF Services","Validation","ahunter.eclipse","RESOLVED","FIXED","M7 fails to install","2017-02-24 15:08:59"
407681,"EMF Services","Query","ahunter.eclipse","RESOLVED","FIXED","Source bundles have a missing bundle name and provider name","2017-02-24 14:42:18"
410562,"EMF Services","Transaction","ahunter.eclipse","RESOLVED","FIXED","Improve resusability of TransactionalCommandStack","2017-02-24 15:10:31"
420670,"EMF Services","Query","ahunter.eclipse","RESOLVED","FIXED","Platform repo URL for 4.3-I builds no longer exists","2017-02-24 14:42:14"
420672,"EMF Services","Query","ahunter.eclipse","RESOLVED","FIXED","Build fails due to Dash signer being no longer available","2017-02-24 14:42:13"
