"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
420003,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","NEW"," ---","API: Pass EStructuralFeature.Setting as arguments to IDiffPolicy.considerEqual","2013-12-11 10:00:24"
512806,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","NEW"," ---","Default comparison doesent handle EClass::eSuperTypes references correctly","2017-02-28 13:10:25"
521705,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","NEW"," ---","Order of root elements of scopes is ignored","2017-08-31 12:04:26"
418572,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","NEW"," ---","Colors cannot be customized","2013-10-03 05:12:07"
495888,"EMF.Diffmerge","Co-Evolution","emfdiffmerge.ui-inbox","NEW"," ---","[CoEvolution/transposer] Many source elements for one target element","2016-06-13 05:57:33"
507582,"EMF.Diffmerge","Co-Evolution","emfdiffmerge.ui-inbox","NEW"," ---","[Mapping] Support contributive bridges","2016-11-16 03:15:29"
507863,"EMF.Diffmerge","Co-Evolution","emfdiffmerge.ui-inbox","NEW"," ---","[Mapping] Support multiple queries as query/rule inputs","2017-09-12 04:12:24"
511634,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","NEW"," ---","Wrong image on pattern application wizard","2017-09-12 04:14:36"
514498,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","NEW"," ---","IComparisonMethodFactory overriden classes","2017-04-03 04:27:31"
514782,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","NEW"," ---","Add EMF Compare-like option to ""merge all non-conflicting changes""","2017-06-07 05:47:33"
514817,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","NEW"," ---","Show ancestor value during 3-way merge","2017-09-12 04:13:12"
529025,"EMF.Diffmerge","Co-Evolution","emfdiffmerge.ui-inbox","NEW"," ---","Factor out trace update behavior","2017-12-20 11:14:49"
466319,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","ASSIGNED"," ---","Support Logical models","2015-05-29 03:52:11"
395369,"EMF.Diffmerge","UI","olivier.constant","ASSIGNED"," ---","Adding an element may trigger the move of its children","2012-11-29 08:55:50"
487583,"EMF.Diffmerge","UI","olivier.constant","ASSIGNED"," ---","Add better support for exceptions during merge operations","2016-04-20 05:51:21"
519516,"EMF.Diffmerge","Patch","abel.hegedus","RESOLVED","FIXED","Filter dialog does not allow resizing and is unusable in HiDPI","2017-07-11 13:11:11"
525385,"EMF.Diffmerge","Patch","abel.hegedus","RESOLVED","FIXED","EDataType values are serialized incorrectly into patches","2017-09-29 10:10:03"
528165,"EMF.Diffmerge","Patch","abel.hegedus","RESOLVED","FIXED","IllegalStateException thrown when generating modelpatch on a comparison with a metamodel containing a multi-valued attribute","2017-12-06 00:00:39"
422067,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","RESOLVED","FIXED","Use read-only information to increase performance","2018-01-29 08:40:17"
442141,"EMF.Diffmerge","UI","emfdiffmerge.ui-inbox","RESOLVED","FIXED","Synchronization with Properties view cannot be disabled","2018-06-04 08:24:09"
508908,"EMF.Diffmerge","Co-Evolution","emfdiffmerge.ui-inbox","RESOLVED","FIXED","[Co-Evolution]Make the BridgeJob resource persistence mechanism more flexible","2017-12-20 11:01:50"
517680,"EMF.Diffmerge","Patch","emfdiffmerge.ui-inbox","RESOLVED","FIXED","Clean up model patch UI contributions","2017-06-08 07:20:49"
526267,"EMF.Diffmerge","Patterns","emfdiffmerge.ui-inbox","RESOLVED","FIXED","Wrong characters in Pattern Instance Explorer","2018-01-29 09:07:48"
416493,"EMF.Diffmerge","Core","olivier.constant","RESOLVED","FIXED","NotSerializableException while saving EComparison","2018-09-06 08:55:12"
516234,"EMF.Diffmerge","UI","olivier.constant","RESOLVED","FIXED","Improve text comparison by using an external text viewer","2018-08-28 08:17:29"
512797,"EMF.Diffmerge","Patch","abel.hegedus","CLOSED","FIXED","Provide EMF model based persistence option for model patches","2017-03-02 03:46:32"
521379,"EMF.Diffmerge","Core","abel.hegedus","CLOSED","FIXED","org.eclipse.emf.diffmerge.connector.svn shouldn't depend on  org.eclipse.emf.diffmerge.ui.gmf","2017-12-19 10:53:20"
395370,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","about.html not included in source build","2014-08-19 05:32:06"
415145,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","HashBinaryRelation memory leak","2014-08-19 05:27:48"
416241,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Soften constraints of IMatchPolicy","2014-08-19 05:27:35"
416692,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Read-only model scopes","2014-08-19 05:27:19"
419335,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","IDiffPolicy.coverMatch == false has no effect","2014-08-19 05:22:50"
419453,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Model scopes should be responsible for resource unloading","2014-08-19 05:23:49"
429434,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Transient references should be covered for GMF","2014-08-19 05:20:02"
430124,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Category of Update Site is incorrect","2014-08-19 05:19:42"
431445,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Incorrect instantiation of FragmentedModelScope","2014-08-19 05:19:00"
431483,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","[releng] create DiffMerge versions for bugzilla","2014-08-19 05:17:51"
431489,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","modify the unload() of FragmentedmodelScope","2014-08-19 05:18:23"
431696,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","EMappingImpl.clear() should also clear the _matchAdapter member","2014-08-19 05:17:30"
432526,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","use custom load options with GMFScope","2014-08-19 05:16:31"
433284,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","the comments of some methods contains typo","2014-08-19 05:17:06"
433376,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Update the Software User Agreement","2014-08-19 05:16:48"
435046,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Slow when no matching founded","2014-08-19 05:14:37"
437109,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Addition differences are removed when merged","2014-08-19 05:13:44"
439007,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Duplicate match IDs due to empty names","2014-08-21 05:29:38"
439170,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Support for GMF should be packaged into a separate feature","2017-12-19 10:59:14"
440675,"EMF.Diffmerge","Core","emfdiffmerge.core-inbox","CLOSED","FIXED","Comparison methods: get the default for given model types","2015-01-26 09:08:54"
