"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
507364,"EMF.Parsley","Core","emfparsley-inbox","UNCONFIRMED"," ---","Support styled labels from item providers","2016-11-10 10:57:14"
519735,"EMF.Parsley","Core","emfparsley-inbox","UNCONFIRMED"," ---","Cannot Bind Xcore-Derived Edit Adapter Factory in DSL","2020-06-11 11:57:24"
519836,"EMF.Parsley","Core","emfparsley-inbox","UNCONFIRMED"," ---","Enhancement: Consider Providing ComposedAdapterFactory.Descriptor.Registry in EmfParsleyJavaGuiceModule","2017-07-18 11:22:02"
528807,"EMF.Parsley","Core","emfparsley-inbox","UNCONFIRMED"," ---","Option to keep default child and sibling context menus when actionAdd/actionChange","2017-12-14 16:54:52"
420960,"EMF.Parsley","Core","emfparsley-inbox","NEW"," ---","Dynamic EMF support","2013-11-19 02:16:47"
444696,"EMF.Parsley","Core","emfparsley-inbox","NEW"," ---","ControlFactory for references with containment","2014-09-21 15:18:41"
447954,"EMF.Parsley","Core","emfparsley-inbox","NEW"," ---","WorkbenchActionBarContributor.contributeToMenu does not contribute correctly to ""Emf Parsley"" menu","2014-10-21 09:05:45"
479548,"EMF.Parsley","DSL","emfparsley-inbox","NEW"," ---","Form Layout customization","2015-10-12 07:52:39"
485920,"EMF.Parsley","DSL","emfparsley-inbox","NEW"," ---","Wizard template for the creation of an EMF Parsley editor","2016-06-06 13:11:39"
494945,"EMF.Parsley","Core","emfparsley-inbox","NEW"," ---","Version 2.0","2018-03-05 03:36:51"
522120,"EMF.Parsley","Core","emfparsley-inbox","NEW"," ---","FeatureEditorDialog does not filter currently selected items in RAP","2017-09-11 07:06:56"
472190,"EMF.Parsley","Core","lorenzo.bettini","NEW"," ---","Increase usability/customizability of control factory","2015-10-12 07:52:59"
426280,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Initial Contribution","2015-08-16 06:28:19"
433249,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","INVALID","TableColumnLabelProvider class name is misleading","2014-08-06 04:35:27"
433251,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","bindEmfActionBarContributor is a wrong method name","2014-05-10 12:20:38"
433257,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Code duplication in the DSL","2014-08-06 13:24:58"
434577,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Remove not-so-reusable views from bundle views.common","2014-05-10 12:17:24"
441617,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Refactoring of examples location","2014-10-10 09:37:19"
447329,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","WorkbenchActionBarContributor checks undo action to ensure that actions are initialized","2014-10-17 12:43:52"
465590,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Abstract the validation phase","2015-06-08 08:10:09"
466074,"EMF.Parsley","Documentation","emfparsley-inbox","RESOLVED","FIXED","Document Configurator","2015-05-04 10:24:09"
466293,"EMF.Parsley","Documentation","emfparsley-inbox","RESOLVED","FIXED","Document Guice Bindings","2015-05-04 12:37:29"
471844,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Create Oomph setup file for EMF Parsley","2015-08-26 08:42:31"
472282,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Table columns don't resize correctly","2015-08-26 08:44:07"
472283,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Add DateWidget to Control Factory","2015-07-12 10:37:13"
479509,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","AbstractSaveableTableFormView.mostRecentCommandAffectsResource(Command) still refreshes the viewer","2015-10-12 11:08:36"
479671,"EMF.Parsley","Documentation","emfparsley-inbox","RESOLVED","FIXED","Document EditingDomain use in Parsley","2016-02-04 11:37:23"
485874,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Implement a SingletonAdapterFactoryEditingDomainProvider","2016-02-04 11:36:58"
485916,"EMF.Parsley","DSL","emfparsley-inbox","RESOLVED","FIXED","Implement a builder for merging generated plugin.xml files","2016-02-19 13:32:21"
488294,"EMF.Parsley","DSL","emfparsley-inbox","RESOLVED","DUPLICATE","The DSL should check for duplicate part ids across multiple files in the same project","2016-02-23 09:12:52"
488295,"EMF.Parsley","DSL","emfparsley-inbox","RESOLVED","DUPLICATE","Check for duplicate parts ids across files","2016-02-23 09:12:31"
494910,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","allow for defaultCreate in the AbstractControlFactory","2016-09-16 12:03:19"
502147,"EMF.Parsley","Core","emfparsley-inbox","RESOLVED","FIXED","Validation support not working in generated code","2016-10-22 10:49:01"
455727,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","FIXED","Symplify addContextMenu in ViewerInitializer","2015-09-02 12:27:48"
472281,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","FIXED","All saveable views should set the viewer as a selection provider","2015-09-10 12:18:57"
472284,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","FIXED","Compliance to Databinding 3.5 APIs","2015-07-12 05:19:28"
478072,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","FIXED","Resource field visibility in AbstractSaveableView","2015-09-25 11:05:10"
478289,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","FIXED","Add method createText(parent,style) in FormControlFactory","2015-09-25 10:29:29"
478291,"EMF.Parsley","Core","francesco.guidieri","RESOLVED","WORKSFORME","Vertical alignment for Label in the Form","2015-09-25 08:35:06"
