"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
326239,"EMFT.Henshin","Core","enrico","RESOLVED","FIXED","Throw an exception when creating a RuleApplication with ""null"" as the rule","2010-10-04 04:46:41"
330936,"EMFT.Henshin","Interpreter","enrico","RESOLVED","WONTFIX","[Interpreter] Parameter in AmalgamationUnit not passed to the kernel rule parameter","2011-02-11 05:36:38"
333231,"EMFT.Henshin","Interpreter","enrico","RESOLVED","FIXED","[Interpreter] Exception handling for script engine","2011-02-24 03:48:41"
337717,"EMFT.Henshin","Interpreter","enrico","RESOLVED","FIXED","Allow setting Parameter values via a Map<String, Object>","2011-03-01 04:40:54"
337856,"EMFT.Henshin","Interpreter","enrico","RESOLVED","FIXED","UnitApplication's undo() changes graph","2011-03-09 05:20:48"
327119,"EMFT.Henshin","UI","henshin.ck","RESOLVED","WORKSFORME","[diagram] Selection of rule elements only","2011-08-30 06:59:23"
341877,"EMFT.Henshin","Core","henshin.core-inbox","RESOLVED","FIXED","Multi-valued attributes: New values not added","2011-04-05 08:37:17"
348218,"EMFT.Henshin","Core","henshin.core-inbox","RESOLVED","FIXED","Change lower bound of transformationSystem edge to forbid Rules from not having a TransformationSystem","2012-02-02 08:48:00"
348220,"EMFT.Henshin","Core","henshin.core-inbox","RESOLVED","WONTFIX","Inconsistency between CountedUnit's subUnit (1) and Independent/Sequential/PriorityUnit's subUnits (0..*)","2012-02-02 05:52:17"
359837,"EMFT.Henshin","Core","henshin.core-inbox","RESOLVED","FIXED","getSubUnits(deep) does not work for recursive Units","2011-10-04 10:06:44"
329357,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","FIXED","CountedUnit shouldn't throw NullPointerException when count > number of times contents can be executed","2010-11-04 08:46:17"
331592,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","WONTFIX","[Interpreter]/[Editor] Application Conditions/Negative Application Conditions don't work as expected","2010-12-02 08:42:24"
333233,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","WORKSFORME","[Interpreter] Performance gain in attribute calculations?","2011-01-05 06:38:42"
337564,"EMFT.Henshin","Core","henshin.interpreter-inbox","RESOLVED","FIXED","CountedUnit should return false when a negative count is set","2011-07-07 07:58:06"
343452,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","FIXED","Wrong conditional unit results according to wrong resolved attribute conditions","2011-04-21 06:17:45"
350049,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","WONTFIX","IndependentUnit and PriorityUnit with 0 subUnits can not be executed","2012-02-02 05:50:49"
351456,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","INVALID","fdsfds","2011-07-08 03:52:38"
354168,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","DUPLICATE","getParameterValue(name) in RuleApplication","2011-08-18 06:21:32"
354720,"EMFT.Henshin","Interpreter","henshin.interpreter-inbox","RESOLVED","FIXED","RuleApplication.getParameterValue(String) always returns null","2011-08-18 06:21:32"
326236,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Sort properties intuitively, not alphabetically.","2010-10-07 09:14:46"
326237,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Deleting references deletes referenced items as well","2010-10-26 10:38:49"
326238,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based editor: Change Nested Condition display","2010-10-06 08:55:35"
329891,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Edges between unnamed nodes are not displayed properly","2010-12-15 11:13:08"
330354,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Unable to create Nodes in TransformationSystem subgraph without getting error messages","2010-12-14 07:47:56"
331585,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Unable to delete Nodes and Edges simultaneously","2010-12-14 06:07:22"
331679,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: function to automatically create AC/NAC creates incorrect mappings","2010-12-14 09:57:58"
331724,"EMFT.Henshin","Codegen","henshin.stj","RESOLVED","FIXED","[Tree-Editor] Mapping Origin/Image Dropdown provide wrong choices","2010-12-10 05:19:32"
332014,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based rule editor: Show more information on Parameter Mappings","2010-12-15 11:16:26"
332638,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based editor: Refresh ParameterMapping visualization for Parameter name changes","2011-01-21 10:28:29"
333016,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Tree-based editor: Parameter Mapping bug","2010-12-22 08:09:22"
337813,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","""Else"" subunit in Conditional Unit can not be deleted (Tree-based rule editor)","2011-02-23 10:33:58"
354239,"EMFT.Henshin","UI","henshin.stj","RESOLVED","FIXED","Missing text for Parameter and ParameterMapping in ConditionalUnit's ""New Child"" context menu (Tree-based editor)","2011-08-25 04:19:57"
330375,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Tree-based rule editor: AmalgamationUnit/ConditionalUnit doesn't display ""Parameter"" nor ""Parameter Mapping""","2010-11-19 06:34:48"
330377,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Tree-based rule editor: Mapping not updated automatically when renaming Nodes","2010-12-10 09:54:04"
334724,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Tree-based rule editor: Cannot delete Nodes in direct subgraphs of TransformationSystem","2011-01-21 10:29:31"
339201,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Allow copy&paste between henshin files (Tree-based rule editor)","2011-08-31 10:54:17"
348197,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Automatically create a Graph in Nested Conditions (Tree-based rule editor)","2011-08-19 08:45:46"
354518,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Display edges of type EObject in the editor's edge suggestion context menu (Tree-based rule editor)","2011-08-11 11:55:30"
354961,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Parameters and ParameterMappings should be displayed before contents in ConditionalUnit (Tree-based rule editor)","2011-08-17 11:30:01"
355518,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Refresh text of Parameter Mappings when a Parameter's TransformationUnit's name changes (Tree-based editor)","2011-08-23 10:47:44"
356447,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Icons in palette and property view (Edge, Node) show a red border (Visual Editor)","2011-09-01 06:57:11"
359215,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Allow Unit type to be changed [tree-based rule editor]","2011-10-05 05:22:35"
359841,"EMFT.Henshin","UI","henshin.ui-inbox","RESOLVED","FIXED","Changing unit types does not work correctly when Units are recursive","2011-10-04 10:08:58"
340992,"EMFT.Henshin","Core","enrico","CLOSED","WORKSFORME","Graph doesn't match, probably because of incorrectly populated EmfGraph.inheritanceMap","2012-07-20 14:47:11"
329894,"EMFT.Henshin","UI","henshin.ui-inbox","CLOSED","WONTFIX","Tree-based rule editor: Paste operation fails if expanded Nodes are selected","2018-02-13 14:58:01"
362384,"EMFT.Henshin","UI","henshin.ui-inbox","CLOSED","FIXED","Cannot register model to the EMF runtime (Henshin Statespace Explorer)","2012-07-20 14:49:10"
365391,"EMFT.Henshin","UI","henshin.ui-inbox","CLOSED","FIXED","Context-menu action for creating dynamic model instances (XMI-files)","2012-07-20 14:50:12"
