"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
371612,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[mwe2-ui] Error popup when invoking formatter on invalid workflow","2012-02-15 06:48:26"
374862,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","org.eclipse.emf.mwe.utils.StandaloneSetup.scanFolder() takes ages on large workspace","2012-03-21 05:03:21"
377402,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","MWE2 Launcher: Avoid NPE in InternalFileSystemCore","2012-04-23 09:03:32"
378053,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Use module name in launch config","2012-04-30 05:50:17"
380108,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","StandaloneSetup support for bundle-shape: dir or unpack=true","2012-05-21 03:42:25"
380264,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Problem running  the .mwe2 file as a MWE2 workflow","2012-05-30 05:53:08"
381322,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[MWE2] Cannot reference inner class","2012-06-01 03:33:37"
383496,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","MWE2 validator neglects to set JDT type provider","2012-07-03 03:13:19"
389710,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[EcoreGenerator] throw an error if srcPath has invalid format","2012-09-17 06:24:05"
390817,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Can't open legacy UML2 files in Juno via org.eclipse.emf.mwe.utils.Reader","2012-10-04 10:18:53"
396408,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Unhelpful additionalData signature for Issues","2012-12-12 09:48:39"
402879,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","org.eclipse.emf.mwe.core dependency to org.apache.commons.logging should be upgraded from 1.0.4 to 1.1.1","2013-03-11 06:49:01"
405268,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[EcoreGenerator] reconcile deletes required but unresolvable GenPackages","2013-04-09 12:15:35"
423305,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[mwe2] Xpand's ExtIssueReporter no longer works in MWE2","2013-12-05 08:20:41"
436742,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[MWE2] unsolicited validations of arbitrary MWE2 files","2014-06-05 14:43:39"
446300,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Confusion between absolute path and canonical path","2014-10-08 07:51:28"
452664,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[mwe2] Download antlr generator when running workflow","2014-11-21 09:43:02"
463493,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[EcoreGenerator] Prevent that EcoreGenerator produces no output while not raising error.","2015-03-30 12:48:38"
471263,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Unhelpful comment completion assist.","2015-06-29 03:03:35"
474259,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","better failure mode when .project is not found","2015-08-04 15:21:03"
474709,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","[MWE2] Xpand check failures uninformative: regression with respect to MWE","2015-08-11 10:17:00"
475098,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Mwe2Launcher doesn't work with recent versions of exec-maven-plugin","2020-02-04 02:12:30"
484574,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","DebugMonitor.finished suspends redundantly","2016-05-09 12:13:16"
484816,"EMFT","MWE","emft-mwe-inbox","NEW"," ---","Debugger can not locate workflow files","2015-12-22 13:52:21"
397659,"EMFT","Emfatic","miguel.garcia","NEW"," ---","Emfatic update site is still using the old format (not p2)","2013-01-08 06:14:22"
397660,"EMFT","Emfatic","miguel.garcia","NEW"," ---","emfatic.doc.user should not be a Java project","2013-01-08 06:17:28"
419129,"EMFT","Emfatic","miguel.garcia","NEW"," ---","Emfatic ignores missing opposite fields","2013-10-10 08:16:52"
426552,"EMFT","Emfatic","miguel.garcia","NEW"," ---","Generation of emf code from ecore will silently fail until the annotation's source property is not filled in with some value","2014-04-28 19:03:13"
371256,"EMFT","Texo","mtaal","NEW"," ---","[Texo] Support code generation which generates separated source files","2012-02-22 10:07:49"
372368,"EMFT","Texo","mtaal","NEW"," ---","[Texo] Add an example of a custom annotation model and a tutorial for the user to create his own","2012-02-23 11:23:07"
380088,"EMFT","Texo","mtaal","NEW"," ---","Add title to the proxy uri","2012-05-20 15:20:33"
380260,"EMFT","Texo","mtaal","NEW"," ---","Multi-package ecore file","2012-05-22 09:12:19"
390404,"EMFT","Texo","mtaal","NEW"," ---","Support EOperation support","2012-09-26 02:00:08"
394795,"EMFT","Texo","mtaal","NEW"," ---","ORM Annotation model generated not in sync with EMF model","2013-09-24 20:18:38"
398950,"EMFT","Texo","mtaal","NEW"," ---","Annotations on Enum literal not added in generated code.","2015-01-18 19:11:55"
399968,"EMFT","Texo","mtaal","NEW"," ---","Codegenerator ignores camel case of  package names at package path generation","2013-02-05 07:49:43"
401720,"EMFT","Texo","mtaal","NEW"," ---","Check out liquibase support icm with Texo","2013-02-25 11:10:53"
418464,"EMFT","Texo","mtaal","NEW"," ---","Support generation of persitence.xml / maintenance of orm","2013-10-02 13:40:39"
429701,"EMFT","Texo","mtaal","NEW"," ---","Mappedby annotation incompatible with joincolumn on ordered bidirectional relationship","2014-03-05 14:37:26"
436676,"EMFT","Texo","mtaal","NEW"," ---","Support JPA 2.1","2016-09-26 05:01:03"
437115,"EMFT","Texo","mtaal","NEW"," ---","Texo should generate generics type parameter for capture <?>","2014-06-11 06:37:53"
450241,"EMFT","Texo","mtaal","NEW"," ---","Texo overwrites fully qualified class names resulting in package conflicts","2014-11-06 05:37:27"
453338,"EMFT","Texo","mtaal","NEW"," ---","Add JAXB annotations to generated model code","2015-01-18 07:59:45"
469474,"EMFT","Texo","mtaal","NEW"," ---","[TEXO] Performance issue during Serializing Objects into XMI using Texo's ModelXMLSaver and loading XMI using XMIModelLoader","2015-06-06 14:07:22"
401613,"EMFT","Releng","nboldt","NEW"," ---","Adding Henshin to the EMFT update site","2013-02-24 04:30:07"
435703,"EMFT","Website","nboldt","NEW"," ---","Ecore Tools Not Available After Install","2014-05-28 11:25:01"
416323,"EMFT","JCR Management","sandro.boehme","NEW"," ---","XYZ link not working","2013-09-02 01:03:04"
446637,"EMFT","MWE","emft-mwe-inbox","REOPENED"," ---","Optionally warn if mwe2 files are filtered from bin/","2014-10-10 09:31:09"
372458,"EMFT","MWE","emft-mwe-inbox","RESOLVED","FIXED","corrupt artifacts.jar for MWE R201110310946","2012-03-15 03:30:07"
377068,"EMFT","MWE","emft-mwe-inbox","RESOLVED","FIXED","integer properties not supported by MWE2","2020-10-18 09:42:27"
378958,"EMFT","MWE","emft-mwe-inbox","RESOLVED","WORKSFORME","M7 cannot resolve workflow references","2012-06-07 10:55:39"
400814,"EMFT","MWE","emft-mwe-inbox","RESOLVED","INVALID","Start genmodel with MWE2 generates broken editor icons","2020-10-19 08:40:20"
402999,"EMFT","MWE","emft-mwe-inbox","RESOLVED","FIXED","[standaloneSetup] Add option to ignore broken project files","2013-03-12 04:58:07"
