"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
444550,"EMF","Xcore","Ed.Merks","UNCONFIRMED"," ---","An internal error occurred during: ""Xtext validation"". (err_grp: abb5b847)","2014-09-19 04:09:34"
454174,"EMF","Core","Ed.Merks","UNCONFIRMED"," ---","[platform] UI freeze of 3.7s at 19:38:28.724","2014-12-09 14:00:07"
461694,"EMF","Doc","nboldt","UNCONFIRMED"," ---","[Documentation] Luna SR2 Help Errors","2015-03-09 09:08:50"
233495,"EMF","cdo.core","emf.cdo-inbox","NEW"," ---","Implement a new EMAP to have better performance for big collection","2020-12-11 14:49:30"
257339,"EMF","cdo.ui","adietish","NEW"," ---","[UI] Make node expansion in CDOEditor asynchronous","2020-12-11 10:45:41"
338396,"EMF","cdo.core","caspar_d","NEW"," ---","Notify clients about changes in the dangling state of objects","2020-12-11 10:41:02"
350985,"EMF","cdo.core","caspar_d","NEW"," ---","Object locking operation doesn't end after given timeout","2020-12-11 10:47:34"
355287,"EMF","cdo.core","caspar_d","NEW"," ---","Error in LockingNotificationsTest.testSameBranchDifferentSession [Combined, MEM-branching, JVM, Native]","2020-12-11 10:44:31"
231201,"EMF","Edit","davidms","NEW"," ---","A readonly Texteditor for the PropertySheetPage","2018-08-21 16:56:01"
51210,"EMF","Core","Ed.Merks","NEW"," ---","XML Schema Choice Element Does Not Ensure Mutual Exclusiveness","2013-12-18 02:17:53"
74945,"EMF","Edit","Ed.Merks","NEW"," ---","AdapterFactoryTableEditor would be very helpful","2018-01-22 12:17:40"
89325,"EMF","Core","Ed.Merks","NEW"," ---","Non-containment, one-way only collections should allow duplicate entries","2020-08-10 10:39:27"
108470,"EMF","Edit","Ed.Merks","NEW"," ---","Reusable Generic Editor","2018-01-23 02:06:04"
154708,"EMF","Tools","Ed.Merks","NEW"," ---","Allow users to select save options in generated editor","2018-01-22 12:17:50"
154863,"EMF","Edit","Ed.Merks","NEW"," ---","Ability to ""inherit"" Provider Type","2018-01-22 12:17:08"
176726,"EMF","Tools","Ed.Merks","NEW"," ---","Add support for real Java5 annotations to ECore model","2018-01-22 12:17:28"
176935,"EMF","Tools","Ed.Merks","NEW"," ---","Provide GenPackage option to disable generation of editor","2018-01-22 12:17:25"
181532,"EMF","Core","Ed.Merks","NEW"," ---","support for abstract operations","2018-01-22 12:17:53"
186455,"EMF","Edit","Ed.Merks","NEW"," ---","Provide mechanism for reseting Gen* properties initial computed  values","2018-01-22 12:17:51"
196041,"EMF","XML/XMI","Ed.Merks","NEW"," ---","Allow <xsd:appinfo> to declare EReferences and EAttributes","2007-07-12 12:39:48"
