"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
337346,"Edapt","Core","herrmama","RESOLVED","FIXED","Get rid of the old name COPE","2011-03-10 15:35:23"
341784,"Edapt","Core","herrmama","RESOLVED","FIXED","Switch from migrator generation to interpretation of the history","2011-05-13 13:14:55"
341852,"Edapt","Core","herrmama","RESOLVED","FIXED","Encode custom migrations in Java","2011-05-13 13:19:02"
341982,"Edapt","Core","herrmama","RESOLVED","FIXED","Migrate reusable operations from Groovy to Java","2011-05-13 13:24:41"
343478,"Edapt","Core","herrmama","RESOLVED","FIXED","Get rid of dependency on Groovy","2011-05-13 13:25:56"
344034,"Edapt","Core","herrmama","RESOLVED","FIXED","Provide a means to set the validation level during migration","2011-04-27 15:38:46"
344037,"Edapt","Core","herrmama","RESOLVED","FIXED","Support for duplicates in attribute value lists","2011-04-27 15:54:49"
344075,"Edapt","Core","herrmama","RESOLVED","FIXED","Operation to replace a class by an association","2011-05-13 13:09:31"
345233,"Edapt","Core","herrmama","RESOLVED","FIXED","Preserve XML encoding during migration","2011-05-10 04:58:46"
345244,"Edapt","Core","herrmama","RESOLVED","FIXED","Close stream after getting the contents in FileUtils.getContents","2011-05-10 07:05:50"
345248,"Edapt","Core","herrmama","RESOLVED","FIXED","IndexOutOfBoundsException when removing an element","2011-05-10 07:25:51"
345252,"Edapt","Core","herrmama","RESOLVED","FIXED","Extend the operation Collect Feature over Reference","2011-05-10 07:48:53"
345253,"Edapt","Core","herrmama","RESOLVED","FIXED","Ignore duplicate links in ForwardConverter","2011-05-10 07:54:48"
345256,"Edapt","Core","herrmama","RESOLVED","FIXED","Ensure that UUIDs are set on the correct resources","2011-05-10 08:09:26"
345261,"Edapt","Core","herrmama","RESOLVED","FIXED","Support for in-memory migration","2011-05-10 09:26:01"
351151,"Edapt","Core","herrmama","RESOLVED","FIXED","Store fully qualified name in history model when creating custom migration","2011-07-05 05:42:04"
351155,"Edapt","Core","herrmama","RESOLVED","FIXED","Do not migrate if the model is already of the latest release","2011-07-05 06:04:02"
351158,"Edapt","Core","herrmama","RESOLVED","FIXED","Show description for a CompositeChange","2011-07-05 06:09:38"
351362,"Edapt","Core","herrmama","RESOLVED","FIXED","When deleting feature values, also delete their children","2011-07-06 14:40:11"
351364,"Edapt","Core","herrmama","RESOLVED","FIXED","Correctly set the opposite reference in the operation Create Reference","2011-07-06 14:57:07"
351365,"Edapt","Core","herrmama","RESOLVED","FIXED","Preconditions of operation are too strict compared to COPE","2011-07-06 15:10:00"
351369,"Edapt","Core","herrmama","RESOLVED","FIXED","Perform conformance check at the right times","2011-07-06 15:51:32"
353288,"Edapt","Core","herrmama","RESOLVED","FIXED","Button to enforce backup does not work","2011-07-28 04:48:33"
354702,"Edapt","Core","herrmama","RESOLVED","FIXED","Migrator loading problem when installed as a plugin","2011-08-14 03:21:51"
356625,"Edapt","Core","herrmama","RESOLVED","FIXED","Automatically propose to add a loaded resource to the history","2011-09-02 12:52:13"
360563,"Edapt","Core","herrmama","RESOLVED","FIXED","Problem when referring to the declaration generator model","2011-10-11 12:54:14"
362964,"Edapt","Core","herrmama","RESOLVED","FIXED","Namespace URI in ReleaseDialog not correctly replaced","2011-11-05 05:41:45"
360426,"Edapt","IDE","jfaltermeier","CLOSED","FIXED","Edapt keybindings conflicts with JDT refactor keybindings","2015-05-12 05:45:54"
276157,"Edapt","Core","emf.edapt-inbox","CLOSED","WONTFIX","Contributing the Metapatch DSL to EMFT Edapt","2013-08-23 08:16:27"
362469,"Edapt","Core","emf.edapt-inbox","CLOSED","WONTFIX","Handle migration of recorded feature removal","2015-02-05 09:21:32"
345336,"Edapt","Core","mkoegel","CLOSED","WONTFIX","Provide some examples to demonstrate the usage of Edapt","2019-01-10 08:58:26"
