"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
485328,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Editor's tabs header is not fully visible after resize","2016-01-07 06:23:32"
485552,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Update OSGi application wizard for 2.x","2016-02-03 03:44:50"
485847,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","[RRobot] Should allow to specify the creation location when creating a project","2016-01-14 08:51:26"
488099,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Add DnD events on ResourceTreeView","2016-02-22 03:43:50"
489073,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Add ""Generate JavaFX Setter/Getter"" option to Quick Fix Dialog on Ctrl+1","2016-03-05 06:21:03"
489074,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Add feature ""Complete JavaFX Property Definitions""","2016-03-05 06:32:31"
490201,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Add shadow field support to property boilerplate code generation.","2016-03-22 12:35:21"
490599,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Closing an unrendered part contained in an MPartStack using EPartService.hidePart() has no effect","2016-03-29 10:03:56"
491426,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Application hangs indefinitely when creating new JavaFX project","2017-10-31 05:55:55"
491599,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","*Panes in the ""javafx.scene.control"" package are missing from the wizard.","2016-04-13 10:10:25"
491600,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Add Create a ""New FXML Controller"" to the JavaFX set of wizards.","2016-04-13 10:17:31"
493985,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","CompositePart should support ""showTopTrimArea"" Tag","2016-05-19 05:05:31"
494117,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Validation: Should an initial Validation be triggered automatically?","2016-05-20 04:40:50"
494383,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","[BUG] Entire perspective disappears when the last Part in a Stack is dragged to another Stack","2016-05-24 05:30:53"
495558,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Closing the Workbench causing Error","2016-06-06 14:44:27"
496150,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Exception on closing a workbench with a composite part having a tabmenu","2016-06-15 04:08:42"
496250,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Incorrect close of PartStack with inner PartStack","2017-06-20 02:46:38"
496361,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Enhance PerspectiveSwitcherComponent: Vertical Layout, Add all Perspectives","2016-07-04 15:51:13"
496609,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Create a CommandPushButton","2016-06-23 03:53:13"
496991,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","Part should not grab the focus if it is only made visible (and not activated)","2016-06-29 07:02:57"
498431,"Efxclipse","Runtime","efxclipse-inbox","UNCONFIRMED"," ---","KeyBindings: Bindings with mutliple key strokes do not get displayed correctly in the menu item","2016-07-25 08:51:37"
498550,"Efxclipse","Tooling","efxclipse-inbox","UNCONFIRMED"," ---","Incorrect Warning ""An entry for my.bundle.id/Application.e4xmi is required in bin.includes""","2020-06-03 18:50:52"
