"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
526638,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Force metamodel registration on startup","2017-10-30 10:15:57"
540533,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","ECL Enhancement proposal for adding a nomatch option","2018-11-01 12:44:40"
551540,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","[EVL] Epsilon + Xtext: quick fixes are not shown in Xtext editor","2019-10-01 08:30:26"
569045,"Epsilon","Core","dkolovos","UNCONFIRMED"," ---","Workflow tasks cannot run in a headless Eclipse","2020-11-23 03:02:32"
548977,"Epsilon","Core","dkolovos","NEW"," ---","Successive else if statements lead to exponential parse time","2020-04-13 20:39:10"
530742,"Epsilon","Core","arcanefoam","NEW"," ---","extension point=""org.eclipse.ui.popupMenus"" deprecated","2018-02-05 11:07:30"
540646,"Epsilon","Core","arcanefoam","NEW"," ---","Make ETL Trace an Model","2018-10-31 05:47:29"
498296,"Epsilon","Core","dkolovos","NEW"," ---","Models with hrefs to itself in containment references cause duplicate elements","2016-07-21 12:11:08"
510342,"Epsilon","Core","dkolovos","NEW"," ---","Element modification in EMF Model changes allInstances list order","2017-01-12 12:56:43"
518156,"Epsilon","Core","dkolovos","NEW"," ---","Epsilon EMC CDT driver","2020-04-01 09:33:44"
534804,"Epsilon","Core","dkolovos","NEW"," ---","Add auto-detect meta model option to EMF model configuration dialog","2018-05-17 06:15:46"
540395,"Epsilon","Core","dkolovos","NEW"," ---","EmfModel getAllContents loads elements from ALL resources in the ResourceSet","2020-04-18 03:50:57"
540595,"Epsilon","Core","dkolovos","NEW"," ---","Inconsistent displayed license","2020-04-10 09:29:30"
544725,"Epsilon","Core","dkolovos","NEW"," ---","Add InputStream source field for all modules (via AbstractModule)","2019-02-22 10:56:57"
562466,"Epsilon","Core","dkolovos","NEW"," ---","Support pre and post blocks in NamedRule(?)","2020-04-24 09:19:17"
565641,"Epsilon","Core","dkolovos","NEW"," ---","org.apache.commons.csv not found during installation from update site","2020-07-29 07:15:46"
541210,"Epsilon","Core","sinadoom","NEW"," ---","Replace uses of java.lang.reflect with java.lang.invoke","2018-11-15 13:27:49"
541211,"Epsilon","Core","sinadoom","NEW"," ---","Support for simple parameters and lambdas in operation calls","2018-11-15 13:39:05"
567747,"Epsilon","Core","dkolovos","ASSIGNED"," ---","No workflow task and API description for HUTN","2020-10-09 07:44:56"
546226,"Epsilon","Core","jonathan.co","ASSIGNED"," ---","[Workflow] Missing classes when used as plugin dependency","2019-04-09 07:50:25"
564518,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Please fix your setups","2020-06-22 03:55:03"
564611,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Epsilon stack traces are no longer produced on exceptions","2020-10-23 13:41:20"
565082,"Epsilon","Core","dkolovos","RESOLVED","INVALID","EUnit does not check equivalence of models correctly","2020-07-23 10:30:59"
565427,"Epsilon","Core","dkolovos","RESOLVED","INVALID","EPL example regression from 2.1 to 2.0","2020-07-22 09:55:07"
565881,"Epsilon","Core","dkolovos","RESOLVED","FIXED","ClassCastException in NewEmfModelWizardPage#populateRootClassCombo","2020-08-07 05:52:53"
567168,"Epsilon","Core","dkolovos","RESOLVED","FIXED","Regression in Excel EMC driver","2020-09-25 07:41:06"
486453,"Epsilon","Core","agarcdomi","CLOSED","FIXED","ClassCastException in ContributeEmfWizardsAction.getEditingDomain","2016-11-06 14:15:33"
491508,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Expose isSet through EMC","2020-04-28 15:02:46"
493445,"Epsilon","Core","agarcdomi","CLOSED","FIXED","EBigDecimal is not handled correctly by sum() or product()","2016-11-06 14:15:38"
494399,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EVL] Transform rules to .select for efficient execution","2016-11-06 14:16:02"
494780,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Extend Model property getters to support isSet","2016-11-06 14:16:07"
494830,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] EolAnyType#isKind is inconsistent with AnyOperationContributor","2016-11-06 14:16:13"
495925,"Epsilon","Core","agarcdomi","CLOSED","FIXED","NullPointer exception during generation emfcode generation phase","2016-11-06 14:16:21"
496190,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EVL] Avoid repeated getAllOfKind() calls in appliesTo and use isOfType instead of contains","2016-11-06 14:16:26"
498294,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EVL] Allow entire contexts to be @lazy","2016-11-06 14:16:34"
498879,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EUnit JUnit integration] Split off Eclipse-specific parts to eunit.junit.dt","2016-11-06 14:16:40"
503152,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Extended properties broken on JDK8","2016-11-06 14:16:47"
508075,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMF] Use adapters to keep caches up to date, instead of createInstance/deleteElement","2018-08-12 08:41:33"
510531,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMF] When expand=true, EmfModel counts elements in cross-file fragmented models twice","2018-08-12 08:41:49"
510619,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EGX, Book] Template.append(String) is not documented and is inconsistent with generate(String)","2018-08-12 08:41:58"
514794,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Provide compressed update site for offline installation","2018-08-12 08:42:49"
531453,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Cannot retrieve Element.all.id","2018-08-12 08:44:16"
532788,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Eugenia] Add label.color to @gmf.node","2018-08-12 08:44:25"
533744,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMF] Keep stack traces of when cached models were acquired/released","2018-08-12 08:45:10"
533754,"Epsilon","Core","agarcdomi","CLOSED","FIXED","Fragmented models are not released completely from the Cache","2018-08-12 08:45:26"
539644,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[Exeed] Eclipse 2018-09 produces NPE in Property View for Tree metamodel","2018-09-30 17:18:46"
549628,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Long numerical constants produce string parsing exceptions","2020-05-24 11:12:35"
549729,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EMC] Make models AutoCloseable","2020-05-24 11:12:48"
560746,"Epsilon","Core","agarcdomi","CLOSED","FIXED","[EOL] Use LinkedHashSet in .closure to improve performance","2020-05-24 11:12:41"
486116,"Epsilon","Core","arcanefoam","CLOSED","WONTFIX","Provide methods to get the listeners for the ModelsConfigurationTab buttons","2018-02-16 07:00:49"
488706,"Epsilon","Core","arcanefoam","CLOSED","FIXED","[EOL] Launch configurations do not honor ""Input File""/""Output File"" in the Common tab","2020-05-24 11:12:47"
491897,"Epsilon","Core","arcanefoam","CLOSED","FIXED","A list of errata regarding the Epsilon Ebook","2018-10-16 05:57:36"
496168,"Epsilon","Core","arcanefoam","CLOSED","FIXED","EMF Models that use file based metamodels should have the xmi:schemaLocation attribute on save","2016-11-06 14:07:30"
501501,"Epsilon","Core","arcanefoam","CLOSED","FIXED","EVL DoubleClick Events shold not block the Eclipse UI","2016-11-06 14:07:55"
506187,"Epsilon","Core","arcanefoam","CLOSED","FIXED","Revert or improve ConstraintSelectTransfomer","2016-11-06 14:08:28"
527947,"Epsilon","Core","arcanefoam","CLOSED","FIXED","StringProperties does not handle default values","2018-08-12 08:43:50"
538034,"Epsilon","Core","arcanefoam","CLOSED","FIXED","Constraint appliesTo method is invoked twice","2018-10-05 11:40:25"
540424,"Epsilon","Core","arcanefoam","CLOSED","FIXED","InMemoryEmfModel replaces the existing ResourceFactoryRegistry","2020-05-24 11:12:53"
534358,"Epsilon","Core","basp91","CLOSED","DUPLICATE","Proposal to change Cached Model addToCache and removeFromCache methods","2020-05-24 11:12:57"
