"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
459315,"GEF","GEF Zest","gef-inbox","NEW"," ---","Add support for animated transitions to Zest.FX.","2016-02-03 05:01:53"
467033,"GEF","GEF Cloudio","gef-inbox","NEW"," ---","TagCloudView cannot be properly resized","2016-02-03 04:54:43"
477982,"GEF","GEF Zest","hniederhausen","NEW"," ---","Move ""default"" Zest.FX stylesheet into Zest.FX Graph Example.","2018-11-30 08:16:26"
369357,"GEF","GEF-Legacy Zest","gef-inbox","NEW"," ---","[jface] Zooming does not work when custom anchors used.","2012-01-26 16:48:07"
371091,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","FlowFigure#add(IFigure child, Object constraint, int index) can causes NPE because FlowContext is set too late.","2013-01-05 04:13:52"
371972,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","Spam bug removed","2012-02-18 11:42:35"
372171,"GEF","Misc","gef-inbox","NEW"," ---","[GEF4] Investigate support for Eclipse 4.x Application Platform","2016-04-15 01:53:05"
373168,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","Support model objects represented as both connection and non-connection edit parts","2012-03-05 17:33:04"
373801,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","Tooltip text wraps with only a period on a new line with Chinese font","2012-03-09 09:41:12"
375694,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","TextFlow: StringOutOfBoundsException","2012-12-02 13:30:40"
377699,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","AutomaticRouter does not correctly handle remove","2013-01-05 06:43:37"
379152,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","CompoundDirectedGraph does not layout properly, nodes overlap.","2012-05-11 04:58:42"
379512,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","[Palette] PaletteEditPart should use a ResourceManager to manage images","2012-05-15 05:28:29"
380586,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","ScrollingGraphicalViewer won't scroll automatically when moving nodes outside of viewer's visible area","2012-05-24 16:33:02"
380894,"GEF","GEF-Legacy Draw2d","gef-inbox","NEW"," ---","FigureUtilities lighter produce in certain cases not the correct color","2012-08-04 13:08:38"
381171,"GEF","GEF-Legacy GEF (MVC)","gef-inbox","NEW"," ---","CreateRequest should extend LocationRequest","2012-06-01 05:39:12"
