"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
227913,"GMF-Tooling","Core","aboyko","NEW"," ---","Bidi3.4: Exception is thrown when changing note font size","2010-07-19 12:17:08"
227917,"GMF-Tooling","Core","aboyko","NEW"," ---","Bidi3.4: Changes in Text Formatting is not reflected to Geoshape notes","2010-07-19 12:18:09"
230941,"GMF-Tooling","Samples","borlander","NEW"," ---","Support editparts with multi-layered figures","2012-12-11 15:11:44"
230953,"GMF-Tooling","Samples","borlander","NEW"," ---","[AllDiagrams] - Provide way to access default diagram font(s) without EditPart instance","2012-12-11 15:11:25"
233036,"GMF-Tooling","Samples","borlander","NEW"," ---","API: Get rid of 'discouraged access' warnings","2012-12-11 15:12:20"
236410,"GMF-Tooling","Samples","borlander","NEW"," ---","[All Diagrams] - Allow link filtering by type","2012-12-11 15:13:36"
239958,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ChangeNotation Action] Shortcut element should not disappear after notation change","2013-05-12 14:04:57"
241732,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[ComponentD] Inplace parser for parts","2013-05-12 14:04:20"
242709,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Interaction diagrams support","2013-05-12 14:04:33"
243151,"GMF-Tooling","Core","borlander","NEW"," ---","GMFGen model to contain explicit information about allowed link sources/targets","2010-07-19 22:10:14"
244970,"GMF-Tooling","Core","borlander","NEW"," ---","Don't generate supporting code (updater/editpolicies/model-assistant) for links to/from pure label based elements","2010-07-19 22:17:49"
248979,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","UML2 Tools feature version for GMF should increase","2013-05-12 14:04:44"
249091,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Audits/Metrics integration","2013-05-12 14:04:59"
249657,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[Samples] - Fix sample 7.39","2013-05-12 14:04:43"
252817,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","[Diagram synchronization] Correctly treat elements with alternative notation","2013-05-12 14:04:20"
265644,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","org.eclipse.uml2.diagram.common.draw2d.StereotypeLabel is obsolete","2013-05-12 14:04:17"
273883,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Get rid of phantom letters in compartment names","2013-05-12 14:04:55"
277637,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","All diagrams - regenerate the diagrams with GMF2.2RC2","2013-05-12 14:04:25"
291762,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","OCLFromStereoConstraint validate() method queries applicable stereotypes instead of applied stereotypes","2013-05-12 14:04:47"
294648,"GMF-Tooling","Samples-UML","borlander","NEW"," ---","Class Diagram: Association: double line; Null Exception; Lost all file uml data.","2013-05-12 14:04:23"
331875,"GMF-Tooling","Core","borlander","NEW"," ---","Error when node mapping has two expression labels in gmfmap","2011-07-22 05:22:05"
353744,"GMF-Tooling","Core","borlander","NEW"," ---","View.setVisible() not working as expected when using with links","2011-08-05 09:53:58"
232761,"GMF-Tooling","Core","dimzzy","NEW"," ---","Support new diagram preferences in the generator model","2010-07-19 22:10:29"
246178,"GMF-Tooling","Core","dimzzy","NEW"," ---","Zoom & scalability on SVGFigure","2010-07-19 22:18:13"
250229,"GMF-Tooling","Core","dimzzy","NEW"," ---","Rendering problem for external labels of a contained elements","2010-07-19 22:17:53"
297700,"GMF-Tooling","Samples-UML","emf.emfindex-inbox","NEW"," ---","component inside component - assoc creates 2 assocs","2013-05-12 14:04:25"
365321,"GMF-Tooling","Generation / Templates","g.hillairet","NEW"," ---","Optionally replace reconciler with explicit QVTo transformation","2011-12-20 06:35:32"
365322,"GMF-Tooling","Generation / Templates","g.hillairet","NEW"," ---","Allow user to run the QVTo transformation against the fresh gmfgen model created by bridge","2011-12-01 10:07:22"
365326,"GMF-Tooling","Generation / Templates","g.hillairet","NEW"," ---","Action to extract manual changes in gmfgen preserved by reconciler into QVTo script","2011-12-20 12:39:59"
