"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
497363,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","The svg image is not loaded correctly from the filepath: error message instead","2016-08-16 12:14:02"
498589,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","[CDO] problem with referencing a model","2016-07-27 11:49:03"
499604,"Gendoc","Others","gendoc-inbox","UNCONFIRMED"," ---","[Papyrus] new method in Papyrus bundle to replace linked elements","2016-11-25 12:01:44"
499614,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","No generation when the document archive contains two files with the same name","2016-08-16 05:35:45"
501967,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","[GenDoc] Variable diagram image quality","2016-09-23 11:05:18"
518539,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Wrong image file path in <image> tag","2017-06-27 04:58:17"
518540,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Does not support *.svg image.","2017-06-29 23:09:08"
518671,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","MPapyrus diagrams under a package does not exist in generated document","2017-11-02 03:39:57"
519743,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Integration of Gendoc with Reqcycle","2017-07-17 04:45:36"
519744,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Run out of memory problem","2017-07-17 04:32:36"
539284,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","The size of the image cannot go higher than a 17.51cm width","2018-09-20 09:18:08"
559004,"Gendoc","Core","gendoc-inbox","UNCONFIRMED"," ---","Subdocument with fragments","2020-01-15 10:56:49"
515693,"Gendoc","Core","mohamed-ali.bachtobji","UNCONFIRMED"," ---","Open GENDOC starting window as a background task","2018-03-23 07:44:56"
492845,"Gendoc","Core","gendoc-inbox","NEW"," ---","[OpenDocument] Include and rich text does not work for Open Document templates","2016-05-02 15:16:47"
499373,"Gendoc","Core","gendoc-inbox","NEW"," ---","[fragment] polymorphism does not work with fragment","2016-08-08 12:15:31"
508052,"Gendoc","Others","gendoc-inbox","NEW"," ---","Table of contents in default template","2017-06-22 09:40:48"
508594,"Gendoc","Others","gendoc-inbox","NEW"," ---","Provide Gendoc samples on git repository","2016-12-02 05:40:49"
509948,"Gendoc","Core","gendoc-inbox","NEW"," ---","getDiagram(d:Diagram, el : Sequence(OclAny)) in the GMF bundle does not work if the diagram is open in Papyrus if using absolute URIs","2017-01-04 14:13:19"
538984,"Gendoc","Core","gendoc-inbox","NEW"," ---","Generate doc from json, (and from REST API)","2018-09-12 09:56:38"
543515,"Gendoc","Others","gendoc-inbox","NEW"," ---","Gendoc tutorial error in static image section","2019-01-17 02:22:18"
492352,"Gendoc","Core","jan.celmer","NEW"," ---","Provide a test template to help Gendoc Validation","2016-04-25 07:35:10"
506543,"Gendoc","UI","antonio.campesino.robles","ASSIGNED"," ---","Support for tracking changes in the generated documents.","2017-06-26 02:41:53"
501477,"Gendoc","Core","mohamed-ali.bachtobji","ASSIGNED"," ---","Include Tag does not replace variables","2018-01-09 04:52:14"
514712,"Gendoc","Core","mohamed-ali.bachtobji","ASSIGNED"," ---","[ODT] Fill automatically the draw:name to a unique id","2018-02-22 10:35:24"
515681,"Gendoc","Core","mohamed-ali.bachtobji","ASSIGNED"," ---","Tag names should not be allowed as variable names","2018-03-23 07:44:33"
492419,"Gendoc","UI","jan.celmer","REOPENED"," ---","Gendoc Menu icon too big","2016-11-23 09:57:40"
535656,"Gendoc","Core","anne.haugommard","RESOLVED","FIXED","[Table] Cell containing multiple values are not displayed correctly in generated document","2018-07-26 03:02:41"
535660,"Gendoc","Core","anne.haugommard","RESOLVED","FIXED","[Table] Table cell containing special characters (<,>...) corrupts the generated document","2018-07-26 03:02:48"
