"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
325255,"Hudson","GIT","webmaster","NEW"," ---","Git polling manually triggered; and history","2015-02-26 09:38:50"
325326,"Hudson","Core","webmaster","NEW"," ---","Add time-zone information to job execution times","2015-02-26 09:36:17"
363652,"Hudson","Core","winston.prakash","NEW"," ---","Handle unable to delete workspace more gracefully","2012-01-18 05:47:24"
363607,"Hudson","GIT","schristou88","ASSIGNED"," ---","Manual hudson build from git repo fails with ""Nothing to do""","2016-08-30 02:36:50"
321504,"Hudson","Core","winston.prakash","REOPENED"," ---","People list contains duplicates and is incomplete","2013-02-04 20:52:11"
363891,"Hudson","Core","winston.prakash","REOPENED"," ---","builds frequently triggered due to ""content change"" when content has not changed","2013-05-08 22:46:06"
353885,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","Complete Hudson Project Metadata creation","2011-09-23 08:32:46"
354271,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","Create initial project plan for Hudson","2011-08-19 13:15:14"
355202,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","Migrate the Wiki from wiki.hudson-ci.org","2014-01-13 07:04:16"
356207,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","Lock request for Xtext aggregation","2011-09-20 11:20:45"
358032,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","typo in eclipse.org/hudson/","2011-09-23 08:29:38"
360449,"Hudson","CVS","duncan.r.mills","RESOLVED","FIXED","Remove the term Hack from CVSSCM.java constructor comment","2011-10-10 21:05:16"
361690,"Hudson","Core","duncan.r.mills","RESOLVED","NOT_ECLIPSE","Work out the diffs between vanilla activation 1.1.1 jar and Hudson version","2011-11-23 08:22:11"
362975,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","Provide an EPUB (e-book) version of the Hudson Book","2011-11-28 14:44:59"
363058,"Hudson","WWW","duncan.r.mills","RESOLVED","FIXED","link to Hudson project proposal on main Hudson page intro is dead","2011-11-08 09:43:54"
364988,"Hudson","Core","duncan.r.mills","RESOLVED","FIXED","Migrate from Hudson Special version of JavaBeans Activation Framework","2013-02-04 21:17:14"
311912,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Allow committers to rename jobs they can modify","2013-07-02 15:41:02"
354029,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial Contribution - Core","2011-09-19 15:20:15"
354031,"Hudson","SVN","winston.prakash","RESOLVED","FIXED","Initial Contribution - SVN Plugin","2011-12-22 12:58:22"
354032,"Hudson","Maven 3","winston.prakash","RESOLVED","FIXED","Initial Contribution - Maven HPI Plugin","2011-12-22 13:15:45"
354033,"Hudson","CVS","winston.prakash","RESOLVED","FIXED","Initial Contribution - CVS Plugin","2011-12-22 12:59:04"
354034,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial Contribution - Test Harness","2011-12-22 12:59:33"
354035,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial Contribution - UI Test","2011-12-22 13:00:04"
354036,"Hudson","GIT","winston.prakash","RESOLVED","FIXED","Initial Contribution - GIT Plugin","2011-12-22 13:00:29"
354037,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial Contribution - Native Packaging","2011-12-22 13:16:16"
354038,"Hudson","SSH Slaves","winston.prakash","RESOLVED","FIXED","Initial Contribution - SSH Slaves Plugin","2011-12-22 13:01:02"
354039,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial Contribution - Update Center Generator","2011-12-22 13:01:31"
354526,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Initial code contribution for Hudson-war project","2011-12-22 13:08:07"
358136,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Libraries: Please check compatibility of LOG4J 1.2.13","2011-09-21 21:27:58"
358146,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Libraries: Verify Hudson with ANT 1.8.2","2011-09-21 21:26:20"
358148,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Libraries: Test with Upgraded version of ANTLR","2011-09-21 21:27:15"
358467,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Libraries: Verify Hudson with plexus-classworlds 2.4","2011-09-21 21:23:36"
359454,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Test upgrading to a newer version of Spring security (2.0.7)","2011-10-20 21:20:03"
359645,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Checks needed on  Excalibur Logkit Version: 1.0.1","2011-10-07 14:02:22"
360470,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Remove ORO dependency","2011-10-10 21:20:08"
360473,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Upgrade JSTL 1.2 if possible","2011-10-11 02:56:31"
360525,"Hudson","Core","winston.prakash","RESOLVED","FIXED","Test Core with Spring 2.5.2 or 2.5.6","2011-10-12 04:12:26"
365319,"Hudson","SVN","winston.prakash","RESOLVED","FIXED","Remove spurious copyright statement from SubversionEventHandlerImpl","2011-12-01 17:10:04"
365921,"Hudson","Core","winston.prakash","RESOLVED","WORKSFORME","Make hudson https urls work reliable","2013-03-05 11:15:22"
366134,"Hudson","Core","bobfoster","VERIFIED","FIXED","Redirect Embedded Security WIKI link in help to Eclipse","2013-08-29 07:48:44"
357197,"Hudson","WWW","duncan.r.mills","VERIFIED","FIXED","Implement Stub download and source pages for Hudson Metadata","2012-04-19 06:26:19"
359647,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Please check compatibility of Jersey 1.8","2012-06-18 10:46:28"
360037,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Please check compatibility of Jaxen 1.1.3","2012-06-18 10:47:01"
360545,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Investigate pulling some of the smaller libraries into Core","2012-06-18 10:44:16"
361544,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Need to include Ganymed SSH-2 in Hudson Distribution","2012-06-18 10:49:33"
361669,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Investigate the use of XMLPull and upgrade to 1.1.3.4 if relevant","2012-06-18 10:58:54"
362786,"Hudson","Core","winston.prakash","VERIFIED","WORKSFORME","NPE when changing default view","2013-03-15 10:24:13"
364596,"Hudson","Core","winston.prakash","VERIFIED","FIXED","Test Hudson without the Excalibur Logkit jar file","2012-04-19 06:28:24"
358138,"Hudson","Core","winston.prakash","CLOSED","DUPLICATE","Libraries: Please test hudson with ANT 1.8.2","2011-09-21 21:26:20"
359039,"Hudson","Core","winston.prakash","CLOSED","FIXED","Staged candidate hudson-war-2.1.2.war contains old ssh-slaves and subversion plugins","2011-12-22 11:07:18"
363343,"Hudson","Core","winston.prakash","CLOSED","WORKSFORME","Eclipse-RT-Jetty view is corrupt","2013-02-28 07:33:32"
363711,"Hudson","Core","winston.prakash","CLOSED","DUPLICATE","Error 500 during doWipeOutWorkspace","2011-12-15 08:25:21"
367410,"Hudson","Core","winston.prakash","CLOSED","FIXED","Shortcut icon does not have the new eclipse icon","2012-01-13 09:39:07"
367413,"Hudson","Core","winston.prakash","CLOSED","FIXED","New Eclipse HUdson logo is no longer a link hotspot to the site homepage","2012-01-13 09:39:52"
367438,"Hudson","Core","winston.prakash","CLOSED","FIXED","Failure only junit graph reports need to instal graph plugin","2013-01-30 11:32:02"
