"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
533362,"JTS","General","jts-inbox","UNCONFIRMED"," ---","http://repo.locationtech.org/ is down","2018-04-08 21:01:25"
547009,"JTS","General","jts-inbox","UNCONFIRMED"," ---","Problems with the Location Tech Repo","2019-05-06 10:33:47"
528619,"JTS","Servers","dracodoc","NEW"," ---","Changes to Nexus Indexes","2016-07-12 15:04:13"
528667,"JTS","Website","mbrung","NEW"," ---","Import blog post from locationtech community in locationtech.org website","2017-11-13 12:03:24"
528605,"JTS","General","webmaster","NEW"," ---","Create LT Nexus repos for SFCurve, GeoBench, JTS, GeoTrellis, and uDig","2018-01-17 09:49:08"
528609,"JTS","Servers","webmaster","NEW"," ---","Issues with registering for mailing lists","2016-02-24 16:54:25"
528614,"JTS","Servers","webmaster","NEW"," ---","Publishing GeoMesa to Maven Central","2016-05-27 13:44:37"
528621,"JTS","Servers","webmaster","NEW"," ---","LT GeoMesa Hudson is unreachable","2016-07-18 08:16:35"
528638,"JTS","Servers","webmaster","NEW"," ---","GeoGig HIPP instance ramdisk request","2016-12-20 15:20:17"
528642,"JTS","Servers","webmaster","NEW"," ---","http://locationtech.org/list-of-projects returns an error","2017-03-05 10:23:20"
528643,"JTS","Servers","webmaster","NEW"," ---","Edit Program Committee members LocationCon","2017-02-28 13:26:28"
528655,"JTS","Servers","webmaster","NEW"," ---","GitHub IP validation webhooks seems to failing intermittently","2017-05-22 14:11:53"
528658,"JTS","Servers","webmaster","NEW"," ---","GitHub write access for locationtech/proj4j","2017-09-08 11:30:33"
528602,"JTS","Servers","webmaster","RESOLVED","FIXED","Unable to edit geogig website details","2016-02-08 14:37:29"
528617,"JTS","Servers","chris_laffra","RESOLVED","FIXED","https://repo.locationtech.org/ is down","2016-06-27 08:49:24"
528623,"JTS","Servers","dracodoc","RESOLVED","FIXED","Enable CodeCov integration for LocationTech GeoMesa","2016-08-31 13:11:03"
528628,"JTS","Servers","dracodoc","RESOLVED","FIXED","Create HIPP instance for GeoTrellis","2016-11-11 12:09:01"
