"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
240394,"Java Server Faces","Core","cameron.bateman","NEW"," ---","workspace file locking and other issues with JSF tag introspection","2013-02-07 14:13:37"
268407,"Java Server Faces","JSF Tools","debajit.adhikary","NEW"," ---","Focus not set properly after activating faces-config editor with the keyboard","2010-12-09 11:25:41"
268426,"Java Server Faces","JSF Tools","debajit.adhikary","NEW"," ---","Objects on Navigation Rule tab of faces-config editor aren't accessible","2010-12-09 11:24:57"
267958,"Java Server Faces","Core","gerry.kessler","NEW"," ---","[WPE] API - WPE Palette for html and jsp tags uses bad tag uri and names","2014-09-09 15:39:48"
267319,"Java Server Faces","UI","ian.trimble","NEW"," ---","UI (and some API?) required to allow non-plugin approach to DT Skin registration","2014-09-09 15:37:07"
215849,"Java Server Faces","Core","cameron.bateman","NEW"," ---","TestTagCreationFactory fails randomly","2008-02-07 14:09:53"
216704,"Java Server Faces","JSF Tools","cameron.bateman","NEW"," ---","3 JUnit issues when running in dev. env.","2008-02-07 14:09:09"
217135,"Java Server Faces","Core","cameron.bateman","NEW"," ---","TestIJavaTestDescriptor2_ChangeStability has failed spuriously in build","2008-01-30 13:31:28"
219030,"Java Server Faces","Core","cameron.bateman","NEW"," ---","IValidationMessage should be replaced with Diagnostic","2008-04-01 14:31:32"
219035,"Java Server Faces","Core","cameron.bateman","NEW"," ---","Diagnostics need to be scoped by source with preference overrides keyed accordingly","2008-02-15 17:19:31"
220789,"Java Server Faces","Core","cameron.bateman","NEW"," ---","ReferencedBeans not considered during EL Validation","2008-03-26 16:11:25"
222460,"Java Server Faces","JSF Tools","cameron.bateman","NEW"," ---","EL Validation failures on java type signatures when source is unavailable","2008-04-01 02:44:08"
222485,"Java Server Faces","JSF Tools","cameron.bateman","NEW"," ---","EL Validation indicating coercion issue when there shouldn't be","2008-03-26 15:57:47"
222490,"Java Server Faces","JSF Tools","cameron.bateman","NEW"," ---","EL Validation should give different warning when coercing from super to sub","2008-03-26 15:59:06"
222526,"Java Server Faces","UI","cameron.bateman","NEW"," ---","LayoutManager is not reset in the updateFigure method of DefaultFigureHandler class","2008-04-15 17:31:29"
