"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
361364,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Refactoring to switch to DLTK 3","2012-02-27 06:25:14"
363467,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Build a real p2 repo (i.e. with a category)","2012-02-27 06:25:17"
363471,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Ensure bundles and features are in version 0.1.0","2012-02-27 06:25:20"
363489,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Support for long comments with '=' signs","2012-07-12 18:18:41"
363493,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","File src/main.lua is created even with existing sources","2012-02-27 06:25:15"
363495,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Automate the nightly update site publishing","2012-02-27 06:25:18"
363501,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Wrong word selection on double click","2012-04-01 13:58:01"
364051,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","LDT web page should make it clear that this is an Open Source tool","2012-02-27 06:25:19"
364582,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","[doc] Setup automatic generation of help plug-in from Wiki doc","2012-02-27 06:25:15"
366148,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","Wrong coloring with hexadecimal constants","2012-02-27 06:25:19"
361409,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Rework the new Lua project wizard","2012-02-27 06:25:13"
361432,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Outline is not available opening Lua file","2012-02-27 06:25:16"
363304,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Unable to open a lua file","2012-02-27 06:25:15"
363922,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Wrong completion ""forr"" template","2012-02-27 06:25:17"
364131,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Enable code formatting","2012-02-27 06:25:19"
364840,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Implement auto close for strings","2012-02-27 06:25:14"
365339,"LDT","LuaDevelopmentTools","kkinfoo","RESOLVED","FIXED","Formatter preferences are available on BreakPoint properties","2012-02-27 06:25:19"
364059,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","WONTFIX","Highlighting of built-in lua functions","2014-09-11 12:04:15"
364581,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","[doc] Review LDT User Guide","2012-06-04 11:16:56"
364861,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","Support convention init.lua","2012-02-27 06:25:14"
365751,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","WORKSFORME","Parse Lua comments with eclipse spell checker.","2012-06-01 14:49:32"
365771,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","Symbol occurrence highlighting is not working for function params","2012-05-16 12:59:20"
366641,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","[plan] Provide User Documentation","2012-06-04 11:17:18"
366642,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","[plan] Provide a debugger for remote Lua applications","2012-05-25 12:51:48"
366643,"LDT","LuaDevelopmentTools","ldt-inbox","RESOLVED","FIXED","[plan] Provide a code formatter","2012-09-03 09:01:53"
349055,"LDT","LuaDevelopmentTools","sbernard","RESOLVED","FIXED","Add sexy icons","2012-02-27 06:25:15"
361665,"LDT","LuaDevelopmentTools","sbernard","RESOLVED","FIXED","Create a Lua perspective","2012-02-27 06:25:15"
362041,"LDT","LuaDevelopmentTools","sbernard","RESOLVED","FIXED","Add remote debug for lua","2012-02-27 06:25:17"
362304,"LDT","LuaDevelopmentTools","sbernard","RESOLVED","INVALID","Port field form Launch configuration has no effect","2012-02-27 06:25:18"
364952,"LDT","LuaDevelopmentTools","sbernard","RESOLVED","FIXED","[formatter] Code formatter formats inside multi-line string","2012-09-03 08:59:34"
363760,"LDT","LuaDevelopmentTools","contact","RESOLVED","FIXED","New Lua Project Wizard should propose to switch to Lua perspective","2012-02-27 06:25:18"
363753,"LDT","LuaDevelopmentTools","contact","CLOSED","FIXED","jnlua for windows 64 bits platform is missing","2012-02-27 06:25:20"
366823,"LDT","LuaDevelopmentTools","contact","CLOSED","FIXED","[doc] Dead links for navigation images","2012-02-27 06:25:18"
365334,"LDT","LuaDevelopmentTools","ldt-inbox","CLOSED","FIXED","Remove workaround for bug 352826","2013-01-30 12:41:01"
