"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
421175,"Lyo","Core","lyo.core-inbox","NEW"," ---","Allow multiple resources in a response using OSLC4J","2018-05-29 16:31:44"
477858,"Lyo","Client","fernd.ffs","NEW"," ---","Contribute OSLC Javascript client to Eclipse Lyo","2017-11-06 12:52:48"
414595,"Lyo","Server","fiedler.mf","NEW"," ---","Update Bugzilla and Automation providers to work with Orion delegated UIs","2017-11-06 12:51:06"
389657,"Lyo","Client","lyo.client-inbox","NEW"," ---","separate generic oslc client and Jazz client into 2 separate eclipse projects","2017-11-06 12:49:49"
389660,"Lyo","Client","lyo.client-inbox","NEW"," ---","Refactoring of package org.eclipse.lyo.client.oslc.resources","2017-11-06 12:49:46"
402581,"Lyo","Client","lyo.client-inbox","NEW"," ---","Request for OSLC client sample, CRUD linked elements","2018-05-14 08:45:41"
414594,"Lyo","Client","lyo.client-inbox","NEW"," ---","Orion plugin improvements required to contribute to Lyo","2017-11-06 12:51:07"
440208,"Lyo","Client","lyo.client-inbox","NEW"," ---","Add basic auth capable OslcClient","2014-10-21 12:33:09"
441524,"Lyo","Client","lyo.client-inbox","NEW"," ---","OSLC Client does not check for redirect cycles","2017-11-06 12:42:07"
474171,"Lyo","Client","lyo.client-inbox","NEW"," ---","Illegal character in relatedArtifact link target causes retrieval of resource to fail silently","2015-08-03 14:29:10"
377512,"Lyo","Core","lyo.core-inbox","NEW"," ---","Input values are not validated against those defined in @OslcAllowedValue annotation.","2017-11-06 12:49:48"
392780,"Lyo","Core","lyo.core-inbox","NEW"," ---","Updated OSLC4J to include dynamic schemas","2017-11-06 12:49:51"
394006,"Lyo","Core","lyo.core-inbox","NEW"," ---","Improve JAX-RS Producer Infrastructure to Allow Better Serialization Control","2017-11-06 12:49:52"
395945,"Lyo","Core","lyo.core-inbox","NEW"," ---","Add JUnit tests for abbreviated XML writer","2017-11-06 12:49:44"
398142,"Lyo","Core","lyo.core-inbox","NEW"," ---","OSLC4J should support globalization/translation of resource shapes","2017-11-06 12:49:50"
404367,"Lyo","Core","lyo.core-inbox","NEW"," ---","Update javadoc for OSLC4J OSLC annotations","2017-11-10 09:19:14"
404683,"Lyo","Core","lyo.core-inbox","NEW"," ---","Requesting application/ld+json in OSLC4JJson4J4Provider","2013-09-09 09:45:01"
405495,"Lyo","Core","lyo.core-inbox","NEW"," ---","OslcDialog javadoc needs to specify how used on GET and POST methods","2017-11-06 12:42:09"
406394,"Lyo","Core","lyo.core-inbox","NEW"," ---","Add ""usage"" property to @OslcService annotation","2017-11-06 12:51:05"
409728,"Lyo","Core","lyo.core-inbox","NEW"," ---","Move resources from client and sample projects into OSLC4J core","2013-06-27 18:02:31"
414524,"Lyo","Core","lyo.core-inbox","NEW"," ---","Document supported OSLC4J system properties on Lyo wiki or in Javadoc comments","2013-08-06 14:22:29"
415523,"Lyo","Core","lyo.core-inbox","NEW"," ---","No support for rdf:parseType=""Collection"" for non-verbose output of RDF Collections","2013-09-09 09:17:01"
