"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
397176,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","m2e-wtp doesn't seem to respect maven war plugin's <webResources> configuration element","2020-06-03 18:46:26"
401852,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","maven generates dummy code","2020-06-03 18:54:36"
403669,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","maven-war-plugin do not pick-up all the resources specified from initial build","2013-03-18 14:53:51"
405209,"M2E-WTP","jsf","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Maven/JSF/XML/XSD uses infinite timeout for network downloads causing hard lockup","2014-10-21 01:44:28"
405559,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Error in regenerate org.eclipse.wst.common.component","2013-11-07 11:29:57"
417150,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","classpath incomplete when classifier used","2013-09-13 08:55:06"
417217,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---"," @*@ tokens not being filtered","2013-09-13 14:37:00"
420624,"M2E-WTP","overlay","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Support Ctrl+Click on URIs for web overlays","2013-10-29 09:38:37"
424199,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Maven Update Project removes Maven Dependencies","2013-12-18 17:11:29"
425053,"M2E-WTP","jpa","m2e-wtp.core-inbox","UNCONFIRMED"," ---","persistence.xml with filter var - error: cannot be resolved","2015-08-26 23:18:26"
429118,"M2E-WTP","jax-rs","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Properties set in POM file are not applied to web.xml","2014-03-10 05:32:55"
434497,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","M2E-WTP not API compatible with maven-ear-plugin org.apache.maven.plugin.ear.output.FileNameMapping","2014-05-09 09:04:25"
447716,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Missing pom.xml/pom.propeties from deployed jar projects","2015-11-02 06:36:40"
452123,"M2E-WTP","Core","m2e-wtp.core-inbox","UNCONFIRMED"," ---","Generated MANIFEST.MF line ending not using workspace default","2014-11-19 04:11:45"
