"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
371642,"MAT","Core","mat.core-inbox","NEW"," ---","Path To GC Roots gives incomplete information","2012-09-05 09:57:31"
412275,"MAT","Core","mat.core-inbox","NEW"," ---","Add support for Trove collections","2013-07-16 05:29:55"
433480,"MAT","Core","mat.core-inbox","NEW"," ---","An internal error occurred during: ""default_report  org.eclipse.mat.api:suspects"".　Java heap space","2014-05-15 13:18:59"
470369,"MAT","Core","mat.core-inbox","NEW"," ---","Better support of WeakHashMap in dominator tree/retained set","2020-02-27 06:10:27"
473113,"MAT","Core","mat.core-inbox","NEW"," ---","org.eclipse.mat.parser.index.IndexWriter$Identifier.add(IndexWriter.java 91) run out of memory","2020-11-12 10:59:44"
473493,"MAT","Core","mat.core-inbox","NEW"," ---","Add DirectMemory Consumption","2015-12-28 10:45:27"
482964,"MAT","Core","mat.core-inbox","NEW"," ---","Finalizer report does not show all objects available for finalization","2020-04-09 13:37:33"
397430,"MAT","GUI","mat.gui-inbox","NEW"," ---","Allow alternate text for icons from extensions","2018-08-27 10:56:57"
410113,"MAT","GUI","mat.gui-inbox","NEW"," ---","Java heap usage disparity","2013-06-27 05:24:31"
464412,"MAT","Core","kevin.grigorenko","ASSIGNED"," ---","java.lang.IllegalArgumentException: This object is not an array","2015-04-15 12:34:06"
442217,"MAT","Core","krum.tsvetkov","ASSIGNED"," ---","Add some queries for analysing Java EE servers","2015-12-23 20:43:25"
369047,"MAT","GUI","mat.gui-inbox","ASSIGNED"," ---","Tracking/Comparing heap dumps","2020-05-08 14:58:05"
367760,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Add address space and process data to DTFJ parsing","2012-01-20 08:45:08"
368300,"MAT","Core","andrew_johnson","RESOLVED","NOT_ECLIPSE","Loading a 25GB heap fails with a NegativeArraySizeException","2013-04-02 20:39:14"
368374,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Allow selection of undisplayed items","2012-01-16 08:35:21"
368816,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Corrupted accented field names with HPROF dumps","2012-01-17 07:08:13"
372548,"MAT","Core","andrew_johnson","RESOLVED","FIXED","ArrayIndexOutOfBoundsException with huge dump","2012-05-25 06:30:56"
372575,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Autocompletion and syntax highlighting in OQL editor","2013-05-14 04:54:28"
374960,"MAT","Core","andrew_johnson","RESOLVED","FIXED","OutOfMemoryError parsing large DTFJ PHD file.","2013-01-07 10:18:40"
376048,"MAT","Core","andrew_johnson","RESOLVED","FIXED","New DTFJ version 1.10 requires MAT code change","2012-04-04 08:52:10"
376985,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Build AIX GTK versions","2012-04-19 05:20:36"
377186,"MAT","Core","andrew_johnson","RESOLVED","FIXED","NoClassDefFound: JavaRuntime","2012-04-20 04:04:21"
377255,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Expose general Eclipse preferences for accessibility","2014-05-02 12:12:43"
377337,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Corrupt DTFJ dump with missing classloaders can cause ClassCastException InstanceImpl incompatible with ClassImpl","2012-04-21 10:07:51"
378505,"MAT","Core","andrew_johnson","RESOLVED","FIXED","getMATClassName() in DTFJIndexBuilder.java assumes valid class name","2012-05-08 04:47:09"
379115,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Use current process for DTFJ","2012-05-17 12:17:56"
380858,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Allow selection of which runtime to analyze when core file contains multiple java runtimes","2013-05-16 04:29:33"
388047,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Acquire heap dump from Firefox with IBM VM fails","2012-08-28 10:37:39"
388763,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Selecting totals row sometimes causes duplicate entries","2012-09-04 12:42:46"
391418,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Icon Assist is not big enough to show full text","2012-10-11 11:58:27"
393587,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Performance problem with dominator tree calculation","2012-11-23 13:27:08"
393821,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Add additional autocompletion for fields and properties in OQL editor","2013-05-15 06:34:52"
393982,"MAT","Core","andrew_johnson","RESOLVED","FIXED","OQL method invocations with overloaded methods can fail","2012-11-11 02:09:12"
394010,"MAT","Core","andrew_johnson","RESOLVED","FIXED","OQL SELECT FROM INSTANCEOF id or address doesn't select subclasses","2012-11-10 01:49:35"
394212,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Widget is disposed when histogram closed after compare basket","2012-11-14 05:27:58"
394249,"MAT","Core","andrew_johnson","RESOLVED","FIXED","OQL implements operator changed to INSTANCEOF","2012-11-14 06:36:13"
400046,"MAT","Core","andrew_johnson","RESOLVED","FIXED","ClassCastException when sorting OQL result column that has different value types","2013-05-16 04:37:12"
400049,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","OQL Help Text is not selected on Linux when first opening the dialog","2013-02-06 18:42:41"
404799,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Hang while scanning heap dump","2013-04-12 16:44:43"
405349,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Improve performance of retained size calculation","2013-05-14 16:09:10"
407788,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Error rendering chart: java.lang.AbstractMethodError: org.eclipse.mat.impl.chart.HtmlPieChartRenderer$2.processAction with Kepler","2013-05-13 07:29:37"
409591,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Minor problems for MAT with Welcome page in Eclipse IDE","2013-07-16 05:29:04"
416147,"MAT","Core","andrew_johnson","RESOLVED","FIXED","org.eclipse.mat.hprof no longer has really optional dependencies (e.g. to org.eclipse.jface, org.eclipse.ui) because of r1492 in HprofPlugin.java","2013-11-12 04:25:08"
424731,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Improve undo for notes and OQL","2016-05-30 13:00:16"
425756,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Very large Arrays produce error NegativeArraySizeException","2014-05-07 02:57:19"
430961,"MAT","Core","andrew_johnson","RESOLVED","FIXED","java.lang.ArrayIndexOutOfBoundsException when parsing 54G heap dump","2014-05-07 10:17:24"
433911,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","SaveValueAsQuery doesn't save JDK 7 Strings properly","2014-05-01 03:32:18"
434063,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Acquire Heap dump tidy up","2014-05-29 03:49:52"
435178,"MAT","Doc","andrew_johnson","RESOLVED","FIXED","New and Noteworthy for 1.4","2014-05-23 02:36:59"
435585,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Problems with configuring HPROF Heap Dump Provider in Acquire Dialog","2014-06-01 15:10:31"
436229,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Eclipse/OSGi Bundle queries are not working on Luna snapshots","2018-09-03 02:09:49"
438844,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Add ability to load a zipped hprof","2020-02-23 08:55:13"
440183,"MAT","Core","andrew_johnson","RESOLVED","FIXED","""Object [address] not found"" when opening Thread Details or the Thread Overview and Stacks options","2018-05-18 04:52:14"
442315,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Java_version error when using Java Collections tools on HashMaps","2019-10-29 09:09:00"
445180,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","reports fail without information","2020-02-16 10:37:17"
455929,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","""All Files"" filter in Open Snapshot dialog doesn't show all files","2018-05-18 04:27:37"
471757,"MAT","Core","andrew_johnson","RESOLVED","FIXED","NullPointerException trying to open bin file generated with java 1.8","2016-12-07 10:15:30"
477796,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Launcher / Product Icon blurry on Mac OS","2020-02-11 11:52:45"
480809,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Class names cut off in Top Consumers report","2018-05-18 04:29:19"
482180,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Hang building histogram in buildSuspectRecordGroupOfObjects while finding memory leaks","2016-05-30 09:27:32"
482203,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Comparison method violates its general contract! in Open in Dominator Tree","2016-05-30 09:26:07"
482227,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","java.lang.Thread.dumpStack when running MAT from inside Eclipse","2016-05-30 09:26:58"
482346,"MAT","Core","andrew_johnson","RESOLVED","FIXED","Problem formatting IBM dump: Unrecognized option: -nozip","2016-05-31 03:35:15"
484455,"MAT","GUI","andrew_johnson","RESOLVED","FIXED","Size of description-column in acquire-dialog is too small","2017-01-19 11:53:02"
404679,"MAT","Core","kevin.grigorenko","RESOLVED","FIXED","Corrupted HPROF dump skips objects","2013-05-14 16:55:12"
