"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
485942,"MDHT","General","mdht-inbox","UNCONFIRMED"," ---","Update description of main Git repository","2016-01-15 11:09:11"
486687,"MDHT","CDA","mdht-inbox","UNCONFIRMED"," ---","Spaces in application path break CDA project creation","2016-01-27 18:05:20"
488902,"MDHT","General","mdht-inbox","UNCONFIRMED"," ---","MDHT-Update-*.zip has wrong name","2016-03-02 17:06:20"
491919,"MDHT","General","mdht-inbox","UNCONFIRMED"," ---","MDHT CDAR2.1 Validation - Missed NullFlavor Detection","2016-04-21 16:10:24"
492110,"MDHT","CDA","mdht-inbox","UNCONFIRMED"," ---","CDA Validation - Bad Code System","2016-04-21 15:57:11"
517759,"MDHT","FHIR","mdht-inbox","UNCONFIRMED"," ---","Some types are imported as Resources and not References in alignment with the FHIR spec.","2017-06-02 16:46:28"
526143,"MDHT","CDA","mdht-inbox","UNCONFIRMED"," ---","Mismatch in errors","2017-10-17 08:38:19"
487967,"MDHT","FHIR","dcarlson","NEW"," ---","[FHIR] Update models for FHIR specification version","2016-05-20 13:36:17"
487792,"MDHT","General","mdht-inbox","NEW"," ---","Configure Maven build","2016-02-14 15:28:56"
491914,"MDHT","CDA","mdht-inbox","NEW"," ---","CDA R2.1 Validation - Bad TemplateID","2016-04-18 16:52:01"
491915,"MDHT","CDA","mdht-inbox","NEW"," ---","CDA R2.1 Validation - Bad Code Value","2016-04-18 17:11:28"
492112,"MDHT","CDA","mdht-inbox","NEW"," ---","CDA Validation - Unable to validate document header","2016-04-25 11:25:24"
495345,"MDHT","CDA","mdht-inbox","ASSIGNED"," ---","consol2 transform not working in neon","2016-06-17 12:47:35"
487969,"MDHT","Core","dcarlson","RESOLVED","FIXED","Move plugins from core to cda module","2016-02-17 18:01:50"
487793,"MDHT","General","mdht-inbox","RESOLVED","FIXED","Configure Hudson builds","2016-02-17 15:06:15"
491916,"MDHT","General","mdht-inbox","CLOSED","DUPLICATE","MDHT Validation Tool - Code part of codeSystem but not valueSet","2016-04-18 17:11:28"
