"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
377201,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Provide structure for unit testing in merger tool","2012-04-21 14:29:45"
377528,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Change the way Model and Processor objects are created in the merger tool","2012-04-24 11:01:33"
402639,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Not location directory","2013-03-07 06:50:51"
406409,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","BPMN2 DI: Invalid definition of DiagramElement in DI Metamodel","2013-04-24 05:45:55"
415162,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","NullPointerException importing XSD into process","2013-08-15 15:02:07"
417092,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Removing components from UI and then extending the flow in bigger flows not working","2013-09-12 09:35:58"
423288,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","When moving a group, the sequence flows are sometimes re-arranged in an undesired manner","2013-12-05 05:24:56"
437664,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Eclipse Kepler BPMN2 Modeler 1.0.2 - Collaboration diagram does not have Data Items tab","2014-06-18 06:15:17"
473686,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","IllegalStateException in TargetRuntime.getRuntime (378)","2015-07-27 14:51:49"
474177,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Opening BPMN file with extensions from a specific namespace causes Validator to hang/Eclipse to crash","2015-08-03 15:36:21"
474252,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","Support for HIDPI","2017-12-22 11:39:09"
476087,"MDT.BPMN2","Core","mdt-bpmn2-inbox","UNCONFIRMED"," ---","ClassCastException from DIGenerator.createDIEdge if the edge has an associated textAnnotation","2015-08-28 00:16:01"
374970,"MDT.BPMN2","Core","mdt-bpmn2-inbox","NEW"," ---","Ways to import/export xpdl","2012-03-26 12:12:11"
374978,"MDT.BPMN2","Core","mdt-bpmn2-inbox","NEW"," ---","No pom file for the tests","2012-03-22 09:57:15"
375359,"MDT.BPMN2","Core","mdt-bpmn2-inbox","NEW"," ---","targetNameSpace missing when saving bpmn2 model","2012-03-30 07:56:51"
373642,"MDT.BPMN2","Core","hheitkoetter","ASSIGNED"," ---","BPMNDI: Implement properties inherited and redefined from DI","2012-03-08 09:24:56"
372981,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","ItemDefinition kind field defaults to physical, instead of information","2012-03-06 12:07:17"
373502,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Too many required attributes","2012-03-07 09:08:00"
373519,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Inconsistencies between XSD, CMOF, specification regarding multiplicities of references","2012-03-07 09:08:41"
386497,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Kill bogus BPMN2 ""releng"" project","2012-08-07 11:47:18"
406411,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Invalid Definition of LoopMaximum in BPMN2 Metamodel","2014-09-25 14:16:25"
442085,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Allow DiagramElement to be extensible","2015-04-14 17:34:53"
442087,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","CallActivity and SubProcess should implement InteractionNode","2015-04-14 17:35:07"
464648,"MDT.BPMN2","Core","mdt-bpmn2-inbox","RESOLVED","FIXED","Duplicate ""BPMN2"" category in New File Wizard","2015-04-14 17:53:18"
434145,"MDT.BPMN2","Core","thanh.ha","RESOLVED","FIXED","BPMN2 Git repository isn't named","2014-08-25 20:01:51"
