"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
366036,"MDT.RMF","Reqif-1.0","rmf.reqif10-inbox","NEW"," ---","Source code of ReqIF core contains names and comments that refer to RIF","2012-10-18 02:58:09"
367303,"MDT.RMF","ProR","hussein.mhanna","ASSIGNED"," ---","Implement ""Locate Value"" Action in Properties View","2015-08-11 04:09:36"
367304,"MDT.RMF","ProR","michael","ASSIGNED"," ---","Allow deletion of SpecHierarchy together with SpecObject","2014-10-30 13:32:24"
367293,"MDT.RMF","ProR","iw","RESOLVED","FIXED","Right-Clicking in Spec Editor doesn't correctly update selection","2012-11-09 10:09:28"
367295,"MDT.RMF","ProR","lukas.ladenberger","RESOLVED","FIXED","Line space problem under Windows","2012-03-27 09:01:27"
367296,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Allow to set Presentations as default handlers for certain Datatypes","2013-02-02 07:34:29"
367306,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Dynamically adjust the row size when editing","2013-04-25 05:48:29"
366018,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","Some attributes in the reqif10 model are not typed correctly","2012-11-14 16:48:50"
366147,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","UnsupportedOperationException when serializing models with AttributeValueXhtml","2012-11-14 16:49:05"
366183,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","reqif10.model should use GregorianCalendar instead of javax.xml.datatype.XMLGregorianCalendar","2013-10-07 11:35:09"
366941,"MDT.RMF","Reqif-1.0","eclipse","RESOLVED","FIXED","Rename org.eclipse.rmf.reqif10.model","2012-11-14 16:49:25"
367300,"MDT.RMF","ProR","hussein.mhanna","RESOLVED","FIXED","On paste / drag, we may end up with duplicate IDs.","2014-07-29 09:49:11"
367298,"MDT.RMF","ProR","michael","RESOLVED","FIXED","Specify selection management (and implement it)","2012-10-18 03:39:19"
367302,"MDT.RMF","ProR","michael","RESOLVED","WONTFIX","Specification for ProR robustness","2013-12-02 08:00:07"
356320,"MDT.RMF","ProR","rmf.pror-inbox","RESOLVED","FIXED","Handle gracefully when a presentation that is not installed is used.","2013-12-02 07:52:26"
367292,"MDT.RMF","ProR","sasal002","RESOLVED","FIXED","Performance of Specification Viewer is not acceptable","2012-08-27 10:03:05"
366023,"MDT.RMF","Reqif-1.0","eclipse","CLOSED","FIXED","Encoding of ReqIf XML file should be utf-8","2014-08-05 02:20:34"
366035,"MDT.RMF","Reqif-1.0","eclipse","CLOSED","FIXED","Incorrect ReqIf namespace","2012-02-12 15:29:07"
364887,"MDT.RMF","ProR","michael","CLOSED","FIXED","Crash in IDPresentationService with ReqIF from 3rd party","2012-01-06 10:25:05"
366152,"MDT.RMF","ProR","michael","CLOSED","DUPLICATE","NullPointerException when presenting ReqIf model that doesn't contain ProR tool extensions","2012-01-06 10:25:45"
366032,"MDT.RMF","Reqif-1.0","eclipse","CLOSED","FIXED","ReqIf files should not contain information about the schema location","2012-11-14 16:49:42"
367294,"MDT.RMF","ProR","michael","CLOSED","NOT_ECLIPSE","Problem with Rodin mathematic characters under Win XP","2012-11-14 16:53:02"
366186,"MDT.RMF","Reqif-1.0","eclipse","CLOSED","FIXED","reqif10.model EAttributes of type boolean should not start with ""is""","2014-02-14 06:13:24"
367299,"MDT.RMF","Reqif-1.0","eclipse","CLOSED","WONTFIX","Reconsider containement for AttributeValue","2012-11-14 16:52:04"
367305,"MDT.RMF","ProR","michael","CLOSED","FIXED","Can't create a link between SpecObjects, only SpecHierarchies","2012-11-14 16:57:05"
356728,"MDT.RMF","ProR","rmf.pror-inbox","CLOSED","FIXED","Initial Contribution","2012-11-14 16:59:21"
358125,"MDT.RMF","ProR","rmf.pror-inbox","CLOSED","FIXED","Missing files from initial contributions","2012-11-14 16:59:03"
