"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
510302,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","UML2Util.destroy removes all adapters","2017-01-12 15:11:28"
513686,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","SubsetSupersetEObjectEList removes inverse from subset upon basicRemove","2017-03-23 04:20:00"
546727,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","Performance regression in profile definition (introduced by correction of bug #544487)","2019-05-31 10:18:33"
547688,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","Regression introduced by fix for Bug 542789 - Optimize stereotype application handling in ElementImpl.eBasicSetContainer()","2019-05-27 08:56:34"
562703,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","ClassCastException when validating UML model with ecore.util.Diagnostician","2020-05-01 13:43:35"
569035,"MDT.UML2","Core","mdt-uml2-inbox","UNCONFIRMED"," ---","Add examples of how to save a model+stereotypes","2020-12-15 08:15:42"
493786,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","UML2Ecore should add oppositeUpper/Lower/Ordered/Unique annotations","2016-05-17 11:17:31"
495255,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Provide a UML Model Editor stereotype instance selection","2016-06-02 04:53:31"
513241,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Add icons for abstract UML classes","2017-12-19 08:05:26"
519506,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Add role name in Connector End label for identification","2017-12-19 08:09:10"
522257,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Diagnose missing Profile URI","2017-12-19 08:06:15"
526375,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Add contentType redirection in UMLResourceFactory","2017-10-24 04:59:52"
528376,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Add EAnnotationValidator support","2017-12-11 09:18:11"
528788,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","UML2EcoreConverter should manage TemplateBinding","2017-12-30 13:06:16"
529324,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","No UML nature/builder/validator","2018-03-28 06:35:32"
529562,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Allow to disable some constraints using preferences","2018-01-28 16:22:56"
529767,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","[Markers] Missing problem marker target for ""The required feature 'base_Interface' of ...""","2018-01-13 18:55:24"
529780,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Show stereotype applications as child tree elements in UML Model Editor","2018-01-13 15:30:01"
529788,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Spurious validation diagnostics for primitive type parameter types","2018-01-13 15:03:48"
531548,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Message::validateSignatureIsSignal ignores Signal owned attributes","2018-02-24 03:19:05"
546702,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","NullPointerException in UML2EcoreConverter","2019-04-24 11:04:12"
549135,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","UMLResource unload normalizes URIs","2019-07-10 08:24:11"
562741,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Fix BREE warnings","2020-05-03 07:40:37"
562833,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","UML 2.5 tooling cannot read the UML 2.5 serialisation of UML 2.5.1","2020-05-06 04:00:32"
562862,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Add UML 2.5.1 support","2020-05-06 04:00:32"
562871,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Make org.eclipse.uml2 accessible standalone","2020-05-06 06:33:58"
562995,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Save to *.xmi fails to convert Ecore Profiles to Tags","2020-05-09 03:25:59"
566910,"MDT.UML2","Core","mdt-uml2-inbox","NEW"," ---","Missing Create Dynamic Instance... in UML Model Editor","2020-09-13 03:06:17"
547424,"MDT.UML2","Core","give.a.damus","RESOLVED","FIXED","Duplicated @Override annotation in generate code","2020-12-14 19:57:07"
541611,"MDT.UML2","Core","Kenn.Hussey","RESOLVED","FIXED","Too many / bad repos","2019-01-28 21:47:27"
543170,"MDT.UML2","Core","mdt-uml2-inbox","RESOLVED","FIXED","Stale Introduction_to_UML2 article","2019-02-15 16:27:40"
559064,"MDT.UML2","Core","Kenn.Hussey","RESOLVED","FIXED","SimRel no longer provides UML2 sources","2020-01-11 16:28:44"
486934,"MDT.UML2","Core","mdt-uml2-inbox","RESOLVED","WONTFIX","Profile re-application fails after a referenced Stereotype is removed from profile","2016-02-01 22:12:45"
505333,"MDT.UML2","Core","mdt-uml2-inbox","RESOLVED","WONTFIX","Namespace Empty when creating a Data Store Node","2016-10-13 10:49:38"
529933,"MDT.UML2","Core","mdt-uml2-inbox","RESOLVED","INVALID","[releng] Reduce churn in build qualifiers","2018-01-18 04:53:32"
533703,"MDT.UML2","Core","mdt-uml2-inbox","RESOLVED","WONTFIX","https://www.omg.org/spec/SBVR/20160601/SBVR-XMI-Metamodel.xml fails to load","2018-04-20 17:39:19"
544487,"MDT.UML2","Core","cletavernier","VERIFIED","FIXED","[Profile Definition] Support Optional Enums & Primitives","2019-04-25 05:47:01"
501740,"MDT.UML2","Core","give.a.damus","VERIFIED","FIXED","Performance of UML definition look-up in static profiles","2016-10-24 11:26:04"
485756,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","re-applying profiles defining references between profiles causes ClassCastException","2016-01-18 17:45:06"
489209,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Performance issue with createOwnedClass","2016-03-15 17:59:30"
491587,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Spurious ternary association in UML.metamodel.uml","2016-04-27 18:56:53"
491718,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Association::specialized_end_types fails to diagnose UML.xmi violations","2016-04-25 10:47:52"
495564,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Performance of NamedElement.getNamespace() is linear wrt number of siblings","2016-10-03 14:09:16"
497153,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Performance of profile reapplication improvement suggestions","2016-10-03 14:09:35"
497222,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Performance regression introduced by resolution of bug #173843","2016-10-03 14:09:51"
501890,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Bad performance of distinguishable name validation for large models","2016-12-02 12:16:00"
502263,"MDT.UML2","Core","Kenn.Hussey","VERIFIED","FIXED","Update site links missing on project site","2016-12-07 13:32:20"
