"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
241379,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Validating elements with large content (sequence of 500 optional elements) is slow","2011-01-26 17:07:30"
252896,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Need a flag to skip unique particle validation checking","2009-12-11 13:19:06"
262495,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Investigate potential benefits of using MinimalEObjectImpl in the XSD Infoset model","2009-01-26 20:22:17"
265179,"MDT.XSD","Core","Ed.Merks","NEW"," ---","DCR: suppressedGetVisibility=""false"" for mixed featuremap from XSD","2009-02-17 11:30:24"
303683,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Enhance QName resolution diagnostics","2010-04-14 18:31:07"
319816,"MDT.XSD","Core","Ed.Merks","NEW"," ---","[hotbug_request] XSDConcreteComponentImpl leaves spaces in source afrer forceNiceRemoveChild - EMF command undo/redo broken","2010-07-16 10:49:21"
322878,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSDSchema Validation returns bad diagnostics for elements with duplicate names","2010-12-07 14:03:45"
337309,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Null Pointer Exception when running the XSD Examples","2011-04-13 09:53:41"
344149,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Should http://www.w3.org/2001/03/xml.xsd be cached","2011-05-03 17:31:45"
346999,"MDT.XSD","Core","Ed.Merks","NEW"," ---","The canonical literal provided by XSDSimpleTypeDefinition.Assessment isn't actually canonical.","2011-05-24 11:19:11"
355685,"MDT.XSD","Core","Ed.Merks","NEW"," ---","Attribute 'must present as in the base', attributeGroup problems","2015-02-05 08:09:46"
357420,"MDT.XSD","Core","Ed.Merks","NEW"," ---","XSD performance","2012-11-29 12:34:43"
217149,"MDT.XSD","Core","Ed.Merks","RESOLVED","WORKSFORME","XSD: The base content type must be mixed and emptiable to support simple content","2008-01-30 17:24:40"
217151,"MDT.XSD","Core","Ed.Merks","RESOLVED","WORKSFORME","XSD: The 'base' attribute conflicts with the contained base type","2008-01-30 17:48:44"
217152,"MDT.XSD","Core","Ed.Merks","RESOLVED","WONTFIX","Errata E1-6 the XPath expression for the selector may contain whitespace","2008-01-31 10:03:33"
217169,"MDT.XSD","Core","Ed.Merks","RESOLVED","DUPLICATE","XSD: The attribute 'abstract' is not permitted","2008-11-18 09:45:00"
217172,"MDT.XSD","Core","Ed.Merks","RESOLVED","WORKSFORME","XSD: The restricted content type many not be empty because the base isn't empty or emptiable","2008-01-31 11:35:43"
