"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
239335,"MDT","Releng","mdt-releng-inbox","NEW"," ---","Convert MDT ip log to automated ip log","2009-05-12 11:49:27"
321129,"MDT","Releng","mdt-releng-inbox","NEW"," ---","Missing Babel-Mappingfile for Helios","2010-07-29 03:49:20"
239602,"MDT","Website","mdt-website-inbox","NEW"," ---","Project meta-data needs improvement.","2008-07-04 07:44:51"
366135,"MDT","Website","mdt-website-inbox","NEW"," ---","No link to project pages","2011-12-09 01:07:28"
253488,"MDT","Releng","borlander","CLOSED","FIXED","APIs","2016-10-06 13:05:37"
254112,"MDT","Releng","borlander","CLOSED","FIXED","Work Together","2016-10-06 13:06:46"
254138,"MDT","Releng","borlander","CLOSED","WONTFIX","Capabilities","2016-10-06 13:09:53"
254190,"MDT","Releng","bruck.james","CLOSED","FIXED","Localization - ICU4J","2016-10-06 13:05:51"
253538,"MDT","Releng","Ed.Merks","CLOSED","FIXED","Version Numbering","2016-10-06 13:04:53"
253564,"MDT","Releng","Ed.Merks","CLOSED","FIXED","Leverage OSGi","2016-10-06 13:05:46"
253590,"MDT","Releng","Ed.Merks","CLOSED","FIXED","Execution Environment","2016-10-06 13:06:48"
254164,"MDT","Releng","Kenn.Hussey","CLOSED","FIXED","Localization - Babel","2016-10-06 13:04:27"
253338,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Intent","2016-10-06 13:06:38"
253363,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Communicate","2016-10-06 13:05:03"
253388,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Intent","2016-10-06 13:06:37"
253415,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Attendance","2016-10-06 13:05:14"
253439,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Ramp Down Policy","2016-10-06 13:05:40"
253464,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","IP","2016-10-06 13:05:27"
253512,"MDT","Releng","mdt-releng-inbox","CLOSED","WONTFIX","Message Bundles","2016-10-06 13:09:56"
253615,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Signing","2016-10-06 13:06:40"
253841,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Use Jars","2016-10-06 13:05:33"
254005,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Builds","2016-10-06 13:04:56"
254033,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Orbit","2016-10-06 13:05:29"
254060,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Optimization","2016-10-06 13:05:12"
254085,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","New & Noteworthy","2016-10-06 13:04:54"
254297,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Branding","2016-10-06 13:06:02"
254323,"MDT","Releng","alexander.igdalov","CLOSED","FIXED","Localization - Babel PTT","2016-10-06 13:04:06"
254219,"MDT","Releng","borlander","CLOSED","FIXED","Usability","2016-10-06 13:06:50"
254351,"MDT","Releng","borlander","CLOSED","FIXED","Localization - UI freeze","2016-10-06 13:04:34"
254377,"MDT","Releng","borlander","CLOSED","WONTFIX","Localization - bidi","2016-10-06 13:09:58"
254272,"MDT","Releng","bruck.james","CLOSED","WONTFIX","Performance","2016-10-06 13:10:04"
254246,"MDT","Releng","Kenn.Hussey","CLOSED","FIXED","Accessibility","2016-10-06 13:04:14"
231778,"MDT","Releng","borlander","CLOSED","FIXED","Plugin org.eclipse.uml2.diagram.def has invalid signature file","2016-10-06 13:04:37"
255453,"MDT","Releng","borlander","CLOSED","FIXED","UML2 Tools 0.9M3 cannot be installed from update site","2016-10-06 13:04:16"
313500,"MDT","Website","fgiquel","CLOSED","FIXED","Create link to MoDisco web page","2010-09-28 05:50:14"
310098,"MDT","Releng","Kenn.Hussey","CLOSED","FIXED","After installing MDT with all components i get an error in error log. ""The extensions ... ""org.eclipse.eodm.rdf"" are ignored. ... not marked as singleton.""","2016-10-06 13:06:28"
310480,"MDT","Releng","Kenn.Hussey","CLOSED","FIXED","Installation of the latest build into I20100423-0906 fails with exception","2017-08-08 13:18:22"
311740,"MDT","Releng","Kenn.Hussey","CLOSED","FIXED","org.eclipse.xsd.cheatsheets.source is missing from emf-xsd-SDK-2.6.0M7.zip","2016-10-06 13:04:11"
226475,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","UML2Tools build can't find the GMF dependency","2016-10-06 13:06:34"
231373,"MDT","Releng","mdt-releng-inbox","CLOSED","DUPLICATE","feature.xml - discovery url and label are swapped","2016-10-06 13:08:44"
231374,"MDT","Releng","mdt-releng-inbox","CLOSED","DUPLICATE","feature.xml - discovery url and label are swapped","2016-10-06 13:08:46"
253323,"MDT","Releng","mdt-releng-inbox","CLOSED","INVALID","Confirm Intent","2016-10-06 13:07:21"
257962,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","Automated build errors for UML2","2016-10-06 13:04:36"
318450,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","After installing MDT with all components i get an error in error log. ""The extensions ... ""org.eclipse.eodm.rdf"" are ignored. ... not marked as singleton.""","2016-10-06 13:06:42"
323187,"MDT","Releng","mdt-releng-inbox","CLOSED","DUPLICATE","EMF should have a scalable Notification filtering and distribution mechanism","2010-11-07 04:41:11"
238743,"MDT","Website","mdt-website-inbox","CLOSED","FIXED","Typo in Eclipse UML 2.1 Migration Guide - UML2.1 nsURI","2016-10-06 13:05:26"
317213,"MDT","Website","mdt-website-inbox","CLOSED","FIXED","Sphinx Preliminary Initial Contribution","2010-10-25 10:23:50"
232786,"MDT","Releng","nboldt","CLOSED","FIXED","XSD site contribution file","2016-10-06 13:06:01"
