"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
400537,"MMT.ATL","Doc","mmt-atl.doc-inbox","UNCONFIRMED"," ---","Map including operation not property documented within eclipse","2013-02-12 04:41:28"
467342,"MMT.ATL","Doc","mmt-atl.doc-inbox","UNCONFIRMED"," ---","Language guide does not cover endpoint rules","2015-05-14 13:32:47"
385715,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL engine should tell, when trying to apply a stereotype when no profile is applied","2012-07-23 07:53:07"
385849,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Switching to Debug Mode throws java.io.UTFDataFormatException","2013-08-14 04:08:41"
394376,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","IllegalAccessException when computing the size of an empty SubSequence","2012-11-15 05:44:12"
394876,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Containment references cannot span across models","2012-11-22 06:31:06"
395900,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","CoreServices API Injector Bug","2013-10-04 08:12:52"
396197,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL Editor duplicates character in string literal when formatting","2012-12-10 10:14:49"
397692,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","error in declaration in to section not sufficiently catched","2013-01-08 11:34:07"
398943,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Stackunderflow due to missing do clause in called rule","2013-01-24 02:47:22"
400015,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","AtlParser: comments present twice and proliferate when removing items from ATL code model","2013-02-05 13:58:25"
401443,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","multiple entrypoint rules accepted, but only first one executed","2013-02-21 12:46:00"
404344,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","ATL2006 compiler does not preserve XMI IDs","2014-05-07 04:10:13"
405347,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Problem with the '\' char in a string","2013-04-10 08:34:32"
412272,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Problem with ATL compiling","2013-07-04 04:33:14"
428549,"MMT.ATL","Engine","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Adding XCore support to ATL","2014-02-19 09:20:14"
476860,"MMT.ATL","UI","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Editor confused by double quotes ("")","2020-09-04 10:53:55"
477125,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","UNCONFIRMED"," ---","Can not load UML state machine file","2015-09-10 22:07:34"
376587,"MMT.ATL","Doc","mmt-atl.doc-inbox","NEW"," ---","problem ocurrs when facing two nested ""distinct..foreach"" ?","2012-04-12 08:15:12"
393346,"MMT.ATL","UI","mmt-atl.toolkit-inbox","NEW"," ---","Mistakes in English-US strings","2013-01-31 08:41:57"
394245,"MMT.ATL","UI","mmt-atl.toolkit-inbox","NEW"," ---","ATL Editor is removing the drop keyword when formatting","2013-06-03 07:53:48"
408214,"MMT.ATL","emfvm","mmt-atl.toolkit-inbox","NEW"," ---","Unable to save the model using ant task atl.SaveModel after using a transformation with Refining mode enabled using 'drop'","2020-09-10 08:04:03"
443680,"MMT.ATL","UI","dwagelaar","REOPENED"," ---","ATL does not switch perspective automatically when a breakpoint is hit","2018-01-08 16:27:04"
398710,"MMT.ATL","Website","dwagelaar","CLOSED","FIXED","Links broken","2017-06-05 08:57:26"
405820,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","EMFTVM throws NoSuchElementException when invoking any() on an empty collection","2013-04-18 14:39:39"
406100,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Problems when adding elements to an existing sequence","2013-04-27 10:26:41"
406128,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","ModelImpl.newElement() and .deleteElement() do not update allInstances caches for supertypes","2013-04-23 06:09:32"
406372,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Can only assign to model element features or helper attributes in ""do"" block, not local variables","2013-05-04 05:37:13"
406438,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","AtlResourceImpl should not actually implement save()","2013-06-20 05:44:08"
406457,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","OclUndefined pretty printed as 'null'","2013-06-20 05:44:40"
406662,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Called rules compiled wrongly in refining mode","2013-05-04 05:34:59"
408391,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Native methods cannot override VM operations","2013-06-20 05:42:03"
409462,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Model.deleteElement() cannot deal with EReferences of type java.util.Set","2013-07-03 12:54:48"
411230,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Lazy collections are wrapped around mutable collections","2013-07-03 12:54:26"
412999,"MMT.ATL","emftvm","dwagelaar","CLOSED","INVALID","Matching different objects for which equals return true","2013-07-19 08:03:49"
413110,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Refining mode rules resolves default traces to the second target element when available","2013-08-05 04:22:31"
415863,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Support (multiple) virtual dispatch for lazy rules","2018-06-04 07:34:40"
419433,"MMT.ATL","emftvm","dwagelaar","CLOSED","FIXED","Defining multiple variants of the same helper with different parameter types fails when using metaclasses as types","2013-10-16 06:06:08"
421578,"MMT.ATL","emftvm","dwagelaar","CLOSED","WONTFIX","Multiple iteration of transformation leads to transformation crashes","2013-11-19 14:39:55"
