"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
371587,"MTJ","Core","dsdp.mtj-inbox","NEW"," ---","Add support for discovering and installing SDKs","2012-02-15 04:27:38"
375259,"MTJ","SDK Management","dsdp.mtj-inbox","NEW"," ---","Manual Device Installation doesn't work","2012-04-18 22:58:41"
382073,"MTJ","UI","dsdp.mtj-inbox","NEW"," ---","Needed modification and enhancements in mtj ui plugin to support Nokia specific feature development","2012-06-21 12:27:44"
382962,"MTJ","UI","dsdp.mtj-inbox","NEW"," ---","Continue to new Midlet wizard after creating a new Midlet Project","2012-06-19 09:12:46"
385668,"MTJ","Project Builder","dsdp.mtj-inbox","NEW"," ---","Create package, debug and run do not export .jar libraries from classpath","2012-07-21 15:47:34"
388087,"MTJ","MTJ projects","dsdp.mtj-inbox","NEW"," ---","Modifications in org.eclipse.mtj.ui and org.eclipse.mtj.core.installableSDK plugins to improve existing features of MTJ","2012-08-27 05:46:43"
403904,"MTJ","Core","dsdp.mtj-inbox","NEW"," ---","NPE during validation of JAD","2013-03-20 11:17:51"
415466,"MTJ","Core","dsdp.mtj-inbox","NEW"," ---","No permission information available for JMUnit for CLDC 1.1","2013-08-20 06:25:21"
414564,"MTJ","MTJ projects","dsdp.mtj-inbox","RESOLVED","FIXED","MANIFEST.MF (The system cannot find the path specified)","2014-10-16 10:52:35"
431263,"MTJ","General","dsdp.mtj-inbox","RESOLVED","FIXED","Move tools.sequoyah.mtj to tools.mtj","2016-03-30 14:29:47"
403633,"MTJ","Core","gorkem.ercan","RESOLVED","FIXED","MTJ doesn't work with Eclipse 4.2","2013-04-08 17:37:10"
403761,"MTJ","Core","gorkem.ercan","RESOLVED","FIXED","NPE during save of midlet descriptor","2013-04-08 17:36:30"
405002,"MTJ","Core","gorkem.ercan","RESOLVED","FIXED","IMP-NG Profile is written incorrectly in jad","2013-04-08 17:35:47"
413886,"MTJ","UI","pranav.gothadiya","RESOLVED","FIXED","Changes in org.eclipse.mtj.ui and org.eclipse.mtj.core.installableSDK plugins","2013-07-31 01:58:04"
373463,"MTJ","UI","dsdp.mtj-inbox","CLOSED","WONTFIX","[i18n] internationalized English text has mixed value","2019-01-12 00:19:32"
384335,"MTJ","UI","dsdp.mtj-inbox","CLOSED","INVALID","Mobile Tools for Java Menu error","2012-09-26 00:02:11"
442423,"MTJ","General","dsdp.mtj-inbox","CLOSED","FIXED","Java ME Embedded Support Contribution to MTJ project","2014-10-16 10:46:53"
