"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
233412,"Mangrove","org.eclipse.soa.mangrove.leaves","adrian.mos","NEW"," ---","Plugin to generate bpel code from intermediate model","2011-02-21 10:04:37"
337728,"Mangrove","org.eclipse.soa.mangrove.core","adrian.mos","NEW"," ---","Viewer for the Mangrove Core","2011-02-21 09:59:15"
399639,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","NEW"," ---","Basic Governance View for Mangrove elements","2013-01-31 10:07:24"
244481,"Mangrove","org.eclipse.soa.mangrove.builder","mangrove.builder-inbox","NEW"," ---","Mangrove Builder","2011-02-21 10:07:17"
460294,"Mangrove","org.eclipse.soa.mangrove.core","mangrove.core-inbox","NEW"," ---","Store and retrieve Mangrove properties using Git repos","2015-02-18 16:53:35"
251360,"Mangrove","org.eclipse.soa.mangrove.roots","mangrove.roots-inbox","NEW"," ---","Null pointer exception not managed","2011-02-21 10:16:42"
393636,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","RESOLVED","FIXED","Cleaner approach to Menu Item Grouping for .mangrove files","2012-11-08 05:06:14"
393637,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","CLOSED","FIXED","Define common branch behaviour in common plugin","2012-11-08 04:05:19"
393841,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","CLOSED","FIXED","Correct the Mangrove <-> SCA Menu location","2012-11-08 08:55:43"
403048,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","CLOSED","FIXED","Basic Generation of BPMN2 instances from Mangrove Core","2013-04-04 09:31:55"
404902,"Mangrove","org.eclipse.soa.mangrove.branches","adrian.mos","CLOSED","WONTFIX","Add CDO Support to Mangrove for storing Mangrove Core Contents","2014-03-05 11:27:35"
460287,"Mangrove","org.eclipse.soa.mangrove.core","adrian.mos","CLOSED","FIXED","Add Properties sheet","2015-02-23 16:10:46"
235005,"Mangrove","org.eclipse.soa.mangrove.branches","mangrove.branches-inbox","CLOSED","FIXED","[IM] Declarative transformation from BPMN to IM using ATL","2016-01-08 13:27:01"
244484,"Mangrove","org.eclipse.soa.mangrove.branches","mangrove.branches-inbox","CLOSED","FIXED","[IM] Declarative transformation from IM to SCA using ATL","2016-01-08 13:26:31"
