"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
363325,"MoDisco","Main","modisco.web-inbox","NEW"," ---","SWTBot tests disabled for juno build","2013-12-26 04:24:46"
359247,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.(gmt.)?modisco.kdm.uml2converter.tests.KdmToUml2.*.testKdmToUmlConverter","2015-06-05 07:23:11"
359248,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Unit Test Failure] testKdmToUmlConverter_bug318638","2015-06-03 11:39:12"
362486,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","Namespace.getGroupedCode should be declared as containment","2013-12-23 04:46:26"
343244,"MoDisco","Technologies","fgiquel","NEW"," ---","[Java] NPE in CommentsManager#jdtLocationSearch","2016-05-20 11:00:07"
352311,"MoDisco","UseCases","modisco.web-inbox","NEW"," ---","Initial code for the JUnit discoverer migration","2013-12-19 11:26:28"
359257,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.modisco.infra.browser.tests.TestMetaclasses","2015-06-04 06:23:17"
359258,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.modisco.infra.browser.tests.TestOpenModel","2015-06-04 04:59:52"
359260,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.modisco.infra.browser.tests.TestSearch","2015-06-04 05:00:01"
359261,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.modisco.infra.browser.tests.TestURIDialog","2015-06-04 05:00:20"
359262,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Unit Test Failure] org.eclipse.modisco.infra.discovery.tests.BooleanCellEditorTest.testBooleanCellEditor","2015-06-19 07:26:19"
305881,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet]  Add a search field in the view ""EPackage registry""","2011-09-26 10:58:31"
305882,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] A location column in the EPackage view.","2011-09-26 11:25:47"
307616,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Wizard page to initialize the FacetSet","2011-09-26 11:12:05"
308178,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","Java generation facility : ""newContent"" field","2011-09-26 11:40:45"
308236,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] bookmarking","2011-09-26 11:08:20"
308982,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] handle refactoring for Java queries","2011-09-26 10:44:43"
309106,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] NsURI column in the Facet Set view","2011-09-26 10:47:33"
309327,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Deprecated] AbstractMoDiscoCatalog.updateWSFile(IFile)","2016-03-15 06:27:06"
309337,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Deprecated] AbstractMoDiscoCatalog.addWSFile(IFile)","2016-03-15 06:26:57"
309340,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Deprecated] AbstractMoDiscoCatalog.addWSFile(IFile,boolean)","2016-03-15 06:26:51"
309341,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Deprecated] AbstractMoDiscoCatalog.removeWSFile(IFile)","2016-03-15 06:26:36"
309491,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Cannot reference a class from a different project in a Java query","2011-09-28 07:29:33"
309670,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Facet Shortcuts validation: type","2011-09-26 10:37:44"
309672,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Facet Shortcuts validation: first element's type","2011-09-26 10:45:00"
309675,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Facet Shortcuts validation: path well-typedness","2011-09-26 11:05:00"
309677,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Facet Shortcuts validation: upper bound","2011-09-26 11:09:27"
309916,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Unit tests to validate Shortcuts behaviors","2011-09-28 07:40:11"
309918,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Add meta-model choice in the QuerySet creation wizard","2011-09-26 11:17:13"
310062,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] ExpandAll customization","2011-09-26 10:52:41"
310068,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet]  Add the OCL queries in the ""Query creation"" wizard","2011-09-26 11:13:13"
310102,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Separate creation tools and execution tools for org.eclipse.gmt.modisco.infra.query.ui","2011-09-28 15:39:52"
310138,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java][CDO] ArrayIndexOutOfBoundsException in using Java CDO discoverer","2011-09-28 15:40:50"
310141,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[CDO][Scalability][Java][Benchmark] Java discoverer Benchmark : mix of trace with CDO server trace","2011-09-28 16:02:46"
310145,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java] metamodel : reduce PackageAccess memory usage","2011-09-28 12:03:16"
310148,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java] metamodel : missing annotations on Package","2011-09-28 12:05:57"
310232,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","Generate Java Code from Modisco Model Browser","2011-09-26 10:38:44"
311157,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java] metamodel : PrimitiveType is not Abstract","2011-09-28 12:09:26"
311673,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet][Table Viewer] UICustomization in Table Viewer","2011-09-26 11:20:47"
311683,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] When to initialize catalog dependencies","2011-09-28 07:40:40"
311693,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Selection Windows for query Implementation Class Name","2011-09-26 11:15:29"
312050,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] Fails to load catalog elements because metamodel is overwritten by AcceleoBuilder","2016-05-23 05:25:24"
312898,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] FacetEditor not updated when adding query","2011-09-28 07:30:53"
313095,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] Execute query on metaclass instances","2011-09-26 11:07:31"
313101,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] IOException: Unable to resolve plug-in ""platform:/plugin/...""","2013-05-24 03:58:39"
313140,"MoDisco","Main","modisco.web-inbox","NEW"," ---","Eclipse-SourceReference","2011-09-29 04:57:23"
313342,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] EPackage Registry view not refreshed when EPackage.Registry changes","2011-09-28 07:32:37"
315370,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet][Facet Editor] Focus on properties view","2011-09-26 11:25:27"
315596,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[QuerySet Editor] Return Type for Java Query","2010-11-18 08:39:33"
315606,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Editor] Sort Alphabetically instances in Query/Facet Editor","2010-11-18 08:38:19"
318324,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] customization to provide tooltips","2011-09-26 10:48:25"
318735,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] deadlock with ModelQuerySetCatalog (between JavaValidationQueryBuilder and ValidationJob)","2013-05-24 03:59:06"
323376,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] ModelQueryResult should have a link to the ModelQuery","2011-09-26 11:16:17"
325451,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[WorkFlow] Generate a result report at the end of the process","2011-09-26 11:42:12"
326528,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Java discoverer] discover several projects at once into the same model","2013-01-25 04:33:09"
326664,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Workflow] Multiple selection in tasks panel","2011-09-28 07:36:47"
327081,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] refactoring features when renaming queries","2011-09-26 11:19:29"
327202,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Techno:Java] metamodel : evolution & compatibility feature","2011-09-26 11:00:15"
327427,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Model Browser] Extension point to open a model on a specified MetaClass","2011-09-26 11:26:19"
327741,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Workflow] many broken externalized strings","2011-09-28 12:15:49"
327758,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] catalog elements in same plug-in as Ecore model","2011-09-28 07:17:19"
328029,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","Allow creating composite JEE model from a JEE project","2011-09-26 10:39:04"
328263,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] ConcurrentModificationException in catalog","2013-05-24 04:01:16"
328319,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] default Facets","2011-09-26 11:18:59"
328440,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[UiCustom editor] add tooltips to explain customizable feature","2010-11-18 08:43:15"
328446,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] Facet ""sticker"" icons don't keep their aspect ratio","2011-09-28 07:38:40"
329536,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java] Class in Default Package are not well managed","2011-09-28 15:44:54"
329800,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet][Query] Error with projects with white space in their name","2011-09-28 07:39:13"
329887,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[CDO] Compilation regression on Infra & Java Discoverer based on CDO","2011-09-28 15:57:00"
330774,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] Invalid thread access","2012-12-19 08:50:35"
331509,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java][CDO] unnecessarily long tests in JavaJunitCDO","2011-09-28 15:57:32"
332455,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[JSP] Java Heap Space while discovering a small JSP","2011-09-28 15:57:57"
332777,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Deprecated] Generate_JavaStructures class","2016-03-15 06:26:20"
333398,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","Cache for lists by EClass (MetaclassInstancesAdapter) : wrong computing","2012-12-19 08:50:52"
333401,"MoDisco","Technologies","modisco.web-inbox","NEW"," ---","[Java] Management of super expression","2011-09-28 10:47:58"
333413,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Browser] navigation history doesn't remember multi selection of metaclasses","2011-09-28 16:03:11"
333427,"MoDisco","Infrastructure","modisco.web-inbox","NEW"," ---","[Move to EMF Facet] cannot create query in query set with errors","2011-09-28 07:15:54"
