"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
537082,"Mylyn Builds","Hudson Connector","mylyn-inbox","NEW"," ---","Starting builds fails with Unexpected error: Forbidden when Cross Site Request Forgery prevention is enabled in newer Jenkins versions","2018-07-16 12:12:04"
499561,"Mylyn Builds","Hudson Connector","mylyn-triaged","NEW"," ---","Allow users to subscribe to a Jenkins view","2016-08-11 17:24:11"
502033,"Mylyn Builds","Framework","mylyn-triaged","NEW"," ---","Mylyn builds supports working sets for build plans","2016-10-06 21:00:48"
507513,"Mylyn Builds","Framework","mylyn-triaged","NEW"," ---","allow grouping of builds by status in the Builds View","2016-11-29 18:26:47"
510409,"Mylyn Builds","Framework","mylyn-triaged","NEW"," ---","support pipeline jobs","2017-04-05 09:02:57"
518408,"Mylyn Builds","Framework","eclipse","ASSIGNED"," ---","remove org.eclipse.ecf.provider.discovery from org.eclipse.mylyn.builds.development-feature","2017-06-29 13:03:22"
506665,"Mylyn Builds","Framework","jaxsun.mccarthy","ASSIGNED"," ---","gerrit trigger builds can be retriggered","2016-11-25 19:18:26"
564699,"Mylyn Builds","Hudson Connector","jonah","ASSIGNED"," ---","MyLyn Build does not connect to jenkins with eclipse IDE 2020-06","2020-12-09 16:57:05"
502034,"Mylyn Builds","Framework","superjaeee","ASSIGNED"," ---","add support for ""matrix"" builds","2017-03-21 18:14:20"
514360,"Mylyn Builds","Hudson Connector","superjaeee","ASSIGNED"," ---","support Jenkins parameterized trigger builds","2017-04-12 21:05:34"
487771,"Mylyn Builds","Hudson Connector","brandon.dong","RESOLVED","FIXED","changes to subscribed build plans are lost when Eclipse crashes","2016-03-02 16:53:01"
499182,"Mylyn Builds","Hudson Connector","jason","RESOLVED","FIXED","Hudson Connector cannot retrieve build information if Jenkins does not provide changeset tag","2016-08-11 19:40:49"
499132,"Mylyn Builds","Framework","jaxsun.mccarthy","RESOLVED","FIXED","opening test results when filtered to failures should filter junit view to failures","2016-10-31 13:15:14"
498893,"Mylyn Builds","Hudson Connector","colin.ritchie","RESOLVED","FIXED","support Jenkins 2.7.2","2016-08-24 14:08:48"
500218,"Mylyn Builds","Hudson Connector","colin.ritchie","RESOLVED","FIXED","support Jenkins 2.7.3","2016-09-21 19:41:08"
489753,"Mylyn Builds","Hudson Connector","jason","RESOLVED","FIXED","Cannot refresh status if monitoring too many jobs","2016-07-14 16:55:14"
485982,"Mylyn Builds","Hudson Connector","jaxsun.mccarthy","RESOLVED","FIXED","Support Hudson 3.3.2 and Jenkins 1.642.2","2016-03-14 12:08:57"
492855,"Mylyn Builds","Hudson Connector","jaxsun.mccarthy","RESOLVED","FIXED","support Hudson 3.3.3 and Jenkins 1.651.1","2016-06-22 19:04:13"
506667,"Mylyn Builds","Framework","jaxsun.mccarthy","RESOLVED","DUPLICATE","add searching/filtering to the Builds view","2016-10-27 18:45:45"
506744,"Mylyn Builds","Framework","jaxsun.mccarthy","RESOLVED","FIXED","allow refresh of open build","2017-03-28 17:02:08"
489334,"Mylyn Builds","Hudson Connector","mylyn-inbox","RESOLVED","WONTFIX","Unexpected error during invocation of operation - NullPointerException with Jenkins 1.6.52","2016-03-14 12:25:20"
508013,"Mylyn Builds","Hudson Connector","mylyn-inbox","RESOLVED","DUPLICATE","Hudson/Jenkins Mylyn Builds Connector plugin fails on pipeline jobs","2017-02-16 13:51:08"
512194,"Mylyn Builds","Hudson Connector","sam.davis","RESOLVED","FIXED","support Jenkins 2.32","2017-03-20 12:53:03"
