"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
429715,"Mylyn Commons","Team","mylyn-triaged","NEW"," ---","[api] RepositoryLocation should ensure that getUsername returns the username from the credentials","2014-03-05 18:18:43"
404630,"Mylyn Commons","Discovery","manderse","NEW"," ---","Discovery only allows http(s) urls making it impossible to do easy local testing","2014-01-08 19:38:34"
390646,"Mylyn Commons","UI","mylyn-inbox","NEW"," ---","[mac] screenshot annotations does not work on OS X (Retina Mac)","2012-10-14 02:59:50"
369287,"Mylyn Commons","Team","mylyn-triaged","NEW"," ---","add support for default keystore","2012-01-23 10:31:05"
369288,"Mylyn Commons","Team","mylyn-triaged","NEW"," ---","add field for specifying NTLM domain","2012-01-20 15:23:42"
369805,"Mylyn Commons","Network","mylyn-triaged","NEW"," ---","[upstream] certificate authentication with custom keystore fails behind proxy","2012-02-09 16:31:07"
372332,"Mylyn Commons","Network","mylyn-triaged","NEW"," ---","support canceling HTTP transfers","2012-02-23 12:07:37"
373888,"Mylyn Commons","UI","mylyn-triaged","NEW"," ---","[api] improve control over synchronization activities","2012-06-15 08:01:57"
398102,"Mylyn Commons","Notifications","mylyn-triaged","NEW"," ---","adopt latest jdom","2013-05-14 19:17:47"
400582,"Mylyn Commons","UI","mylyn-triaged","NEW"," ---","[e4.2.2] consume new color for hyperlinks from platform","2013-04-02 10:23:55"
434807,"Mylyn Commons","Network","mylyn-triaged","NEW"," ---","proxy credential prompt uses repository credentials even when using global proxy settings","2014-05-13 16:47:28"
469886,"Mylyn Commons","Monitor","sam.davis","RESOLVED","FIXED","monitor.ui fails to start","2015-08-28 16:15:08"
418054,"Mylyn Commons","Team","eclipse","RESOLVED","FIXED","[e4.4] osgi internals used by CommonTestUtil.getFile() have changed","2013-10-07 15:15:25"
412953,"Mylyn Commons","Notifications","krzysztof.daniel","RESOLVED","FIXED","remove jdom and rome dependencies from Mylyn Commons","2013-10-17 03:30:36"
417070,"Mylyn Commons","Network","sam.davis","RESOLVED","FIXED","Hudson Connector sends no useragent","2014-02-17 23:32:26"
481261,"Mylyn Commons","UI","sam.davis","RESOLVED","FIXED","IllegalArgumentException below GradientDrawer$1.handleEvent (57)","2015-11-02 13:14:38"
481264,"Mylyn Commons","Notifications","sam.davis","RESOLVED","FIXED","NullPointerException in NotificationsPreferencesPage.performOk (378)","2015-11-02 13:14:43"
381543,"Mylyn Commons","Network","steffen.pingel","RESOLVED","FIXED","update dependencies to HttpClient 4.2","2013-09-26 19:16:07"
405650,"Mylyn Commons","Network","steffen.pingel","RESOLVED","FIXED","[api] ensure connections are closed when requests are interrupted","2013-05-24 21:43:42"
406959,"Mylyn Commons","UI","steffen.pingel","RESOLVED","FIXED","use SAXParserFactory instead of XMLReaderFactory","2013-05-06 06:05:46"
408044,"Mylyn Commons","Network","steffen.pingel","RESOLVED","FIXED","connection is not released if gzip header is invalid","2013-05-17 01:32:31"
468953,"Mylyn Commons","Discovery","chris.poon","RESOLVED","FIXED","Checkboxes in discovery dialog invisible under Ubuntu Linux","2015-06-24 16:20:49"
470417,"Mylyn Commons","UI","chris.poon","RESOLVED","FIXED","popups aren't styled by theme when no active shell","2015-06-25 17:27:04"
395851,"Mylyn Commons","Network","christian.janz","RESOLVED","FIXED","NPE when authenticating at Hudson server via NTLM","2012-12-10 04:52:57"
391068,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","Html2TextReader.entity2Text(String) mangles all but 7 escape codes","2012-10-29 16:52:47"
397252,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","Attachment ordering is reverse","2013-02-01 05:16:57"
399927,"Mylyn Commons","Network","eclipse","RESOLVED","FIXED","HtmlTag.isSelfTerminating does not identify tags without a space before the '/' as self-terminating","2013-05-09 07:42:11"
406751,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","reduce the number of warnings for all common plugins","2013-04-29 15:15:43"
409606,"Mylyn Commons","Discovery","eclipse","RESOLVED","FIXED","junit add Property to ignore local active services","2013-10-04 13:58:58"
418845,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","create project org.eclipse.mylyn.development","2014-03-03 16:21:53"
419028,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","TestConfiguration change the default using a System Property","2013-11-04 03:30:25"
444672,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","add bootstrap target for Mars","2014-11-30 02:33:50"
445206,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","update bootstrap target to Luna SR1","2014-09-30 00:19:32"
462776,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","add bootstrap target for Mars M6","2015-03-23 16:03:03"
468700,"Mylyn Commons","Notifications","eclipse","RESOLVED","FIXED","move Mylyn notifications preference page to General category","2015-06-03 11:52:06"
478654,"Mylyn Commons","Notifications","eclipse","RESOLVED","FIXED","E4CssParseException in E4ThemeColor.getRGBFromCssString (42)","2015-10-29 13:30:04"
480539,"Mylyn Commons","UI","eclipse","RESOLVED","FIXED","Neon: org.eclipse.ui.internal.util.Util.getAdapter removed","2015-11-16 14:33:13"
395497,"Mylyn Commons","Network","greensopinion","RESOLVED","FIXED","enable setting credentials on RepositoryLocation without saving credentials","2012-12-15 12:19:41"
391113,"Mylyn Commons","Monitor","mylyn-inbox","RESOLVED","INVALID","Sampling Checking a Project","2012-10-04 14:15:52"
398092,"Mylyn Commons","Network","mylyn-inbox","RESOLVED","DUPLICATE","Get rid off javax.xml.soap","2013-01-14 11:55:39"
401617,"Mylyn Commons","Discovery","mylyn-inbox","RESOLVED","NOT_ECLIPSE","Error With Installation of TaskTop Pro","2013-02-24 14:10:26"
418220,"Mylyn Commons","UI","mylyn-inbox","RESOLVED","FIXED"," @since tag problem: Invalid @since 3.7 tag on org.eclipse.mylyn.commons.workbench.AbstractFilteredTree; expecting @since 3.10","2013-09-28 07:29:00"
430816,"Mylyn Commons","Network","mylyn-inbox","RESOLVED","WONTFIX","Could org.eclipse.mylyn.commons.soap_feature_3.11.0 be added to the next Luna milestone?","2014-06-30 15:18:22"
457177,"Mylyn Commons","Discovery","mylyn-inbox","RESOLVED","NOT_ECLIPSE","Gradle connector not available for STS 3.6.3 and JDK 8","2015-01-12 17:10:08"
458889,"Mylyn Commons","UI","mylyn-inbox","RESOLVED","FIXED","add bootstrap target for Mars M5","2015-03-22 03:02:04"
466833,"Mylyn Commons","Notifications","mylyn-inbox","RESOLVED","DUPLICATE","Error reporting notification unreadable with Dark theme","2015-06-04 17:08:07"
468963,"Mylyn Commons","Discovery","mylyn-inbox","RESOLVED","DUPLICATE","Checkboxes in discovery dialog invisible under Ubuntu Linux","2015-06-01 13:19:47"
479251,"Mylyn Commons","Notifications","mylyn-inbox","RESOLVED","WORKSFORME","UI freezes in new AbstractNotificationPopup and AbstractNotificationPopup.open","2015-10-14 19:18:58"
458986,"Mylyn Commons","Network","mylyn-triaged","RESOLVED","WONTFIX","CertificateAuthentication tests fail due to mylyn.org configuration change","2016-07-27 16:30:18"
480924,"Mylyn Commons","Team","mylyn-triaged","RESOLVED","DUPLICATE","RepositoryUi uses removed method Util.getAdapter","2015-11-16 12:45:13"
