"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
358489,"Mylyn Context MFT","EMF Connector","milesparker","NEW"," ---","[modeling] Support hiding of contained elements such as within packages","2012-09-04 14:38:58"
357892,"Mylyn Context MFT","EMF Connector","mylyn-triaged","NEW"," ---","[modeling] Background colors aren't correct for edges with colored backgrounds.","2012-09-04 14:36:40"
352173,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] EMF Tree Editor UI support for Contexts","2011-12-08 05:18:59"
357745,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] Support focus in EcoreTools diagram editor outline","2011-12-06 11:50:38"
357747,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] Use Mylyn standard ""Remove from Context"" for model elements rather than ""Remove Model Element form Context""","2011-12-06 11:50:26"
357784,"Mylyn Context MFT","EMF Connector","milesparker","ASSIGNED"," ---","[modeling] remove all static bridge instances","2011-12-06 11:50:34"
357540,"Mylyn Context MFT","EMF Connector","milesparker","REOPENED"," ---","[modeling] improve color management","2012-03-13 10:05:44"
343193,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] identify EMF classes relevant for context","2011-12-06 12:11:30"
343194,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WORKSFORME","[modeling] provide unique id for EMF model objects","2011-12-06 11:50:37"
343195,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WONTFIX","[modeling] identify text selections of model objects","2011-12-06 11:50:33"
343200,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] quick/in-place view of model elements in context","2011-12-06 12:11:35"
343201,"Mylyn Context MFT","ECore Tools Connector","milesparker","RESOLVED","FIXED","[modeling] usage tracking for Ecore Tree Editor model editing and navigation","2012-03-13 09:01:29"
343202,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] map containment and relationships to DoI model","2011-12-06 12:11:30"
343204,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","WONTFIX","[modeling] Update DoI model elements on Model Property Changes","2011-12-06 11:50:39"
343212,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] support for landmarking model elements","2012-03-13 09:01:42"
343213,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] Ecore model focusing for Common Navigators","2012-03-13 08:49:20"
343215,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] editor mementos are restored on task-reactivation","2011-12-06 12:11:33"
343217,"Mylyn Context MFT","GMF Connector","milesparker","RESOLVED","FIXED","[modeling] usage tracking for GEF diagram editing and navigation","2012-03-13 09:11:16"
343218,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] create figure highlighter for diagrams","2011-12-06 12:11:34"
343219,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] create figure filter for diagrams","2011-12-06 12:11:32"
343223,"Mylyn Context MFT","EMF Connector","milesparker","RESOLVED","FIXED","[modeling] identify GMF elements in context","2011-12-06 12:11:34"
