"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
508262,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[asciidoc generation] several improvements","2017-03-25 00:33:20"
508529,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","extension 'md' is already registered","2016-12-05 10:37:11"
509051,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Markdown to HTML seems to miss **bold_italic_**","2016-12-12 00:51:14"
509428,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Missing text for commands.category.name","2016-12-24 10:40:20"
510931,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[asciidoc] add support for include::[] in preview","2017-01-24 05:21:41"
511717,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","OOMPH: Error setup with new Mylyn Doc","2017-02-16 09:59:04"
512132,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Right-click Preferences dialog excludes Wikitext preference page","2017-02-13 11:43:56"
512676,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Key binding conflict in Wikitext editor","2017-02-24 04:31:15"
519479,"Mylyn Docs","Framework","mylyn-inbox","NEW"," ---","p2 repo archive (zip) missing","2017-07-10 17:45:10"
527093,"Mylyn Docs","EPUB","mylyn-inbox","NEW"," ---","Add user guide description on how to use Maven to build EPUBs","2017-11-09 18:52:06"
527748,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[asciidoc] support definition lists","2017-12-04 16:56:01"
529195,"Mylyn Docs","Framework","mylyn-inbox","NEW"," ---","Option for Creole syntax in the Markup Language menu","2018-01-08 13:34:05"
529913,"Mylyn Docs","Framework","mylyn-inbox","NEW"," ---","java.lang.IllegalStateException at org.eclipse.mylyn.internal.wikitext.ui.editor.syntax.FastMarkupPartitioner$PartitionBuilder.endDocument(FastMarkupPartitioner.java:366)","2018-01-22 11:57:46"
532418,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","WikiText Fails Parsing 2nd WikiMedia String","2018-03-13 19:28:29"
534567,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Wrong handling of images with attributes inside tables in Confluence markup","2018-05-25 10:37:52"
537133,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Markdown crosslink to another file","2018-07-18 04:45:34"
538700,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","MarkDown files are opened with Textile editor","2018-09-06 04:53:48"
541721,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","[ui] links containing an hash symbol (#) do not open from editor preview","2018-11-29 17:08:12"
544701,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","IllegalArgumentException at org.eclipse.mylyn.internal.wikitext.ui.editor.syntax.Segments.add(Segments.java:32)","2019-02-22 03:24:16"
548595,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Tables not being processed to Markdown","2019-07-02 20:17:09"
553510,"Mylyn Docs","Wikitext","mylyn-inbox","NEW"," ---","Confluence Image Markup does not support thumbnail tag","2019-11-28 19:05:32"
488246,"Mylyn Docs","Wikitext","mylyn-triaged","NEW"," ---","[asciidoc] support for inline [[anchors]] and <<cross-references>>","2017-02-15 14:00:03"
