"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
457246,"Mylyn Reviews R4E","UI","r4e-inbox","UNCONFIRMED"," ---","Copy/PasteElementHandler classes throw NullPointerException when trying to copy/paste from/to Expressions view","2015-01-14 10:12:24"
404562,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","[ui] NPE when using ""Mark as User Reviewed"" on LINUX","2013-04-02 15:10:52"
399526,"Mylyn Reviews R4E","UI","r4e-inbox","NEW"," ---","R4E Review Navigator and Editor improvements","2013-03-07 12:11:17"
399532,"Mylyn Reviews R4E","UI","r4e-inbox","NEW"," ---","R4E Properties View Refactorings and Improvements","2013-01-31 13:28:00"
399536,"Mylyn Reviews R4E","Core","r4e-inbox","NEW"," ---","R4E Misc Review logic and model improvements","2013-01-30 15:13:32"
399541,"Mylyn Reviews R4E","Core","r4e-inbox","NEW"," ---","R4E Misc. Improvements","2013-02-04 10:08:57"
399542,"Mylyn Reviews R4E","Core","r4e-inbox","NEW"," ---","R4E Bugs","2013-04-02 15:23:48"
372066,"Mylyn Reviews R4E","Core","r4e-triaged","NEW"," ---","[user] Support work space reviews","2013-01-30 13:56:56"
372363,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","Reply to a comment should be available","2013-01-30 13:28:24"
386137,"Mylyn Reviews R4E","Core","r4e-triaged","NEW"," ---","[Incompatibility to generate a report using an older version of R4E report","2013-01-31 13:15:36"
390966,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","Add Review Item Comparison functionality","2013-01-30 14:04:30"
394331,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","[ui]Validating the entry of the anomaly title","2013-01-30 13:40:25"
395607,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","ClassCastException in R4E UIUtils","2013-04-24 10:49:30"
395925,"Mylyn Reviews R4E","UI","r4e-triaged","NEW"," ---","NPE when selecting the Refresh Data button","2013-01-30 14:23:14"
