"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
446310,"Mylyn Tasks","Bugzilla","mylyn-inbox","UNCONFIRMED"," ---","[mylyn]CME in cflow of RepositoryConfiguration.updateAttributeOptions - Synchronization failed (err_grp: 3c125263)","2014-10-15 16:22:57"
477637,"Mylyn Tasks","Bugzilla","mylyn-inbox","NEW"," ---","bugzilla REST connector should mark fields read-only if the user does not have permission to change them","2015-09-17 16:01:06"
370414,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Allow submitting all unsubmitted tasks at once","2012-02-02 08:30:06"
371008,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","help user understand empty focused task list","2012-02-08 16:26:14"
378257,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","task data and activity corrupted and lost when no disk space left","2015-10-13 13:11:39"
380390,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","fix failing test: RetrieveTitleFromUrlTest.testRetrieve","2013-04-23 06:59:31"
388727,"Mylyn Tasks","Trac","mylyn-triaged","NEW"," ---","make XML-RPC the default access mode for Trac","2013-04-18 18:11:14"
404270,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","create Mylyn m4 project proposal","2020-06-04 12:56:25"
408614,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","expanding the resources tree node in the working set editor causes an exception","2013-05-21 20:15:31"
417106,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","OpenCorrespondingTaskAction runs in UI thread","2013-12-17 17:52:54"
433954,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Impossible to scroll after a text field gets the focus","2014-05-01 17:28:12"
437010,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","attachments with no URL open in text editor if open in browser previously selected","2015-01-22 19:37:48"
437407,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","date fields in the task editor are displayed in local time","2014-10-16 20:23:14"
446808,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Mylyn allows invalid characters to be written to task data","2014-10-21 13:13:05"
454405,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","CCE when exporting uncategorized tasks","2014-12-08 15:11:49"
455154,"Mylyn Tasks","Bugzilla","mylyn-triaged","NEW"," ---","[linux] task marked as modified with no real modification","2014-12-15 18:46:18"
478874,"Mylyn Tasks","Framework","mylyn-triaged","NEW"," ---","Navigate > Deactivate Task menu item active even if no task active","2015-10-07 14:58:44"
385439,"Mylyn Tasks","Framework","sam.davis","NEW"," ---","TaskList.deleteCategory() deletes task data but not ITasks for AutomaticRepositoryTaskContainers","2013-04-23 07:02:48"
376233,"Mylyn Tasks","Framework","achmetow84","NEW"," ---","provide activity tracing for Tasks, Builds, Reviews and Commits","2014-09-22 08:49:16"
378097,"Mylyn Tasks","Framework","achmetow84","NEW"," ---","[activity] get data from EGit history","2013-06-05 10:11:32"
383020,"Mylyn Tasks","Framework","achmetow84","NEW"," ---","[activity] get data from Hudson","2012-06-28 17:23:43"
383023,"Mylyn Tasks","Framework","achmetow84","NEW"," ---","[activity] extend the TreeViewer for additional build data","2012-09-16 13:36:10"
384985,"Mylyn Tasks","Framework","achmetow84","NEW"," ---","[activity] open selected record in associated view","2012-10-01 17:43:53"
385828,"Mylyn Tasks","Framework","b.muskalla","NEW"," ---","SynchronizeTasksJob should use getMultiTaskData for task relations","2013-04-18 18:12:04"
386925,"Mylyn Tasks","Bugzilla","b.muskalla","NEW"," ---","bugzilla doesn't properly detect invalid credentials","2012-09-15 21:46:14"
372594,"Mylyn Tasks","Bugzilla","eclipse","NEW"," ---","use Webservice for build the RepositoryConfiguration","2012-09-09 23:05:30"
449535,"Mylyn Tasks","Bugzilla","eclipse","NEW"," ---","persistence RepositoryConfiguration to the filesystem","2015-01-09 17:29:59"
415961,"Mylyn Tasks","Framework","lmcbout","NEW"," ---","Allow to select the Gerrit server from the Mylyn Gerrit repository wizard","2013-12-19 08:41:14"
