"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
326114,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[scm] provide connector for platform team provider","2010-11-12 11:38:44"
330616,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[discussion] refine changeset API","2011-10-12 17:21:40"
334759,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[api] Method for retrieving changes of a changeset","2011-01-19 08:44:01"
334761,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[api] Method for retrieving changes of  two changesets","2011-01-21 04:51:54"
334771,"Mylyn Versions","CVS Connector","mylyn-triaged","NEW"," ---","Determining virtual change sets for CVS","2011-01-20 15:55:52"
334784,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[api] Entries in the ChangeSet shall have a base an target artifacts","2011-01-20 11:29:52"
338547,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[api] Enable the possibility for connectors to describe their specific attributes","2013-01-25 07:52:31"
346462,"Mylyn Versions","Git Connector","mylyn-triaged","NEW"," ---","use jobs to replace usages of NullProgressMonitor in GitChangeSetDialog","2013-04-26 11:12:07"
346544,"Mylyn Versions","Git Connector","mylyn-triaged","NEW"," ---","[UI] Change Sets for merged commits incomplete","2011-07-26 14:25:24"
348896,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[scm] provide UI connector for Subversive","2013-01-25 07:52:31"
348897,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[scm] Implement SVN connectors","2013-01-25 07:52:30"
352038,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[api] provide a hook for returning committed/pushed resources","2011-07-15 20:01:06"
353456,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","open multiple corresponding tasks from history view","2011-08-11 07:04:49"
356501,"Mylyn Versions","Framework","mylyn-triaged","NEW"," ---","[Subclipse] Add progress monitor upon selection of a commit","2013-01-25 07:52:31"
358787,"Mylyn Versions","Git Connector","mylyn-triaged","NEW"," ---","Improve performance when displaying commits in dialog combo box","2011-09-27 05:54:20"
334797,"Mylyn Versions","Framework","b.muskalla","ASSIGNED"," ---","Extend AbstractTaskReference and provide default impl","2011-05-16 13:24:57"
311191,"Mylyn Versions","Framework","mylyn-triaged","ASSIGNED"," ---","[scm] provide core connector for Subversive","2015-11-04 02:57:38"
358600,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","FIXED","R4E Git connector search on LINUX generated exceptions","2011-10-24 16:22:19"
338478,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[api] provide UI connector interface","2011-06-04 10:45:03"
338669,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[api] Include workspace resource info in ScmArtifact","2011-08-12 14:27:07"
341701,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Git] GitConnector changeset Date value incorrect","2011-04-02 10:59:00"
342773,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","FIXED","getChangeSet returns with base and target inverted","2011-05-23 11:42:57"
342774,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","FIXED","Git UI connector dialog displaying dev/null as path","2011-05-31 07:33:40"
348899,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[scm] provide core connector for Subclipse","2011-10-14 07:06:22"
348902,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[scm] provide UI connector for Subclipse","2011-10-14 07:06:29"
351840,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Subclipse blocks Mylyn tests","2012-02-10 09:37:53"
354670,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[api] getChangeSets Iterator","2011-08-25 09:45:17"
355096,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Implement the getChangeSets Iterator api","2011-09-13 08:11:59"
355525,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Resolve base versions only for a specific user selected changeset","2011-10-14 07:21:26"
356253,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[subclipse] review obsolete dependencies","2011-09-09 15:39:21"
356958,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse]  Null pointer exception due to unknown team provider","2011-09-13 08:12:11"
356960,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Verify required version for Subclipse plugin","2011-09-15 08:16:44"
357218,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[Subclipse] Add feature bundle","2011-09-16 12:19:03"
359470,"Mylyn Versions","Framework","alvsan09","RESOLVED","FIXED","[subclipse] Exception when creating a review item from a new  file","2011-09-29 23:43:59"
360247,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","DUPLICATE","CoreException when fetching commits","2011-10-13 15:10:00"
364622,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","DUPLICATE","R4Eclipse Find review items from GIT SCM","2012-06-04 08:21:52"
367213,"Mylyn Versions","Git Connector","alvsan09","RESOLVED","FIXED","R4E Array index out of bound exceptions","2012-06-25 19:24:18"
351895,"Mylyn Versions","Git Connector","b.muskalla","RESOLVED","FIXED","bundle has broken provider informations","2011-07-13 14:26:44"
336293,"Mylyn Versions","Framework","kilian.matt","RESOLVED","FIXED","[git] Provide a versions connector for EGit","2011-02-25 01:44:08"
328420,"Mylyn Versions","Framework","mylyn-inbox","RESOLVED","FIXED","provision Mylyn Versions project","2010-11-22 15:32:04"
341733,"Mylyn Versions","Framework","mylyn-inbox","RESOLVED","WORKSFORME","ScmResourceArtifact.getFileRevision returns null for Git","2011-05-31 14:22:34"
350963,"Mylyn Versions","Framework","mylyn-inbox","RESOLVED","INVALID","czCzc","2011-07-11 12:30:37"
359441,"Mylyn Versions","Framework","mylyn-inbox","RESOLVED","WORKSFORME","Commit comment does not get updated upon change of active task","2011-11-05 14:56:13"
359474,"Mylyn Versions","Git Connector","mylyn-inbox","RESOLVED","DUPLICATE","R4E Find review item for a GIT repository generates errors","2011-10-19 18:49:09"
359593,"Mylyn Versions","Git Connector","mylyn-inbox","RESOLVED","DUPLICATE","R4E Find review item generating a Core exception with GIT repo","2011-10-11 10:35:43"
341684,"Mylyn Versions","Git Connector","sebastien.dubois","RESOLVED","FIXED","provide a dialog for selecting Git change sets","2011-05-19 10:51:56"
344982,"Mylyn Versions","Git Connector","sebastien.dubois","RESOLVED","FIXED","Add Project Filtering to Git Connector UI","2011-05-17 10:53:54"
359469,"Mylyn Versions","Framework","sebastien.dubois","RESOLVED","FIXED","[subclipse] Adding a resource review item using SVN displays version 5","2012-05-24 14:04:43"
326113,"Mylyn Versions","Framework","steffen.pingel","RESOLVED","FIXED","[scm] provide data model for change set retrieval","2011-02-12 19:10:26"
326115,"Mylyn Versions","CVS Connector","steffen.pingel","RESOLVED","FIXED","[scm] provide connector for cvs","2011-02-25 01:43:49"
332724,"Mylyn Versions","CVS Connector","steffen.pingel","RESOLVED","FIXED","rename cvs package to ccvs","2011-01-05 14:41:10"
343443,"Mylyn Versions","Framework","steffen.pingel","RESOLVED","FIXED","org.eclipse.mylyn.versions-feature is missing dependendies in feature.xml","2011-04-20 15:31:06"
343546,"Mylyn Versions","Git Connector","steffen.pingel","RESOLVED","FIXED","org.eclipse.mylyn.git-feature missing dependency on o.e.m.versions-feature","2011-04-21 11:16:54"
343549,"Mylyn Versions","CVS Connector","steffen.pingel","RESOLVED","FIXED","org.eclipse.mylyn.cvs-feature missing dependency on o.e.m.versions.core","2011-04-21 11:15:55"
364164,"Mylyn Versions","Framework","steffen.pingel","RESOLVED","FIXED","Make plugin id of versions.core public","2011-11-18 10:29:02"
366862,"Mylyn Versions","Framework","steffen.pingel","RESOLVED","FIXED","make sure Mylyn dependencies are at the feature level","2011-12-17 06:16:40"
343444,"Mylyn Versions","Git Connector","mylyn-inbox","CLOSED","INVALID","org.eclipse.mylyn.git.core plug-in has to strict dependency on egit/jgit","2011-04-20 14:31:51"
