"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
237393,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[externalization] guard against partial failure when setting task list directory","2009-08-13 20:25:53"
248377,"Mylyn","UI","mylyn-triaged","NEW"," ---","[theme] redesign task list content provider","2012-01-11 09:35:27"
265582,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[framework] task deletion doesn't update repository model","2010-05-01 21:34:07"
272089,"Mylyn","UI","mylyn-triaged","NEW"," ---","[theme] improve the usability of focusing","2012-02-08 16:26:14"
281893,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[theme] improvements to task list synchronization to reduce load on servers","2012-02-16 12:35:22"
283877,"Mylyn","Core","mylyn-triaged","NEW"," ---","improve reuse of Mylyn in server and RCP applications","2012-05-07 13:21:06"
286337,"Mylyn","Core","mylyn-triaged","NEW"," ---","[activity] deleted tasks are retained by TaskActivityManager","2010-05-18 14:36:10"
288890,"Mylyn","UI","mylyn-triaged","NEW"," ---","specify help context ids for UI elements","2012-01-20 15:30:48"
290604,"Mylyn","Core","mylyn-triaged","NEW"," ---","[api] support updating of task details without causing an incoming notification","2009-11-25 19:02:19"
302958,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[editor][framework] expose method to add additional info to the comment title in task editor","2010-07-09 06:19:41"
306113,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[api][editor] support sharing a single data model between pages","2010-07-09 00:32:11"
227981,"Mylyn","UI","shawn.minto","NEW"," ---","[context] automatically close uninteresting editors when a task is activated","2016-07-01 05:26:19"
276943,"Mylyn","Doc","greensopinion","NEW"," ---","connector discovery wizard context sensitive help","2009-06-16 23:32:08"
245756,"Mylyn","Tasks","mik.kersten","NEW"," ---","[planning] improve progress reporting in Task List progress bar","2011-05-20 16:39:52"
343626,"Mylyn","Tasks","mik.kersten","NEW"," ---","revamp Task List presentation","2014-04-25 13:30:09"
214882,"Mylyn","UI","mylyn-triaged","NEW"," ---","Eclipse crashes when opening a ticket with a large number of comments","2009-08-17 01:47:31"
216374,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","exception when TaskList.addQuery() is called from non UI thread","2009-07-28 15:51:19"
216677,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[performance] synchronizing many (~1000) tasks at same time freezes UI for a while","2011-02-02 12:26:42"
217864,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","add mechanism for saving and recalling task repository searches","2010-02-26 16:19:08"
219365,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[new uex] make Focus on Workweek more discoverable","2011-09-27 17:38:48"
220970,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","provide option for hiding old completed tasks","2009-07-24 00:38:56"
221388,"Mylyn","UI","mylyn-triaged","NEW"," ---","[api] provide a reusable viewer with a minimal subset of task list functionality","2010-06-02 16:08:43"
222429,"Mylyn","UI","mylyn-triaged","NEW"," ---","[e3.4] use colored label decorations in the Task List","2009-09-25 20:36:01"
224670,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","shared due causes an issue to be visible in the scheduled presentation, however the due date cannot be modified","2010-01-05 16:21:37"
224911,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[api] provide method for getting new task wizard","2009-07-24 10:42:03"
226168,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[planning] allow lower level granularity of estimated time on tasks","2010-12-28 08:02:37"
226286,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[uex] eliminate the blank task list due to working set switching","2012-02-09 13:10:04"
227196,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","mark as read on category should ask for confirmation","2009-08-13 19:41:49"
233055,"Mylyn","Core","mylyn-triaged","NEW"," ---","decouple from platform internals and remove reflective calls","2011-04-04 11:09:37"
233378,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[api] extract notes from task list","2011-02-25 16:21:09"
233379,"Mylyn","Core","mylyn-triaged","NEW"," ---","[context][externalization] support asynchronous saving of contexts","2009-12-22 21:34:15"
236365,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[performance] [externalization] reduce disk activity caused by automatic saving","2010-02-04 21:58:30"
237397,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[externalization] implement forced and lazy save capability in externalization manager","2010-05-01 21:32:19"
238493,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","Active local task does not seem to get deactivated on deletion","2009-07-28 15:52:41"
239067,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[api] provide method for getting task data working copy without marking task read","2011-09-27 07:45:25"
239290,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","add parent support for dependencies","2009-08-13 20:08:13"
239378,"Mylyn","Monitor","mylyn-triaged","NEW"," ---","provide more flexibility for showing child tasks in task list","2009-08-13 20:08:21"
240096,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","[framework] task list should listen to changes in context manager","2009-08-18 00:02:31"
241012,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","ensure actions on model are valid","2009-08-17 01:47:56"
241156,"Mylyn","UI","mylyn-triaged","NEW"," ---","[api] provide an attribute editor for editing cc lists","2012-04-18 15:47:09"
241761,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","handle multi-value attributes","2009-08-19 14:38:28"
242430,"Mylyn","UI","mylyn-triaged","NEW"," ---","[api] provide a way to validate editor entries when editing tasks","2010-12-10 15:03:19"
243455,"Mylyn","Tasks","mylyn-triaged","NEW"," ---","ensure newly available operations aren't decorated with incoming","2010-12-28 08:00:04"
