"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
373059,"Nebula","releng","jfaltermeier","NEW"," ---","Set up p2.mirrorsURL property in result sites","2020-06-09 15:31:33"
373009,"Nebula","Core","nebula-inbox","REOPENED"," ---","Nebula Website Change Requests","2019-12-24 06:29:30"
460622,"Nebula","releng","wim.jongman","REOPENED"," ---","Nebula snapshot repositories don't work","2019-07-14 07:15:53"
478066,"Nebula","Visualization","alex.bunkowski","RESOLVED","FIXED","IntensityGraphFigure: Added MouseListener are not triggered.","2019-09-15 09:14:58"
371890,"Nebula","PictureControl","azerr","RESOLVED","FIXED","Problem with examples view","2012-02-17 10:43:42"
391131,"Nebula","PaginationControl","azerr","RESOLVED","FIXED","Provide a two parameter constructor","2019-04-14 06:53:17"
385300,"Nebula","Grid","caosmpz","RESOLVED","FIXED","to many getItems calls bring performance issues","2014-04-20 12:24:01"
387366,"Nebula","Grid","caosmpz","RESOLVED","FIXED","""Widget is disposed"" Exception with EditingSupport","2014-03-25 09:37:00"
421248,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Grid throws ""Widget Disposed"" when key-navigating after removing an item","2014-03-25 06:51:40"
430879,"Nebula","Grid","caosmpz","RESOLVED","FIXED","ArrayIndexOutOfBoundsException in GridItemDataVisualizer","2014-03-25 03:24:24"
433363,"Nebula","Grid","caosmpz","RESOLVED","FIXED","OOM using GridColumn pack with 1000000 items","2014-05-06 07:07:05"
434193,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Support optimized pack function basing with the visibile rows only","2014-05-06 08:48:23"
434733,"Nebula","Grid","caosmpz","RESOLVED","FIXED","SWT.VIRTUAL with none default content provider fails on sorting","2014-05-13 09:38:57"
435202,"Nebula","Grid","caosmpz","RESOLVED","FIXED","SWT.VIRTUAL and ViewerFilter woes","2014-05-21 06:00:50"
435600,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Improving Performance Rendering","2014-05-23 04:32:51"
439242,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Grid allows vertical scrolling below last item leading to an IllegalArgumentException","2014-07-30 04:00:38"
439256,"Nebula","Grid","caosmpz","RESOLVED","FIXED","Grid column header does not inherit Font","2014-07-16 08:59:58"
440519,"Nebula","Grid","caosmpz","RESOLVED","FIXED","IOB on column adding","2014-07-28 08:18:30"
