"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
310922,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[refactoring] implement more checks for MoveInstanceMethod","2010-06-29 10:09:28"
311869,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[assist] quickfix for adjusting signature mismatch in method binding","2010-05-06 08:49:28"
316587,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[compiler] Problems should be categorized systematically","2010-06-29 10:05:29"
316603,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[compiler] Minimize retention of byte code","2010-06-29 10:06:12"
316607,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[wizard][dialog] Improve maintainability of UI code","2014-04-21 19:25:53"
316692,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] Anonymous classes not completely handled in OT-model","2010-06-29 10:09:11"
316699,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[debug] Step-into-selection does not work for all OT situations","2010-06-29 10:13:26"
326843,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] need binding keys for phantom types","2010-10-02 14:11:04"
338593,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[otmodel] Add new API to ease the retrieval of the parameter annotations for an IMethodMapping","2011-05-08 15:07:49"
356670,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[debug] don't mark AJDT launches with org.eclipse.objectteams.launch","2011-09-03 16:16:31"
315441,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","Consider activation of nested team","2010-06-02 14:08:56"
316547,"Objectteams","OTEquinox","objectteams.otequinox-inbox","NEW"," ---","Make OT/Equinox fully aware of multiple ClassLoaders","2010-06-29 10:04:40"
310881,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] Inferred callout for compound statements","2010-06-29 10:01:40"
311511,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] Support @ImplicitTeamActivation for callouts","2010-05-04 07:04:56"
316611,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler][otre] Measure and avoid penalties due to unnecessary lifting","2010-06-11 09:56:03"
316615,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otre][compiler] Optimize implementation of role-of-role","2010-06-29 10:06:34"
323074,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","NPE thrown from base class's equals() causes role creation to fail","2010-08-18 14:29:58"
326052,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[compiler] problems with team ctors with declared lifting in specific inheritance situations","2010-09-23 09:16:49"
329967,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otmodel] stack overflow if role extends itself","2010-11-10 19:21:59"
355296,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","[otjld] consider lifting of collections of base objects","2011-08-20 10:41:44"
355441,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","illegal bytecode for team constructor with declared lifting and field access","2011-08-22 17:02:35"
332582,"Objectteams","OTJ","stephan.herrmann","NEW"," ---","[compiler] delegating basecall to parameterized super-role","2011-01-28 18:12:37"
316700,"Objectteams","OTDT","objectteams.otdt-inbox","NEW"," ---","[builder] Incremental builder could hide more compile order problems","2011-08-27 10:21:12"
322904,"Objectteams","OTJ","objectteams.otj-inbox","NEW"," ---","Support callout bindings for constructors","2011-08-27 10:23:02"
315428,"Objectteams","OTDT","stephan.herrmann","ASSIGNED"," ---","[refactoring] Renaming base features does not update inferred callouts","2013-07-14 08:27:05"
316219,"Objectteams","OTDT","stephan.herrmann","ASSIGNED"," ---","[otmodel] OTModelManager cleanup may be incomplete","2010-09-11 12:14:23"
318415,"Objectteams","OTJ","stephan.herrmann","ASSIGNED"," ---","[compiler] Copy inheritance problem","2014-04-21 19:29:14"
330002,"Objectteams","OTJ","stephan.herrmann","ASSIGNED"," ---","Wrong linearization of tsuper calls in diamond inheritance","2020-08-20 17:00:20"
348074,"Objectteams","OTDT","stephan.herrmann","ASSIGNED"," ---","[assist] create playedBy to fix broken lifting","2020-08-20 17:00:17"
354268,"Objectteams","OTEquinox","stephan.herrmann","ASSIGNED"," ---","Thread ""Compiler Processing Task"" is still affected by bug 322928","2020-08-20 17:00:17"
354687,"Objectteams","OTDT","stephan.herrmann","ASSIGNED"," ---","[ui][impl] reconsider activation strategy for OutlineAdaptor","2020-08-20 17:00:20"
331730,"Objectteams","OTDT","objectteams.otdt-inbox","REOPENED"," ---","[debug] Breakpoint on the first statement of a base method with a callin binding attached broken","2011-01-28 18:11:31"
