"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
487626,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Support headless mode for the installer","2020-11-11 08:42:48"
491532,"Oomph","Docs","oomph-inbox","UNCONFIRMED"," ---","Update Projects Page from the import wizard with corresponding picture","2016-07-06 11:10:35"
509227,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Eclipse not listening to Preference Task for showing target platform status","2016-12-21 03:23:46"
525128,"Oomph","Docs","oomph-inbox","UNCONFIRMED"," ---","Broken link to undocumented org.eclipse.oomph.resources","2017-09-26 04:58:05"
527920,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Attribute to force overwrite of preference in setup task","2020-11-23 07:04:51"
562273,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Permanent location on C drive without Administrator","2020-11-06 04:21:39"
565026,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Installer Build 4683 fails to create menu/desktop shortcuts","2020-07-17 02:26:24"
565253,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Issue opening eclipse+installer URL on Kubuntu","2020-07-17 03:12:37"
566802,"Oomph","Setup","oomph-inbox","UNCONFIRMED"," ---","Accessing setups in enterprise github with SAML authentication","2020-09-16 02:08:25"
567186,"Oomph","Project Configuration","oomph-inbox","UNCONFIRMED"," ---","Configuration for ""org.eclipse.oomph.setup"" stored in the wrong place.","2020-09-23 04:27:08"
489482,"Oomph","Setup","Ed.Merks","NEW"," ---","Prepare Platform.setup for hosting by the platform projects themselves","2016-07-06 11:14:19"
536533,"Oomph","Docs","Ed.Merks","NEW"," ---","Eclipse Platform SDK Provisioning","2020-05-30 03:35:01"
550361,"Oomph","P2 Management","Ed.Merks","NEW"," ---","Provide support for generating a p2 repository quality report","2020-01-28 01:36:25"
562040,"Oomph","Setup","Ed.Merks","NEW"," ---","Provide support for donation from within the IDE","2020-06-15 10:29:06"
565349,"Oomph","Setup","Ed.Merks","NEW"," ---","Provide support for installing a product's JRE from a p2 update site","2020-08-10 18:34:49"
