"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
350792,"Orbit","bundles","ahunter.eclipse","NEW"," ---","org.apache.batik.pdf JAR pollutes classpath with classes from commons-io","2017-08-02 16:00:54"
250827,"Orbit","bundles","caniszczyk","NEW"," ---","ClassNotFound  exception when commons.collections's class loader fails to load propritory class during serialization","2009-05-04 03:41:37"
346921,"Orbit","bundles","oliver.wolf","NEW"," ---","org.apache.neethi does not use 'qualifier' in versioning","2017-08-02 15:58:27"
241243,"Orbit","releng","orbit.releng-inbox","NEW"," ---","allow for bundles to be marked as ""not fully reviewed""","2017-07-21 14:33:40"
258349,"Orbit","bundles","ahunter.eclipse","NEW"," ---","Add Batik 1.7: PDF Transcoder","2017-01-10 09:33:38"
291913,"Orbit","bundles","ahunter.eclipse","NEW"," ---","Add Batik 1.7: PDF Transcoder dependencies","2016-08-30 10:47:59"
284486,"Orbit","bundles","dj.houghton","NEW"," ---","Fragmentize com.ibm.icu","2010-11-18 14:25:14"
347914,"Orbit","bundles","KetanPadegaonkar","NEW"," ---","Unable to find Mockito in Orbit software repository","2013-09-15 12:53:22"
349164,"Orbit","bundles","KetanPadegaonkar","NEW"," ---","Mockito cannot mock the classes under development","2018-04-30 12:38:10"
367476,"Orbit","bundles","marcel.bruch","NEW"," ---","Add org.apache.commons.primitives:1.0","2013-09-18 01:00:37"
329612,"Orbit","bundles","masquill","NEW"," ---","org.apache.commons.jxpath should have an optional dependency/import beanutils and jdom","2010-11-18 14:10:43"
221691,"Orbit","bundles","mober.at+eclipse","NEW"," ---","Rename some Jakarta Commons bundles to Apache Commons","2009-02-17 01:18:01"
279520,"Orbit","bundles","oisin.hurley","NEW"," ---","javax.xml.stream bundle should require system bundle","2011-10-24 11:34:28"
278350,"Orbit","bundles","oliver.wolf","NEW"," ---","org.apache.velocity: add DynamicImport-Package","2009-06-12 06:16:41"
281494,"Orbit","bundles","oliver.wolf","NEW"," ---","com.sun.xml.bind: no version specified for javax.xml.bind.* packages","2009-06-25 10:05:33"
226629,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","revisit cyclic dependancies with PDE build allows it","2016-08-11 15:22:28"
362370,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Cannot send email attachments using Orbit bundle with JRE1.5","2012-01-20 17:21:23"
364928,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","can not ""aggregate"" Orbit","2016-08-11 15:21:55"
367072,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","add Spring Data Commons to Orbit","2011-12-19 10:21:21"
230060,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Should tie mail notification in to CC","2016-08-11 15:23:11"
262015,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Provide a means for Orbit bundles to announce version semantics","2016-08-11 15:22:31"
290917,"Orbit","releng","orbit.releng-inbox","NEW"," ---","[tests] Add test to verify source bundle version","2009-09-30 10:33:08"
309719,"Orbit","releng","orbit.releng-inbox","NEW"," ---","[tests] Add verification test for correct provider","2010-04-19 13:37:57"
309720,"Orbit","releng","orbit.releng-inbox","NEW"," ---","[tests] Add verification test for source bundles","2010-04-19 13:39:09"
310183,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Consider better documenting the treatment of ""pre-built"" bundles","2011-11-28 22:13:08"
317531,"Orbit","releng","orbit.releng-inbox","NEW"," ---","displayed iplog.xml file should be more dynamic and not linked to ""build time""","2010-06-21 18:40:28"
326911,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Layout test could also check manifest.mf entries","2011-05-18 13:30:30"
332005,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Orbit releng should detect broken hyperlinks to local files in about.html","2010-12-07 07:04:27"
