"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
464971,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Orbit repos should be able to 'unpack200' from a range of VMs","2015-04-20 02:42:41"
447482,"Orbit","bundles","caniszczyk","NEW"," ---","com.google.gwtorm fails at runtime to find required classes from com.google.protobuf","2014-10-16 13:21:43"
471399,"Orbit","bundles","esp1","NEW"," ---","Different signers for poi and poi-ooxml 3.9.0","2015-09-18 10:17:45"
369717,"Orbit","bundles","KetanPadegaonkar","NEW"," ---","Cannot resolve org.hamcrest import in Mockito bundle","2013-11-12 03:28:28"
374940,"Orbit","bundles","marcel.bruch","NEW"," ---","Bring org.jboss.netty to Orbit","2013-09-26 13:34:33"
372308,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","org.apache.commons.cli requires org.apache.commons.logging bundle","2012-02-23 04:22:29"
376698,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","org.apache.commons.collections class loading","2012-04-13 05:07:01"
378098,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Many apache source bundles not labeled as such","2017-07-26 09:37:55"
384796,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","org.h2 has wrong BREE set","2012-07-11 00:05:37"
386233,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Gson 2.1.0.v201203072145 incorrectly references LICENSE.txt in its about.html","2012-07-30 08:11:01"
389510,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","org.apache.jasper.glassfish does not import several used packages","2017-03-23 09:53:54"
410997,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","org.apache.velocity is a singleton but is not marked as such","2013-09-26 17:44:37"
422580,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Make the org.w3c.dom.events dependency optional for the org.apache.batik.css_1.7.0 bundle","2013-11-27 04:45:48"
437470,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Resolver problems with guava and javax.activation","2017-03-14 10:06:57"
462762,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","A suggestion to provide a complete Hamcrest implementation or remove it completely","2015-03-21 14:18:22"
470260,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","javax.mail based on broken geronimo-javamail","2015-06-16 06:06:47"
471078,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","ConcurrentLinkedHashMap 1.4.0","2015-06-26 02:46:45"
471080,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Javassist 3.19.0","2019-10-18 04:37:59"
471085,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","OrientDB 2.0.9","2015-06-26 02:55:04"
471088,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Xerial 1.1.16","2015-06-26 02:57:18"
479308,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Add AGG 2.1 to Orbit","2015-10-08 04:29:49"
479490,"Orbit","bundles","orbit.bundles-inbox","NEW"," ---","Apache jclouds-compute","2015-12-08 06:17:23"
370005,"Orbit","releng","orbit.releng-inbox","NEW"," ---","need to automate signature and pack verifications","2016-08-11 15:22:37"
370054,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Eclipse doesn't keep what you have selected when using orbit bundles.","2012-01-28 17:07:02"
377945,"Orbit","releng","orbit.releng-inbox","NEW"," ---","add ""users real mail"" file to Orbit's config","2016-08-11 15:22:43"
388812,"Orbit","releng","orbit.releng-inbox","NEW"," ---","allowBinaryCycles=true resulted in some unusual errors in Orbit build","2012-09-05 08:44:27"
403976,"Orbit","releng","orbit.releng-inbox","NEW"," ---","It would be nice to have a releng test that confirmed signatures of split packages, and fragments and hosts","2013-03-21 02:13:49"
424063,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Tweak Orbit's website","2013-12-16 16:20:47"
438650,"Orbit","releng","orbit.releng-inbox","NEW"," ---","improve solstice theme on Orbit download pages","2014-07-03 11:26:41"
464475,"Orbit","releng","orbit.releng-inbox","NEW"," ---","important to run ""verifydir"" command automatically with each build","2015-04-13 00:08:06"
464476,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Should produce a file/directory of checksums for each bundle.","2016-08-11 15:21:36"
465215,"Orbit","releng","orbit.releng-inbox","NEW"," ---","Some ""unpack"" errors, in previous builds under Java 8","2015-04-22 12:03:27"
