"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
480140,"PMF","General","amine.ouraiba","NEW"," ---","ClassNotFoundException at the loading of generated class","2015-11-25 14:14:43"
480960,"PMF","General","amine.ouraiba","NEW"," ---","Dirty application model (import model)","2016-04-05 15:55:31"
482259,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","Desynchronization between xwt files and type sections name","2015-11-23 11:15:02"
482261,"PMF","Modeling Tools","amine.ouraiba","NEW"," ---","Editor doesn't turn in dirty state of some EDatatypes","2016-01-15 12:49:07"
482262,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","Collection buttons are not dispalyed correctly","2015-11-23 11:18:56"
482275,"PMF","Modeling Tools","amine.ouraiba","NEW"," ---","Access DataModelType of classifier","2016-04-05 15:55:18"
482276,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","many Property part in container","2016-04-05 15:55:16"
482277,"PMF","Modeling Tools","amine.ouraiba","NEW"," ---","Warning displayed at PMF creation model","2015-11-18 18:03:51"
482278,"PMF","Modeling Tools","amine.ouraiba","NEW"," ---","Focus out message displayed","2015-12-02 17:09:08"
482280,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","Tab names with space","2015-11-25 09:36:28"
482368,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","NPE at generation of data inheritance","2016-04-05 14:48:53"
482500,"PMF","Target - Eclipse via XWT","amine.ouraiba","NEW"," ---","InvocationException at generation project","2015-11-26 09:43:20"
482267,"PMF","Target - Eclipse via XWT","amine.ouraiba","RESOLVED","FIXED","Collections label are displayed in buttom of the list widget","2016-01-19 11:02:27"
482273,"PMF","Target - Eclipse via XWT","amine.ouraiba","RESOLVED","FIXED","Case sensitve attribute names","2015-11-19 15:17:33"
482263,"PMF","Target - Eclipse via XWT","amine.ouraiba","CLOSED","DUPLICATE","Columns label are not displayed in many EReference association","2016-03-17 13:31:52"
