"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
419930,"Paho","Samples","andypiperuk","UNCONFIRMED"," ---","New MQTT Client for Java ME v3.2 (CLDC-1.1/IMP-NG)","2016-02-24 10:58:33"
437671,"Paho","MQTT-C++","fpagliughi","UNCONFIRMED"," ---","C++ Sample Compile fails","2017-08-24 08:38:59"
471765,"Paho","MQTT-C++","fpagliughi","UNCONFIRMED"," ---","Fix for compilation error","2015-07-03 04:38:03"
480007,"Paho","MQTT-C++","fpagliughi","UNCONFIRMED"," ---","Unable to use set_user_name and set_password methods in connect_options class","2015-10-16 17:41:43"
482241,"Paho","MQTT-C++","fpagliughi","UNCONFIRMED"," ---","Unsubscribe filter collection inside the mqtt::client","2015-11-16 02:58:21"
441813,"Paho","MQTT-Lua","kkinfoo","UNCONFIRMED"," ---","Update functions to work in lua 5.2","2015-01-13 05:55:27"
404575,"Paho","Website","andypiperuk","NEW"," ---","Add humans.txt to website","2013-03-28 11:25:41"
404578,"Paho","Website","andypiperuk","NEW"," ---","Add sitemap to Paho website","2013-03-28 11:53:01"
406270,"Paho","MQTT","andypiperuk","NEW"," ---","Internationalize messages for MQTT Tester View","2013-04-23 00:28:17"
417446,"Paho","Website","nick.oleary","NEW"," ---","[wiki] and web - update quick starts","2013-09-17 12:44:32"
468374,"Paho","Website","nick.oleary","NEW"," ---","Replace M2M by IoT in HTML pages' titles?","2015-05-26 14:30:10"
390130,"Paho","Samples","andypiperuk","ASSIGNED"," ---","E4 GUI client for Paho","2013-04-15 06:30:15"
410419,"Paho","Samples","andypiperuk","ASSIGNED"," ---","C client persistence using redis.io","2013-07-01 05:46:47"
433411,"Paho","MQTT-Lua","kkinfoo","ASSIGNED"," ---","Implement user name and password at connection","2014-09-23 06:26:28"
433413,"Paho","MQTT-Lua","kkinfoo","ASSIGNED"," ---","Join LuaRocks","2014-10-02 11:46:40"
445783,"Paho","MQTT-Lua","kkinfoo","ASSIGNED"," ---","Make Lua client LDT friendly","2015-01-13 05:55:50"
445785,"Paho","MQTT-Lua","kkinfoo","ASSIGNED"," ---","Rename library to Paho","2016-03-30 11:02:53"
376348,"Paho","Samples","marco.carrer","ASSIGNED"," ---","Java code samples from EclipseCon / Eurotech talk","2013-04-23 17:24:22"
406271,"Paho","MQTT","marco.carrer","ASSIGNED"," ---","MQTT Tester View could use async API","2013-04-23 17:21:27"
443665,"Paho","Website","zhbinbj","ASSIGNED"," ---","Promote MQTT RCP GUI on the website","2014-09-11 04:07:25"
389808,"Paho","Samples","andypiperuk","RESOLVED","FIXED","Samples should use EDL license","2014-08-18 08:29:34"
402265,"Paho","MQTT","andypiperuk","RESOLVED","DUPLICATE","[new] Submission of Objective-C MQTT Client to Eclipse Paho","2015-11-19 10:13:31"
403956,"Paho","MQTT","andypiperuk","RESOLVED","FIXED","[new] Submission of Mosquitto Python MQTT client to Eclipse Paho","2014-02-04 05:05:54"
404576,"Paho","MQTT","andypiperuk","RESOLVED","FIXED","Update MQTT client view to latest Paho Java client API","2013-04-21 18:55:59"
405799,"Paho","Website","andypiperuk","RESOLVED","FIXED","Twitter feed not working on eclipse.org/paho","2015-05-06 09:26:16"
405834,"Paho","MQTT","andypiperuk","RESOLVED","FIXED","Standalone Paho Java GUI test app","2013-08-22 07:38:24"
423323,"Paho","MQTT","andypiperuk","RESOLVED","FIXED","JMeter MQTT Sampler plugin Contribution","2014-03-05 09:47:36"
433833,"Paho","MQTT","andypiperuk","RESOLVED","FIXED","[feature] MQTT 3.1.1 support for all released clients","2014-06-26 06:11:37"
390962,"Paho","MQTT","asm","RESOLVED","FIXED","add EPL/EDL dual licensing to MQTT clients","2014-04-30 06:28:21"
405783,"Paho","MQTT","asm","RESOLVED","FIXED","Setup continuous integration","2014-04-30 06:30:51"
404585,"Paho","MQTT","icraggs","RESOLVED","FIXED","Add CONTRIBUTING.md file to root of each repo","2014-04-30 06:31:11"
409174,"Paho","MQTT","icraggs","RESOLVED","FIXED","MQTT C++ Wrapper Library Contribution","2014-04-30 07:12:56"
442298,"Paho","MQTT","icraggs","RESOLVED","FIXED","[move] transfer Paho project to top-level IoT project","2014-08-28 14:51:28"
443776,"Paho","MQTT","icraggs","RESOLVED","FIXED","M2Mqtt in Paho : MQTT client for .Net and WinRT platforms","2014-10-01 09:57:46"
416454,"Paho","Website","nick.oleary","RESOLVED","FIXED","Add C++ client to website","2013-09-17 08:52:34"
419848,"Paho","Website","icraggs","VERIFIED","FIXED","JavaDoc.zip on the main page links to an out of date zip file","2013-12-09 14:52:57"
379352,"Paho","MQTT","andyg","CLOSED","FIXED","Please consider this contribution of the MQTT Lua client library to the Paho project","2013-02-25 10:35:01"
399019,"Paho","MQTT-Lua","andyg","CLOSED","FIXED","Make the Lua client Koneki-friendly","2013-04-15 11:33:44"
382801,"Paho","MQTT","andypiperuk","CLOSED","FIXED","Eclipse Paho Client View uses Eurotech icon","2012-11-11 10:56:55"
382802,"Paho","MQTT","andypiperuk","CLOSED","FIXED","Eclipse Paho Client View should declare a category for view","2012-11-11 10:58:06"
382803,"Paho","MQTT","andypiperuk","CLOSED","FIXED","Eclipse Paho Client View should externalise strings for translation","2012-11-11 10:54:56"
389658,"Paho","Samples","andypiperuk","CLOSED","FIXED","Predefined launchers for Publisher and Subscriber","2014-01-28 10:12:35"
389680,"Paho","Samples","andypiperuk","CLOSED","FIXED","Sample app message string improvements","2012-11-11 11:34:21"
390928,"Paho","Samples","andypiperuk","CLOSED","FIXED","Java MQTT Sample contained unused waiter field","2012-10-24 10:34:25"
392742,"Paho","MQTT","andypiperuk","CLOSED","FIXED","""Eclipse Paho Client View"" view has poor naming","2012-11-11 10:55:55"
406624,"Paho","MQTT","andypiperuk","CLOSED","FIXED","Client View readme points at java client git repo","2013-04-28 15:33:14"
423686,"Paho","MQTT","andypiperuk","CLOSED","FIXED","Submission of a Go client to Paho","2014-09-30 11:25:12"
401725,"Paho","Sandbox","arlen.nipper","CLOSED","FIXED","Update sandbox broker to most recent mosquitto","2013-02-25 19:58:52"
409354,"Paho","Sandbox","arlen.nipper","CLOSED","INVALID","dfhgd","2013-05-29 05:41:09"
393649,"Paho","Samples","icraggs","CLOSED","FIXED","Add SSL sample code","2019-02-12 09:13:52"
401722,"Paho","Samples","icraggs","CLOSED","DUPLICATE","C client makefile refers to samples which are not present","2013-03-04 10:02:27"
440734,"Paho","MQTT","icraggs","CLOSED","MOVED","Automatic reconnect in Paho clients","2016-09-23 17:03:56"
440736,"Paho","MQTT","icraggs","CLOSED","FIXED","Allow applications to call publish when not connected AKA ""offline buffering""","2016-09-23 17:07:03"
442422,"Paho","MQTT","icraggs","CLOSED","WONTFIX","two issue of ios mqtt client","2019-08-07 12:04:57"
442708,"Paho","MQTT","icraggs","CLOSED","FIXED","An MQTT client for .Net","2014-10-01 05:39:13"
442874,"Paho","MQTT","icraggs","CLOSED","MOVED","Ideas for tools that could be created or adopted to test/debug/deploy MQTT","2019-06-06 08:52:24"
442877,"Paho","MQTT","icraggs","CLOSED","FIXED","An MQTT client for Ruby","2019-02-12 09:11:46"
442878,"Paho","MQTT","icraggs","CLOSED","WONTFIX","An MQTT client for PHP","2019-02-12 09:11:12"
458899,"Paho","Sandbox","icraggs","CLOSED","FIXED","mqtt-spy contribution to the Paho project","2019-08-07 12:04:00"
459883,"Paho","MQTT","icraggs","CLOSED","WORKSFORME","Output symlinks seems to point to non-existing files when running make install on OSX","2019-08-30 05:53:21"
481029,"Paho","MQTT","icraggs","CLOSED","DUPLICATE","Offline buffering aka publishing while disconnected","2015-10-29 12:32:47"
482381,"Paho","MQTT-Obj-C","icraggs","CLOSED","WONTFIX","Overall bugfixes / enhancements for iOS, OSX and tvOS forked off MQTT-Obj-C in 2013","2019-09-04 15:23:13"
403822,"Paho","MQTT","locke","CLOSED","FIXED","[new] contribution of IBM Javascript MQTT over WebSockets client","2013-04-30 19:16:11"
406179,"Paho","MQTT","marco.carrer","CLOSED","FIXED","Eclipse MQTT Tester view does not handle retained publications","2013-04-26 20:17:45"
