"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
477249,"Papyrus-rt","test","charles","UNCONFIRMED"," ---","[Model import Test] small PingPong example:  type of the log ports not set to UMLRTLogProtocol","2016-11-11 07:20:46"
477396,"Papyrus-rt","test","mdt-papyrus-inbox","UNCONFIRMED"," ---","[Model Import Test] small PingPong (V3) example : UMLRTFrameProtocol, UMLRTCapsuleId","2016-10-31 14:12:05"
480641,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Change direction of protocol message by drag-and-drop between lists in properties view of protocol","2016-10-31 14:15:13"
490419,"Papyrus-rt","test","papyrusrt-inbox","UNCONFIRMED"," ---","[test] rcptt error","2016-10-31 14:16:09"
490420,"Papyrus-rt","releng","papyrusrt-inbox","UNCONFIRMED"," ---","[releng] missing dependencies when activating the quality profile","2016-11-10 15:35:42"
490797,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Filtering only applicable to UML-RT is confusingly done also on standard new child menu","2017-04-06 07:53:10"
497243,"Papyrus-rt","codegen","papyrusrt-inbox","UNCONFIRMED"," ---","Command line code generator must support externalized profile applications","2016-10-31 14:25:20"
502351,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Model Explorer] [FACET] Papyrus-RT Protocol menu item is not expanded when create a protocol message from the new child menu","2017-06-19 08:54:09"
502556,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Improve drag-an-drop in model explorer, including support for UML-RT protocols","2017-02-03 03:01:04"
502855,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Improve the layout of the pre-view when creating a new connector","2016-11-07 05:26:12"
505705,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Model Import] Changing preferences in model import wizard causes dirty indicator on currently open model editor","2017-01-20 07:41:26"
527161,"Papyrus-rt","codegen","papyrusrt-inbox","UNCONFIRMED"," ---","Generated `CMakeLists.txt` contains an invalid Windows Path","2017-11-12 23:41:30"
494554,"Papyrus-rt","tool","papyrusrt-inbox","UNCONFIRMED"," ---","[Tooling] Add the ""Go Outside..."" navigation when right clicking on a capsule structure diagram","2016-12-15 06:57:53"
520373,"Papyrus-rt","General","papyrusrt-inbox","NEW"," ---","Migration support","2017-07-31 11:43:25"
493464,"Papyrus-rt","core","papyrusrt-inbox","NEW"," ---","UML-RT Core bundle depends on Papyrus Diagrams","2016-10-31 14:39:41"
511456,"Papyrus-rt","tool","papyrusrt-inbox","NEW"," ---","[Tooling] Prohibit UML-RT stereotypes to be applied manually","2017-10-17 14:35:37"
