"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
329657,"Platform","Resources","platform-resources-inbox","NEW"," ---","An active build blocks user task (like save)","2020-08-14 04:46:50"
252935,"Platform","UI","Platform-UI-Inbox","NEW"," ---","[regression] Filters (Configure Contents) dialog related to Problems/Tasks view does not contain Help button","2020-01-22 04:33:26"
218964,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] org.eclipse.ui.views.properties.tabbed.ITabbedPropertyConstants specification should be clarified","2019-09-06 16:05:57"
221127,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] TabbedPropertyRegistry class casting without checking type","2019-09-06 15:37:32"
222605,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] adopt schema identifier from PDE","2019-09-06 16:09:26"
244887,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] OverridableTabListContentProvider tries to create a StructuredSelection with a null element","2019-09-06 15:35:28"
247994,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] AdvancedPropertySection always shows a horizontal scrollbar","2019-09-06 16:17:53"
248351,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] Standard Tabs for the platform","2019-09-06 15:37:00"
257943,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] Examples need to support Multi-instance Properties View","2019-09-06 15:34:46"
259317,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] Eclipse crashes after entering text in Text field in properties view","2019-09-30 06:38:48"
261955,"Platform","UI","ahunter.eclipse","NEW"," ---","[TabbedProperties] TabbedPropertySheet should provide public methods to programmatically change tabs","2019-09-06 16:15:58"
283960,"Platform","SWT","arunkumar.thondapu","NEW"," ---","Clipboard ImageTransfer does not work on Linux x86_64.","2019-09-26 14:54:25"
216660,"Platform","SWT","billy.biggs","NEW"," ---","findProgram returns file type on Win, associated opener app on Mac","2019-09-06 16:19:19"
220518,"Platform","SWT","billy.biggs","NEW"," ---","[OpenGL - LWJGL] No depth buffer on Linux and OSX.","2019-09-06 16:09:21"
229409,"Platform","SWT","billy.biggs","NEW"," ---","[OpenGL] Better JOGL support","2019-09-06 16:18:25"
215782,"Platform","UI","bokowski","NEW"," ---","[DataBinding] [Snippet] Multi-Selection-Support-Snippet","2019-09-06 16:17:22"
223891,"Platform","UI","bokowski","NEW"," ---","[DataBinding] DateConversionSupport should expose Default","2019-09-06 16:15:59"
224368,"Platform","IDE","bokowski","NEW"," ---","BIDI3.4:HCG Buttons' positions should be switched on dialog win","2019-09-06 16:15:19"
226644,"Platform","UI","bokowski","NEW"," ---","Missing @since tags in jface.databinding","2019-09-06 15:32:20"
227566,"Platform","IDE","bokowski","NEW"," ---","can't override ""default"" file association with content type in associated editors","2019-09-06 16:12:35"
229862,"Platform","UI","bokowski","NEW"," ---","Table columns dialog values field - pixels an odd metaphor for user","2019-09-06 15:35:00"
232655,"Platform","UI","bokowski","NEW"," ---","Multiple performance regressions","2019-09-06 16:13:25"
232656,"Platform","UI","bokowski","NEW"," ---","Performance regression: testEditorSwitch:perf_outline,java","2019-09-06 15:32:45"
233563,"Platform","UI","bokowski","NEW"," ---","[DataBinding] StringToNumberConverter cannot convert 1.0e10","2019-09-06 16:06:01"
234076,"Platform","Doc","bokowski","NEW"," ---","API guidelines wrong regarding binary breakage when adding fields","2019-09-06 16:08:16"
237359,"Platform","UI","bokowski","NEW"," ---","[DataBinding] Create snippet for p2 filtered/checkbox/async tree","2019-09-06 16:11:28"
238222,"Platform","UI","bokowski","NEW"," ---","[DataBinding] Converted values not seen in Text","2013-05-08 11:47:31"
239904,"Platform","UI","bokowski","NEW"," ---","Expose o.e.jdt.internal.ui.preferences.ProjectSelectionDialog as API","2015-04-07 18:05:06"
242495,"Platform","UI","bokowski","NEW"," ---","[DataBinding] Correctly set the staleness state of the validation status observable of Bindings","2019-09-06 16:09:27"
243380,"Platform","Incubator","bokowski","NEW"," ---","[Databinding] JFace Databinding DOM  project","2013-12-26 11:26:16"
252612,"Platform","UI","bokowski","NEW"," ---","[DataBinding] UI is not kept in sync during EMF transaction rollbacks","2019-09-06 15:36:29"
260243,"Platform","UI","bokowski","NEW"," ---","[FilteredTree] FilteredTree2 with a ColumnPatternMatcher ?","2019-09-06 16:15:56"
267844,"Platform","UI","bokowski","NEW"," ---","[JFace] Changeable icon sets by user.","2019-09-06 16:18:13"
270883,"Platform","UI","bokowski","NEW"," ---","UI Test failures on Cocoa","2019-09-06 15:31:25"
277159,"Platform","IDE","bokowski","NEW"," ---","Bryan's hard to reproduce 3.5 issues","2019-09-06 16:16:07"
285794,"Platform","UI","bokowski","NEW"," ---","Test failure on Linux: EvaluationServiceTest.testRestriction","2019-09-06 16:10:51"
257239,"Platform","Releng","camle","NEW"," ---","Japanese Java Development User's Guide title in English","2019-09-06 15:31:28"
