"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
244699,"QVTo","UI","alexander.igdalov","NEW"," ---","QVTO editor: Mappings shifted rightwards when enter pressed","2008-08-20 10:12:42"
248708,"QVTo","UI","alexander.igdalov","NEW"," ---","QVTO codesense: Implement collectSelect* template","2008-09-26 06:50:37"
250400,"QVTo","Engine","alexander.igdalov","NEW"," ---","QVTO grammar: Split QVTO CST into ImperativeOCL and  QVTOperational packages","2008-10-10 05:18:09"
250769,"QVTo","UI","alexander.igdalov","NEW"," ---","Code assist should support in transformation instantiation expression","2009-02-24 07:45:57"
252194,"QVTo","UI","alexander.igdalov","NEW"," ---","QVTO codesense: Support simple definition for helpers","2008-10-27 10:37:05"
256899,"QVTo","UI","alexander.igdalov","NEW"," ---","QVTO Codesense: Support QVTO scripts with unit_elements between or after imperative operations","2009-02-24 07:45:54"
257134,"QVTo","Engine","alexander.igdalov","NEW"," ---","QVTO Codesense: Support QVTO scripts with module_elements within transformation/library elements","2009-04-08 06:21:19"
262761,"QVTo","UI","alexander.igdalov","NEW"," ---","Code assist does not work in Collection literals","2009-01-28 10:03:46"
276855,"QVTo","UI","alexander.igdalov","NEW"," ---","QVTO codesense: catch and log possible exception instead of showing an error-dialog","2009-05-19 06:26:40"
252570,"QVTo","Engine","dvorak.radek","NEW"," ---","Report an error on black-box operation declarations in non-blackbox modules","2014-02-03 04:18:50"
255079,"QVTo","UI","dvorak.radek","NEW"," ---","Improve QVT Transformation wizard","2009-05-28 13:01:32"
269251,"QVTo","Engine","dvorak.radek","NEW"," ---","Provide unit-test for metamodel specific issue #269245","2009-03-18 13:34:45"
282645,"QVTo","Engine","dvorak.radek","NEW"," ---","Invocation API should support trace generation","2011-11-16 14:08:33"
295170,"QVTo","Engine","dvorak.radek","NEW"," ---","Compiler should report error for Model::createEmptyModel() call","2013-12-05 03:00:45"
295814,"QVTo","Engine","dvorak.radek","NEW"," ---","Preserve ordering in Element::subobjects() family of operations","2013-04-04 09:22:10"
318937,"QVTo","UI","mmt-atl.web-inbox","NEW"," ---","QVTo Metamodel Explorer View: show the plugin in the property view that registers the selected metamodel","2010-07-16 23:26:12"
234592,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Support finer contexts for QVT editor templates","2008-05-29 07:54:04"
234593,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Solve the mapping operation re-entrancy issue","2016-05-10 04:32:56"
235135,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","QVTO codesense should be aware of Stdlib operations defined on Model and Element","2008-06-02 09:50:22"
245108,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Improve wizard visibility","2008-08-26 10:18:42"
255098,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Provide compile-time check for access to unintialized 'result' variable","2008-11-12 15:14:50"
259084,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","[QVTo] An OMG compliant QVTo Standard Library is needed","2008-12-23 10:32:38"
265151,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Move all create* methods implementation out of AbstractQVTParser into the dedicated factory class","2009-02-17 08:28:29"
279458,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Memory Leak in Intermediate Properties","2009-09-01 06:56:08"
285761,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Errors found in Java Properties Files","2009-08-12 10:25:15"
289977,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Provide API for enablement of QVT libraries in OCL","2009-10-24 15:01:58"
295193,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","Support for UML.loadModel(""uri"")","2018-05-11 07:16:10"
296632,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Code completion ignores intermediate properties","2012-09-05 11:08:52"
299853,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","potential problems in some properties files in m2m-qvtoml-runtime","2010-01-16 14:37:08"
303243,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Translation Question - WSW36#006.4","2010-02-18 16:03:54"
303496,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Translation Question - WSW36#015","2010-02-22 10:42:15"
303497,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Translation Question - WSW36#018","2010-02-22 10:44:08"
303498,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Translation Question - WSW36#009","2010-02-22 10:46:14"
304546,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","Translation Question - WSW36#031.2","2010-03-03 11:54:05"
319077,"QVTo","Doc","mmt-qvt.operational-inbox","NEW"," ---","QVTo Developer Guide missing Ant task 'configProperty' explanation","2010-07-07 02:40:31"
320149,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","QVTo: java.lang.UnsupportedOperationException (subsetting & redefining properties)","2014-04-18 01:23:06"
325305,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","QVTo: Transformation events for usage data reporting and for tracking the artifacts involved (in, inout, out, trace, transfo)","2010-09-15 00:09:39"
347215,"QVTo","UI","mmt-qvt.operational-inbox","NEW"," ---","QVTO Editor UI: Javadoc-style hover info providers.","2011-05-25 15:06:26"
352958,"QVTo","Engine","mmt-qvt.operational-inbox","NEW"," ---","org.eclipse.m2m.internal.qvt.oml.ast.env.QvtOperationalEvaluationEnv needs to override org.eclipse.ocl.ecore.EcoreEvaluationEnvironment.createTuple(EClassifier, Map<EStructuralFeature, Object>) for TupleTypes with Dictionaries or Lists","2014-03-23 08:15:22"
