"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
489541,"RAP","JFace","rap-inbox","NEW"," ---","BindingManager removes ACTIVE_KEY/CANCEL_KEY set by the Application","2019-05-27 04:00:19"
490078,"RAP","RWT","rap-inbox","NEW"," ---","CCombo does not show horizontal scrollbars","2016-03-21 09:58:07"
491802,"RAP","Tools","rap-inbox","NEW"," ---","Adapt to 'Terminate and Relaunch' in debug platform","2016-04-15 10:14:45"
493226,"RAP","JFace","rap-inbox","NEW"," ---","Table Scroll behaviour in narrow tables with a FocusCellManager","2016-05-09 10:29:23"
506829,"RAP","RWT","rap-inbox","NEW"," ---","[CTabItem] Rounded Border On Unselected Item","2016-11-01 08:36:02"
514933,"RAP","RWT","rap-inbox","NEW"," ---","Divergent focus event behavior between SWT and RWT","2017-04-10 10:47:32"
516039,"RAP","RWT","rap-inbox","NEW"," ---","Text Field with SWT.PASSWORD Style Flag should encrypt its content","2018-10-14 23:58:01"
516953,"RAP","RWT","rap-inbox","NEW"," ---","Possibility to add parameters to script/theme-URLs in StartupPage","2017-05-30 10:15:01"
517521,"RAP","Website","rap-inbox","NEW"," ---","Rubix4Eclipse - Business Applications Platform","2018-03-26 10:07:23"
517750,"RAP","Workbench","rap-inbox","NEW"," ---","Widget Disposed Error at Decorations.saveFocus","2017-06-16 03:23:41"
517829,"RAP","RWT","rap-inbox","NEW"," ---","Client-side MouseListener for Canvas inside ScrolledComposite gets wrong mouse coords","2017-06-21 11:43:56"
520152,"RAP","RWT","rap-inbox","NEW"," ---","SimpleLifeCycle$SimpleUIThreadHolder can not be serialized","2017-08-05 08:11:20"
520210,"RAP","Workbench","rap-inbox","NEW"," ---","Exceptions during workbench shutdown","2017-07-27 01:14:33"
520590,"RAP","RWT","rap-inbox","NEW"," ---","Generated Image replication does not work reliably","2017-08-05 08:07:46"
520802,"RAP","RWT","rap-inbox","NEW"," ---","No caret position if string is dropped into text field","2017-08-10 03:59:44"
521442,"RAP","RWT","rap-inbox","NEW"," ---","RWTClusterSupport's call to attachToHttpSession leads to session destruction on GF4","2018-05-07 05:14:33"
522165,"RAP","Other","rap-inbox","NEW"," ---","Eclipse RAP+EMF Target Dependency Missing","2018-03-27 08:49:50"
526398,"RAP","RWT","rap-inbox","NEW"," ---","Feature request: Allow mapping a subpath to a service handler","2018-04-02 05:13:10"
526498,"RAP","RWT","rap-inbox","NEW"," ---","UIThreadListeners should be nested correctly","2017-10-26 07:11:21"
529165,"RAP","RWT","rap-inbox","NEW"," ---","Storing ATTR_LAST_RESPONSE_MESSAGE bloats session","2018-01-03 04:37:10"
530770,"RAP","Other","rap-inbox","NEW"," ---","[Maven] Inexplicit dependencies in final releases 3.1.1 and 3.1.2","2018-02-06 05:36:10"
530897,"RAP","RWT","rap-inbox","NEW"," ---","allow font-size and font-weight css properties","2019-08-05 06:56:44"
531450,"RAP","RWT","rap-inbox","NEW"," ---","Label with Thai text is cropped under certain circumstances","2018-04-05 06:27:33"
537087,"RAP","RWT","rap-inbox","NEW"," ---","Non-moveable text filed cursor while tapping android touch screen","2018-07-17 15:02:52"
538195,"RAP","RWT","rap-inbox","NEW"," ---","FormText widget: problems with ""&amp;""","2018-08-23 04:03:32"
538362,"RAP","JFace","rap-inbox","NEW"," ---","GridEditor not re-layouted on client-side row-height change","2018-08-28 11:21:02"
540934,"RAP","Releng","rap-inbox","NEW"," ---","Provide .target File for RAP Developers","2019-07-08 05:51:39"
541718,"RAP","RWT","rap-inbox","NEW"," ---","Display not disposing","2019-01-28 04:10:43"
542877,"RAP","RWT","rap-inbox","NEW"," ---","TableCursor class does NOT exist on RAP","2019-01-22 04:12:13"
543144,"RAP","RWT","rap-inbox","NEW"," ---","RAP can use TabeCurosr and TreeCursor","2019-01-03 06:52:53"
543448,"RAP","RWT","rap-inbox","NEW"," ---","Wrong focus set because of delayed call to widget.focus in Display.js","2019-01-15 09:26:43"
547234,"RAP","RWT","rap-inbox","NEW"," ---","RWT.BADGE AND COLOR","2020-01-14 09:14:52"
547302,"RAP","Other","rap-inbox","NEW"," ---","Text does not trigger focus event when navigating from Browser widget","2019-05-15 04:51:36"
548093,"RAP","Website","rap-inbox","NEW"," ---","Error ""server seems to be temporarily unavailable"" when downloading a file","2019-10-25 04:40:26"
548670,"RAP","RWT","rap-inbox","NEW"," ---","DateTime widget does not support 12-hour clock with AM/PM indicators","2019-07-08 05:27:49"
550337,"RAP","RWT","rap-inbox","NEW"," ---","Table Viewer using row template does not show the correct tooltip","2020-11-16 08:00:46"
552890,"RAP","RWT","rap-inbox","NEW"," ---","Index out of bound with virtual tree on selection","2020-07-20 11:44:28"
553020,"RAP","RWT","rap-inbox","NEW"," ---","[Browser] Implement missing setURL(String, String, String[]) method","2020-01-13 04:37:01"
559495,"RAP","RWT","rap-inbox","NEW"," ---","Missing resize event on custom widget","2020-04-07 08:55:57"
561064,"RAP","Workbench","rap-inbox","NEW"," ---","NPE at org.eclipse.e4.ui.internal.workbench.UIEventPublisher.notifyChanged(UIEventPublisher.java:59)","2020-04-14 07:28:26"
561185,"RAP","Releng","rap-inbox","NEW"," ---","Upgrade RAP build: Apache Maven 3.6.1 can not build Rap runtime","2020-03-17 06:53:04"
562427,"RAP","JFace","rap-inbox","NEW"," ---","org.eclipse.jface.fieldassist.ControlDecoration does not provide showHoverText(String) method","2020-04-23 04:09:55"
565470,"RAP","RWT","rap-inbox","NEW"," ---","Make Twistie images themeable","2020-07-23 06:40:32"
565576,"RAP","RWT","rap-inbox","NEW"," ---","ComboBox and TabFolder","2020-07-29 10:47:12"
565876,"RAP","RWT","rap-inbox","NEW"," ---","Touch-Scrolling not working correctly (iOS) AND position: fixed and the virtual keyboard","2020-08-10 10:27:44"
566671,"RAP","RWT","rap-inbox","NEW"," ---","[Template][Table] Unusable horizontal scroll in Table with RowTemplate","2020-09-04 07:59:16"
568751,"RAP","RWT","rap-inbox","NEW"," ---","NPE in LifeCycleServiceHandler.shutdownUISession hides other RuntimeException","2020-11-16 08:02:06"
569046,"RAP","RWT","rap-inbox","NEW"," ---","Menuitem with SWT.CASCADE without a submenu looks and behaves differently from SWT","2020-11-23 02:04:40"
