"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
280856,"RTSC","Tools","b-karunamoorthy","ASSIGNED"," ---","xgconf: Function Pointer drop-down menus are unhelpful","2013-03-14 10:12:35"
295907,"RTSC","Tools","b-karunamoorthy","ASSIGNED"," ---","XGCONF:Improve hover help support","2014-03-18 11:19:43"
301981,"RTSC","Tools","b-karunamoorthy","ASSIGNED"," ---","Show the full CDOC text in the C editor hover help","2014-03-18 11:20:20"
275400,"RTSC","Tools","d-russo","ASSIGNED"," ---","xgconf does not show help for modules created by the user","2014-02-16 11:16:43"
275985,"RTSC","Tools","d-russo","ASSIGNED"," ---","xgconf does not show platform memory map","2014-02-26 00:56:42"
288011,"RTSC","Core","d-russo","ASSIGNED"," ---","alternate implementation for module-wide configs of type String","2011-11-24 15:27:38"
324226,"RTSC","Core","d-russo","ASSIGNED"," ---","'configuro' should be built on top of shared configuration infrastructure","2014-01-22 17:29:54"
299181,"RTSC","Rta","dfriedland","ASSIGNED"," ---","host side RTA hooks (facet?) to allow other modules to contribute to rta.xml file","2014-03-04 22:01:47"
321074,"RTSC","Tools","dfriedland","ASSIGNED"," ---","xgconf and XDCtools error parser add duplicate errors to Problems view","2014-03-04 22:01:47"
326096,"RTSC","Rta","dfriedland","ASSIGNED"," ---","Move IUIATransfer to xdc.runtime","2013-01-22 16:35:48"
327272,"RTSC","Tools","dfriedland","ASSIGNED"," ---","problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".","2011-11-24 12:59:05"
293368,"RTSC","Tools","jcusano","ASSIGNED"," ---","xgconf: help links to cdoc are largely useless","2014-03-10 22:27:47"
280857,"RTSC","Tools","karl","ASSIGNED"," ---","xgconf: no way to show the memory map","2014-03-11 14:34:34"
280859,"RTSC","Tools","pgingrich","ASSIGNED"," ---","xgconf: have no GUI way to create array config params","2014-02-26 00:28:50"
280863,"RTSC","Tools","pgingrich","ASSIGNED"," ---","xgconf: If instances have required args, errors for these args do not decorate the input widget","2014-03-10 16:25:40"
