"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
556269,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Predicates: Definition is not intuitive","2016-01-13 08:57:14"
556284,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","requirements not imported from word document in case there is no chapter defined","2016-06-17 14:34:43"
556318,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","synchronize traceability data and .rdf","2016-03-18 13:51:24"
556314,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Multiline editor for requirement text","2016-03-18 06:05:56"
556312,"Reqcycle","Requirement Editor","raphael.faudou","NEW"," ---","Provide auto-numbering for requirement chapters (sections)","2016-03-17 13:24:36"
556270,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Create link and requirement in one command","2016-03-19 10:50:48"
556272,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Application of predicate does not always work immediatly","2016-03-21 05:17:12"
556273,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","Populate traceability viewer from impact analysis","2016-03-21 14:21:05"
556274,"Reqcycle","Core","reqcycle-inbox","NEW"," ---","After updated requirements, downward links shall become ""suspect""","2016-03-21 14:36:38"
556279,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","Doc import with .types configuration - cannot create several types","2016-03-16 03:24:59"
556281,"Reqcycle","requirement connector","reqcycle-inbox","NEW"," ---","technical: update WordProcessor metamodel to keep section offset in document","2016-03-17 13:54:23"
556317,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Cannot create traceability link between extended (specialized) requirements","2016-03-15 17:21:08"
556321,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Performance issue with projects containing a lot of resources","2016-03-21 10:09:25"
556322,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Extension of requirements (reachable) cannot be used for traceability","2016-06-17 17:46:10"
556323,"Reqcycle","traceability analyser","reqcycle-inbox","NEW"," ---","Traceability links in Word document","2016-06-28 08:17:33"
556309,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Requirement source name is not displayed when applying a display style","2016-01-13 06:46:46"
556310,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Editor remains empty, console says ""no resources for ReqCycle editor""","2016-03-18 06:55:33"
556311,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Editor stops working after style configuration","2016-03-16 06:22:45"
556315,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Prevent modifications on ID and text for imported requirements","2016-03-20 12:56:44"
556316,"Reqcycle","Requirement Editor","reqcycle.requirement_editor-inbox","NEW"," ---","Empty visualization if no style configuration is provided","2016-06-17 11:45:03"
556340,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","Deadlock on ""Locate""","2016-03-16 06:05:39"
556342,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","NEW"," ---","Traceability table - empty requirement ID if no configuration","2016-06-17 12:13:08"
556308,"Reqcycle","Requirement Editor","raphael.faudou","RESOLVED","FIXED","visualize images contained in imported requirements","2016-02-03 11:19:03"
556313,"Reqcycle","Requirement Editor","raphael.faudou","RESOLVED","FIXED","Cannot delete requirement created with ""local"" requirement source","2016-03-22 11:40:53"
556320,"Reqcycle","traceability analyser","raphael.faudou","RESOLVED","FIXED","Cannot define predicate on upward traceability","2016-03-22 11:38:20"
556268,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Traceability link status as mandatory attribute","2016-01-05 11:31:15"
556275,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","Predicates on the value of a link attribute","2016-03-22 10:43:00"
556277,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","Word import creates several requirements with same ID in some cases","2016-03-22 11:39:46"
556271,"Reqcycle","Core","raphael.faudou","RESOLVED","FIXED","StringEqual predicate shall allow empty value","2016-03-22 11:37:47"
556280,"Reqcycle","requirement connector","raphael.faudou","RESOLVED","FIXED","Wrong algorithm to create requirement sections when importing word document","2016-03-22 11:38:47"
556282,"Reqcycle","requirement connector","raphael.faudou","RESOLVED","FIXED","Cannot create local requirement source if another one is not more available","2016-03-22 11:37:18"
556338,"Reqcycle","Traceability Viewer","raphael.faudou","RESOLVED","FIXED","Predefined attributes for links","2016-01-05 11:34:31"
556339,"Reqcycle","Traceability Viewer","raphael.faudou","RESOLVED","FIXED","Cannot delete links if traceability path does not end with "".traceability""","2016-02-23 06:38:19"
556276,"Reqcycle","Core","reqcycle-inbox","RESOLVED","FIXED","technical: refactor code concerning deletion of traceability link","2016-03-22 10:44:12"
556278,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","keep document structure (hierarchy) for requirement containers","2016-03-17 06:01:10"
556283,"Reqcycle","requirement connector","reqcycle-inbox","RESOLVED","FIXED","Space character in requirement source name causes issues with traceability","2016-06-18 07:28:05"
556319,"Reqcycle","traceability analyser","reqcycle-inbox","RESOLVED","FIXED","Cannot delete links created in a project physically outside of current workspace","2016-03-19 08:24:57"
556341,"Reqcycle","Traceability Viewer","reqcycle.traceability_viewer-inbox","RESOLVED","FIXED","updates on traceability links are not saved immediatly","2016-03-22 10:42:27"
