"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
327450,"Riena","ridget","riena.core-inbox","NEW"," ---","Numeric/Decimal/DateTextRidget not working with RAP (due to RAP Bug #327439)","2011-08-03 14:35:16"
382731,"Riena","UI","riena.core-inbox","NEW"," ---","[RoR] Update to RAP 1.5","2012-06-29 11:43:45"
281395,"Riena","navigation","riena.navigation-inbox","NEW"," ---","duplicate autostartsequence attribute results in suppressed nodes","2016-09-28 10:53:35"
329968,"Riena","UI","achilles.sabine","NEW"," ---","Riena Navigation view is not hidable or removeable","2011-08-12 03:46:56"
258042,"Riena","UI","heiko.barth","NEW"," ---","UIProcess: Progress visualization only possible in the context of UI/Navigation","2010-02-10 01:20:34"
325469,"Riena","ridget","heiko.barth","NEW"," ---","CCombo Marker Problem ( Controller - Blocking )","2010-09-16 09:55:45"
279303,"Riena","communication","riena.communication-inbox","NEW"," ---","Race Condition on Client Startup","2011-08-10 03:33:42"
299029,"Riena","communication","riena.communication-inbox","NEW"," ---","ProxyFactory is missing a facility to set rank (or other proprties)","2010-01-07 07:41:09"
299030,"Riena","communication","riena.communication-inbox","NEW"," ---","o.e.r.c.c.f.Register should provide means to register local services as well","2010-01-07 09:17:28"
284404,"Riena","demo & examples","riena.core-inbox","NEW"," ---","mailapp2 example contribution","2009-07-23 08:09:52"
295835,"Riena","UI","riena.core-inbox","NEW"," ---","The Marker that implements IIconizableMarker is not visible in the navigation tree","2011-07-22 07:01:50"
299757,"Riena","Releng","riena.core-inbox","NEW"," ---","Browsable HTML javadoc","2011-07-15 08:39:15"
300972,"Riena","navigation","riena.core-inbox","NEW"," ---","tooltip of submodule remains and throws exceptions if module is disposed","2011-08-03 14:35:15"
318568,"Riena","ridget","riena.core-inbox","NEW"," ---","Add a property for the display of Log messages in Eclipse databinding","2011-07-22 07:45:24"
321101,"Riena","Toolbox","riena.core-inbox","NEW"," ---","Possibility to set a preferred suffix of SubModuleController and -Views","2010-07-28 05:13:46"
321176,"Riena","ridget","riena.core-inbox","NEW"," ---","TreeRidgetLabelProvider - Mechanism for setting default tree images","2011-08-03 14:35:15"
322208,"Riena","UI","riena.core-inbox","NEW"," ---","Create PlatformFacade to support Riena on e4","2011-11-09 04:22:38"
322697,"Riena","communication","riena.core-inbox","NEW"," ---","[RoR] SWT Example Application - StatusLine causes a UI refresh every second","2010-09-10 10:20:17"
329020,"Riena","communication","riena.core-inbox","NEW"," ---","Fail faster when publishing disallowed services","2010-10-29 05:48:14"
329644,"Riena","communication","riena.core-inbox","NEW"," ---","Remove dependency from communication.core -> hessian","2010-11-08 05:03:12"
332391,"Riena","UI","riena.core-inbox","NEW"," ---","Marker support does not work properly when used with RAP","2011-08-03 14:35:16"
335288,"Riena","UI","riena.core-inbox","NEW"," ---","[RoR] ImageButton shows no Image in RAP","2011-01-25 05:17:07"
335616,"Riena","security","riena.core-inbox","NEW"," ---","[RoR] IPermissionCache should support multiple users (RAP)","2011-07-22 07:46:25"
335617,"Riena","UI","riena.core-inbox","NEW"," ---","[RoR] WorkAreaManager must support multiple sessions","2011-01-27 15:58:08"
335841,"Riena","ridget","riena.core-inbox","NEW"," ---","RienaCollectionRidget","2011-04-13 05:16:08"
336816,"Riena","navigation","riena.core-inbox","NEW"," ---","Easier access of navigation arguments","2011-05-30 08:34:01"
337512,"Riena","UI","riena.core-inbox","NEW"," ---","IllegalStateException in UICallbackDispatcher (on RAP)","2011-02-17 21:23:57"
337684,"Riena","Look And Feel","riena.core-inbox","NEW"," ---","[RoR] Views in workarea should have a scrollbar when browser window is small","2011-08-03 14:35:18"
338899,"Riena","Toolbox","riena.core-inbox","NEW"," ---","Unify Toolbox bundle names","2011-03-04 03:42:46"
344692,"Riena","ridget","riena.core-inbox","NEW"," ---","singleSelectionObservable is not updated in TableRidget","2011-06-09 08:24:38"
346227,"Riena","navigation","riena.core-inbox","NEW"," ---","Arrow key navigation in SubModule tree","2011-05-18 08:08:41"
346540,"Riena","UI","riena.core-inbox","NEW"," ---","UIProcess with additional properties","2011-06-16 04:38:11"
346541,"Riena","Look And Feel","riena.core-inbox","NEW"," ---","CompositeUIProcess","2011-05-20 04:31:35"
346643,"Riena","UI","riena.core-inbox","NEW"," ---","Text not copied to Ridget on Button press","2011-05-20 07:26:39"
346644,"Riena","UI","riena.core-inbox","NEW"," ---","Methods in SubModuleController to check allMandatory Markers and all Error Markers","2011-05-20 07:34:40"
346647,"Riena","UI","riena.core-inbox","NEW"," ---","Event when Form is ready to be submitted","2011-05-20 07:35:20"
346677,"Riena","ridget","riena.core-inbox","NEW"," ---","make TableViewer and TreeViewer a protected property","2011-05-20 09:41:57"
347905,"Riena","communication","riena.core-inbox","NEW"," ---","Transfering a Map containing a Float via a Hessian connection converts the Float to a Double.","2011-06-01 06:25:43"
349012,"Riena","ridget","riena.core-inbox","NEW"," ---","Setting Alignment when using automatic TableColumn creation","2011-06-10 07:44:30"
349648,"Riena","UI","riena.core-inbox","NEW"," ---","Refactor StatuslineUIProcessRidget such that it uses the Job-API","2011-06-17 02:48:13"
349674,"Riena","navigation","riena.core-inbox","NEW"," ---","Reject NavigationNodes without NavigationNodeIds","2011-06-17 07:51:50"
