"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
388887,"STEM","Disease","ddoerr","NEW"," ---","Integration of a Food-borne Disease Analysis View","2012-09-27 11:17:51"
397492,"STEM","Disease","khu","NEW"," ---","wrong order of equations for calculating logarithmic sum in FBD model","2013-01-04 18:57:33"
379190,"STEM","Core","sedlund","NEW"," ---","Triggers are not draggable into models","2012-09-10 17:20:34"
408797,"STEM","UI","sedlund","NEW"," ---","Renaming Projects AND Copying between projects","2013-05-30 04:29:01"
409540,"STEM","Simulation","sedlund","NEW"," ---","Make solvers ""first class"" objects.","2013-07-23 20:30:16"
376357,"STEM","Analysis","stem.analysis-inbox","NEW"," ---","unassigned bug test","2012-04-09 16:23:20"
513636,"STEM","Core","stem.core-inbox","NEW"," ---","Create option to log internal parameters over time, e.g. t or parameters created by the user with the Model Creator","2017-03-14 06:30:18"
515654,"STEM","Disease","stem.disease-inbox","NEW"," ---","Calculating disease model with model generator: Trouble with multiple aging populations","2017-04-24 04:19:31"
444882,"STEM","Simulation","stem.simulation-inbox","NEW"," ---","Improve Google Earth Support","2014-09-23 17:53:23"
393908,"STEM","UI","stem.ui-inbox","NEW"," ---","Support for a community model repository","2012-11-08 14:26:04"
425212,"STEM","UI","stem.ui-inbox","NEW"," ---","Discussion: How should STEM behave when dragging/deleting components?","2014-01-09 11:49:44"
498317,"STEM","UI","stem.ui-inbox","NEW"," ---","New Infector location picking - supports only one Graph inside the project","2016-07-21 21:27:18"
395845,"STEM","UI","Alexander.Falenski","ASSIGNED"," ---","Improve Naming of Decorators and GUI","2013-01-17 12:23:39"
372770,"STEM","Core","christian.thoens","ASSIGNED"," ---","Feature Request: Import Discrete Population Transportation Events in STEM","2012-09-11 07:55:30"
380381,"STEM","Disease","christian.thoens","ASSIGNED"," ---","Feature Request: Constant Disease Initializer that sets the comparment to specific values at every time step","2012-07-25 10:38:26"
386907,"STEM","UI","christian.thoens","ASSIGNED"," ---","Feature Request: Export of map view as PNG and SVG","2012-09-11 06:31:13"
395529,"STEM","UI","christian.thoens","ASSIGNED"," ---","New ""modern"" and ""interactive"" Map View","2013-01-17 12:21:37"
398413,"STEM","UI","christian.thoens","ASSIGNED"," ---","Extend canonical graph editor -> draw other shapes than squares","2013-07-26 11:59:05"
292437,"STEM","UI","jhkauf","ASSIGNED"," ---","Some of the Strings in STEM are not properly included in a properties file for NLS translation","2011-07-18 14:49:34"
321264,"STEM","Analysis","jhkauf","ASSIGNED"," ---","The ability to specify a 'parent' node for generated graphs would be useful","2012-09-24 12:53:34"
330283,"STEM","Core","jhkauf","ASSIGNED"," ---","Assign units explicitly to all adjustable STEM parameters","2010-12-04 12:26:28"
