"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
454973,"SWTBot","Build","cdt-build-inbox","NEW"," ---","Build configurations -> Build all not enabled when eclipse launched through swtbot","2014-12-16 07:13:58"
260623,"SWTBot","EclipseBot","KetanPadegaonkar","NEW"," ---","Add a DSL for common functions to manipulate the Eclipse IDE","2009-02-01 11:38:58"
265543,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Add support for VerticalRuler control in SWTBot","2010-05-28 18:15:26"
271132,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Enable use of Display.post for creating native events","2009-08-03 14:58:55"
275294,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","support for org.eclipse.ui.forms.widgets.Twistie","2012-09-13 23:41:32"
277892,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Auto Completion Menu closes to fast","2010-02-28 17:00:05"
280562,"SWTBot","Keyboard Layouts","swtbot-inbox","NEW"," ---","support for alt+gr keys on keyboards that have the key","2013-07-08 05:48:37"
282408,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Add support for cell editor","2020-02-27 12:50:30"
282920,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Copy-Paste issue with SWTBot.","2009-10-02 14:01:17"
283513,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Keyboard typetext method can not type unicode characters","2010-07-19 03:12:23"
283609,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Provide mechanisms to work with native dialogs","2017-12-20 02:28:56"
283812,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Better synchronization support","2009-08-03 15:13:52"
283977,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","[spike] record/playback for native dialogs","2009-07-20 03:14:27"
285857,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Consider moving some API to internal packages","2010-03-29 13:34:51"
285893,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","[Investigate] Consider other convention for API","2009-08-06 11:15:34"
286055,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","recursive expandNode needs display boundary limit","2009-08-10 17:54:33"
287757,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Provide an option to enable use of Regex in place of String parameters","2010-07-23 05:38:45"
291614,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Unable to use View-Toolbar Button from Properties View","2010-08-08 10:46:41"
292205,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Cannot click compound contribution menu item in view toolbar drop down button","2014-11-11 10:12:04"
292953,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Workaround for Native Dialogs: Substitute them with non-native stand-ins","2010-04-10 14:29:31"
293507,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Add support to locate a control in a tree table cell","2010-03-19 11:19:57"
298814,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Add collapse all method for SWTBotTree","2010-01-11 03:51:38"
299648,"SWTBot","GEFBot","swtbot-inbox","NEW"," ---","Improve API for searching for edit parts","2010-03-19 11:19:37"
301641,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Allow clients to set the SWTBotStyledText in an SWTBotEclipseEditor","2010-10-27 17:37:32"
305189,"SWTBot","GEFBot","swtbot-inbox","NEW"," ---","add reveal method to SWTBotGefEditPart","2013-05-30 03:44:08"
306849,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Add bot.buttons(matcher) and bot.button(matcher) methods","2017-05-15 11:06:55"
306851,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Additional composite text/regex matchers","2014-06-23 05:34:51"
308525,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","Not possible to find a TableColumn by id","2010-04-08 21:19:06"
308735,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","SWTBot test suite should not depend on a specific Keyboard Layout","2013-07-08 05:46:24"
308736,"SWTBot","SWTBot","swtbot-inbox","NEW"," ---","SWTBotToolbarDropDownButton#click not working on Cocoa","2010-05-27 08:22:26"
309257,"SWTBot","EclipseBot","swtbot-inbox","NEW"," ---","Allow setting default launch config options for a particular test plugin","2010-04-15 01:07:02"
