"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
427769,"Sapphire","ui","gregory.amerson","NEW"," ---","Support messages on FormPage","2015-05-26 10:54:21"
330698,"Sapphire","ui","konstantin","NEW"," ---","Need option to render integer value property as spinner","2011-05-09 14:33:52"
333524,"Sapphire","ui","konstantin","NEW"," ---","Enablement of ""show in source"" action is problematic","2011-05-09 14:40:55"
343221,"Sapphire","ui","konstantin","NEW"," ---","Typing in the source view sometimes removes just typed characters","2012-05-30 13:52:57"
345046,"Sapphire","ui","konstantin","NEW"," ---","Separate dependency on org.eclipse.core.runtime (part 2)","2012-05-17 17:05:55"
345183,"Sapphire","ui","konstantin","NEW"," ---","Separate dependency on org.eclipse.core.resources (part 2)","2012-05-17 17:05:56"
346581,"Sapphire","ui","konstantin","NEW"," ---","Need support to display Multiple choice list check box horizontally","2012-04-09 13:45:06"
349103,"Sapphire","ui","konstantin","NEW"," ---","Flicker when selecting an item from a check box list","2012-06-04 17:24:10"
350721,"Sapphire","modeling","konstantin","NEW"," ---","Documentation needed for Sapphire services","2012-06-11 13:07:11"
353359,"Sapphire","ui","konstantin","NEW"," ---","Support multiple content outline nodes per element","2012-05-17 17:53:17"
356744,"Sapphire","ui","konstantin","NEW"," ---","Implement ContentProposalService for Java types","2012-04-10 00:19:02"
357949,"Sapphire","ui","konstantin","NEW"," ---","Parameter Substitution for Presentation Hints","2011-09-16 14:39:05"
362256,"Sapphire","ui","konstantin","NEW"," ---","The visible-when should only initialize the appropriate branch with attached condition","2012-05-30 13:55:04"
365774,"Sapphire","modeling","konstantin","NEW"," ---","No self closing XML Tag when the tag is empty","2011-12-07 12:33:31"
372271,"Sapphire","ui","konstantin","NEW"," ---","Enhancements to CheckBoxListPropertyEditorRenderer","2012-05-21 17:46:31"
374826,"Sapphire","ui","konstantin","NEW"," ---","Merge section and group parts","2015-05-26 10:54:26"
374868,"Sapphire","ui","konstantin","NEW"," ---","Collapsible UI section with lighter-weight presentation","2015-05-26 10:54:23"
376222,"Sapphire","ui","konstantin","NEW"," ---","Support dynamic property @ReadOnly state","2012-05-21 17:47:58"
379759,"Sapphire","ui","konstantin","NEW"," ---","Enablement state of java type creation action doesn't update until cell editor is dismissed","2012-05-30 13:54:32"
381609,"Sapphire","modeling","konstantin","NEW"," ---","Element is automatically removed if its attributes are removed in source editor","2012-06-04 17:21:54"
382317,"Sapphire","ui","konstantin","NEW"," ---","Form editor should hook up with global select all and delete actions","2012-06-11 23:08:14"
382775,"Sapphire","ui","konstantin","NEW"," ---","Make PropertyEditorAssistContributor into a service","2012-10-22 17:58:59"
382811,"Sapphire","ui","konstantin","NEW"," ---","Support find action in the diagram","2012-10-22 17:57:22"
385577,"Sapphire","ui","konstantin","NEW"," ---","Add actions in content outline should not be disabled when filtering","2012-10-22 17:58:06"
423743,"Sapphire","ui","konstantin","NEW"," ---","Disable restore default action if there is nothing to restore","2014-02-12 16:07:24"
449519,"Sapphire","ui","konstantin","NEW"," ---","Pin property view to current selection has no effect in sapphire editor","2015-06-03 14:12:05"
489396,"Sapphire","ui","konstantin","NEW"," ---","Can't control Enum property order","2016-09-30 16:24:07"
527366,"Sapphire","Diagrams","konstantin","NEW"," ---","Sapphire uses internal FormUtil API that was changed in Oxygen","2017-11-16 13:54:02"
332681,"Sapphire","ui","ling.hao","NEW"," ---","Scroll bars flash briefly when reducing canvas width","2012-05-30 13:53:07"
329072,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Browsing and validation for Java class properties outside of Java projects","2010-10-29 13:35:29"
329080,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Create model validation builder to surface problems in problems view","2016-04-04 05:05:12"
354075,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Wizard for creating new model element interface","2011-09-04 13:05:42"
373366,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","DerivedListService","2012-05-18 09:36:55"
373369,"Sapphire","modeling","sapphire.modeling-inbox","NEW"," ---","Runtime provided UI layout","2012-05-18 09:37:03"
