"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
432261,"Scada","Drivers","scada-inbox","NEW"," ---","make all ""classic"" drivers also configurable within the master server","2016-02-24 03:33:17"
432240,"Scada","Deployment","jreimann","NEW"," ---","optimize Windows MSI creation (download only once, multiple msi)","2016-10-24 09:46:44"
430509,"Scada","HMI","scada-inbox","NEW"," ---","VI Symbols should support color gradients in background","2016-02-24 03:33:30"
432236,"Scada","IDE","scada-inbox","NEW"," ---","ESAC should support bulk write","2016-02-24 03:33:37"
432237,"Scada","HMI","scada-inbox","NEW"," ---","VI Out of the box Action Buttons","2016-02-24 03:33:30"
432238,"Scada","HMI","scada-inbox","NEW"," ---","VI Support for multiple (fallback) fonts","2016-02-24 03:33:25"
432239,"Scada","HMI","scada-inbox","NEW"," ---","Windows Service Stop for Equinox based servers doesn't work","2016-02-24 03:33:36"
432244,"Scada","IDE","scada-inbox","NEW"," ---","Optimize/Provide Export Configuration","2016-02-24 03:33:36"
432251,"Scada","Drivers","scada-inbox","NEW"," ---","Move Utgard from openSCADA to Eclipse SCADA","2015-07-06 09:12:27"
432252,"Scada","Drivers","scada-inbox","NEW"," ---","Move SNMP driver from openSCADA to Eclipse SCADA","2016-02-24 03:33:25"
437649,"Scada","HMI","scada-inbox","NEW"," ---","Detail dialogs use up to many handles","2016-02-24 03:33:37"
437655,"Scada","Core","scada-inbox","NEW"," ---","conditional demote","2016-02-24 03:33:28"
471931,"Scada","Core","scada-inbox","NEW"," ---","Evaluate hdserver export via Jersey","2016-02-24 03:33:24"
471932,"Scada","Core","scada-inbox","NEW"," ---","enable embedded jetty to create access log via logback","2016-02-24 03:33:19"
471936,"Scada","IDE","scada-inbox","NEW"," ---","The proxy item should be available as a component in the Component Model","2016-02-24 03:34:30"
471939,"Scada","IDE","scada-inbox","NEW"," ---","Placeholder replacement in profile configuration","2016-02-24 03:34:36"
471940,"Scada","Core","scada-inbox","NEW"," ---","add FilterItem","2016-02-24 03:33:26"
472492,"Scada","Drivers","scada-inbox","NEW"," ---","Apache Thrift support","2016-02-24 03:33:19"
472711,"Scada","Drivers","scada-inbox","NEW"," ---","Create tabular query for JDBC driver","2016-02-24 03:33:23"
432727,"Scada","IDE","jreimann","ASSIGNED"," ---","Adding a Input/Output definition in configuration is buggy","2016-02-24 03:34:18"
432277,"Scada","Core","juergen.rose","ASSIGNED"," ---","Base Average implementation on Buffer","2016-02-24 03:33:23"
428905,"Scada","Deployment","jreimann","ASSIGNED"," ---","Provide an out of the box experience for the windows platform","2016-02-24 03:33:15"
431323,"Scada","Base","jreimann","ASSIGNED"," ---","Rework equality of the Variant type","2016-07-06 10:21:10"
432229,"Scada","HMI","jreimann","ASSIGNED"," ---","Login & Alarms Notifier moves position & gets not updated correctly","2015-07-06 07:09:15"
432256,"Scada","HMI","jreimann","ASSIGNED"," ---","VI make Border Style better configurable","2016-02-24 03:33:21"
434476,"Scada","Core","jreimann","ASSIGNED"," ---","Update Modbus implementation/configuration that multiple slaves are supported","2016-02-24 03:33:22"
446838,"Scada","IDE","jreimann","ASSIGNED"," ---","UI Server Starter needs a way to specify system arguments","2016-02-24 03:34:24"
448451,"Scada","Core","jreimann","ASSIGNED"," ---","Implement FormulaDataSource based on ScriptExecutor","2016-02-24 03:33:20"
430506,"Scada","HMI","juergen.rose","ASSIGNED"," ---","Detail Dialogs should have a configurable ""open"" permission, at the moment ""operator"" is hardcoded","2016-02-24 03:33:29"
432234,"Scada","HMI","juergen.rose","ASSIGNED"," ---","TextMultiInput fails in certain layouts","2016-02-24 03:33:38"
432600,"Scada","Core","juergen.rose","ASSIGNED"," ---","Events are filled wrong for Authorization results","2016-02-24 03:33:21"
433388,"Scada","Core","juergen.rose","ASSIGNED"," ---","Remove HdHttpClient and commons-httpclient","2016-02-24 03:33:18"
434123,"Scada","Deployment","juergen.rose","ASSIGNED"," ---","Windows deployment via WIX only works if there is a master server on a system node configured","2015-07-06 09:55:26"
445065,"Scada","HMI","juergen.rose","ASSIGNED"," ---","Explain how to do replacement with properties (e.g. from level) in for instance the Source of ExternalItem","2016-02-24 03:33:18"
465588,"Scada","Deployment","juergen.rose","ASSIGNED"," ---","make start scripts compatible with python 3","2016-02-24 03:33:28"
432707,"Scada","IDE","scada-inbox","ASSIGNED"," ---","Add test servers again to ESAC","2014-07-17 09:58:26"
432258,"Scada","Drivers","jreimann","ASSIGNED"," ---","Fix MQTT driver/exporter build and configuration","2016-02-24 03:33:27"
432246,"Scada","Protocols","jreimann","RESOLVED","MOVED","IEC-60870-5-104 (client)","2015-07-06 09:21:28"
432247,"Scada","Drivers","jreimann","RESOLVED","MOVED","IEC-60870-5-104 (driver)","2015-07-06 09:22:11"
432248,"Scada","Protocols","jreimann","RESOLVED","MOVED","IEC-60870-5-104 (exporter)","2015-07-06 09:22:34"
432250,"Scada","IDE","jreimann","RESOLVED","MOVED","IEC-60870-5-104 (configurator)","2018-08-31 11:31:13"
432792,"Scada","Core","juergen.rose","RESOLVED","FIXED","init method result should be used as initial value in ScriptdataSource","2016-01-21 06:56:45"
432245,"Scada","Protocols","scada-inbox","RESOLVED","MOVED","IEC-60870-5-104 (server)","2015-07-06 09:20:49"
425858,"Scada","Base","scada-inbox","CLOSED","FIXED","Forward correction in the archive is only working on one file","2014-05-02 04:29:18"
426254,"Scada","Protocols","scada-inbox","CLOSED","FIXED","Connection breaks frequently when using streaming compression","2014-05-02 04:29:16"
432243,"Scada","Core","jreimann","CLOSED","FIXED","REST API: provide way to specify aggregated values","2016-01-21 06:39:58"
432230,"Scada","HMI","jreimann","CLOSED","FIXED","VI Elements should support onMouseover/onMousein/onMouseout","2016-01-21 07:08:22"
432232,"Scada","IDE","jreimann","CLOSED","FIXED","MappedSourceValue should support DataType","2016-01-21 07:14:45"
432242,"Scada","IDE","jreimann","CLOSED","FIXED","Use jdeb to create debian packages","2016-01-21 07:15:07"
432257,"Scada","IDE","jreimann","CLOSED","FIXED","Update to use Mars instead of Kepler","2016-01-21 06:13:38"
432259,"Scada","Core","jreimann","CLOSED","FIXED","Ensure compatibility with Java 8","2015-07-06 09:37:44"
432726,"Scada","Core","jreimann","CLOSED","FIXED","set mina dependencies to < 3.0","2015-05-11 04:31:18"
433964,"Scada","HMI","jreimann","CLOSED","FIXED","ESAC should show nice timestamps","2014-09-25 06:02:18"
434008,"Scada","IDE","jreimann","CLOSED","FIXED","Add systemd support to the configurator deployment modules","2016-01-21 06:35:32"
439386,"Scada","IDE","jreimann","CLOSED","WORKSFORME","exit when click ""welcome""","2015-04-21 03:41:08"
444933,"Scada","HMI","jreimann","CLOSED","FIXED","Some VI Symbols block events to other symbols","2016-01-21 07:08:50"
