"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
358365,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","ALT GR Key forces Undo","2011-10-11 02:58:07"
350389,"Scout","Scout","andi.bur","CLOSED","WONTFIX","improve Scout RT testing support","2018-07-16 07:56:20"
325428,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","NPE if no client's available","2012-05-22 07:00:28"
343991,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Scout SDK will not install on Eclipse 4.1","2012-07-09 06:50:00"
346590,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","NullPointerException while creating search form","2012-05-22 07:01:00"
347655,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Need to extend AbstractScoutEditorPart#closePart","2012-05-22 06:32:26"
348686,"Scout","Scout","Andreas.Hoegger","CLOSED","WONTFIX","SWT: Text in string form field jumps up and down","2015-04-14 09:04:34"
349059,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","SWT: Resize of columns lead to busy cursor","2012-05-22 06:33:18"
351552,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Resolve shared bundle in sub project","2011-10-10 12:53:24"
352080,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","SWT: Multiline-Table looks a little bit poor","2012-05-22 06:34:53"
352472,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Possible Deadlock at IForm#waitFor","2012-05-22 05:55:40"
353554,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Index page of scout server is not displayed when server application is deployed as root app.","2012-05-22 06:50:17"
354509,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Not possible to store different form bounds for different instances","2012-05-22 06:36:19"
355485,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","Label of navigation tree node is changing while moving columns in the data list","2012-05-22 06:49:03"
355611,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","SearchForm generation from a TablePage does not add the generic value type for listboxes","2012-05-22 07:01:43"
355730,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Renaming a variable doesn't update the scout explorer","2012-05-22 07:03:17"
355802,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","SWT: Problem when AbstractDateField's DateChooserDialog overlaps a clickable Control","2012-05-22 06:08:07"
356743,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Proposal dialog does not reshow recently added field","2012-05-22 05:54:20"
356770,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","SWT: ColumnFilter takes wrong column if columns are reorganized","2012-05-22 06:12:50"
356800,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","SWT: NPE when hitting F5 several times on a Node","2011-10-11 02:45:46"
356821,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Icon Preview in Icons Editor does not work","2012-05-22 07:03:46"
356892,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","SDK cannot add a newly created page to the outline","2012-05-22 07:04:04"
356902,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","SmartField New Wizard should allow to select a LookupCall","2012-05-22 07:04:34"
357042,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Link with Editor does not find classes in sub projects","2012-05-22 07:05:01"
357252,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","Scout Explorer Auto Expand","2012-05-22 07:05:29"
357999,"Scout","Scout","Andreas.Hoegger","CLOSED","WONTFIX","SmartField Proposal Popup too large","2017-06-06 06:02:05"
361256,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","ServletFilters available for Scout RAP projects","2012-02-29 07:02:43"
362401,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","FIXED","SDK Support for Web projects (RAP)","2012-07-09 06:50:23"
362474,"Scout","Scout","Andreas.Hoegger","CLOSED","FIXED","NavigationHistoryService: Bookmark.getText() is different from values in Bookmark.getPath()","2012-05-22 05:53:00"
363029,"Scout","Scout SDK","Andreas.Hoegger","CLOSED","INVALID","Multiple tables with same column name in one form","2012-02-29 07:13:40"
363280,"Scout","Scout","Andreas.Hoegger","CLOSED","WONTFIX","SWT: Multi-Column sort does not work","2017-06-06 05:31:59"
347452,"Scout","Scout","christoph.thommen","CLOSED","FIXED","Missing field for Attribute-Type ""between x and y"" missing in ComposerAttributeForm","2011-06-28 08:01:39"
345184,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","Swing: SwingScoutRootFrame should adhere Java LAF","2012-07-09 06:47:44"
357388,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","SWT: enabled-state of TabItem not visible","2012-07-09 06:49:24"
361569,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","Using AlwaysIncludeSortAtBegin or AlwaysIncludeSortAtEnd flag on a column enforces setting the sortIndex to take effect on the sort order.","2012-07-09 06:50:13"
363274,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","SWT: Possibility to set LabelPosition to top of the field","2012-07-09 06:49:32"
364556,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","Wrong label position (SequenceBox, CheckBox)","2012-07-09 06:47:43"
364691,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","Swing: Nullpointer if label position is set to ON_FIELD on DateTimeField","2012-07-09 06:50:42"
365809,"Scout","Scout","claudio.guglielmo","CLOSED","FIXED","SWT: Nofication of unsaved changes in Scout Dialogs","2012-07-09 06:50:45"
359225,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","logo position in header panel","2011-10-11 03:01:50"
359429,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","Different behaviour when (drag &) dropping an object on node vs. empty space","2012-07-09 06:49:49"
360195,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","MailUtility generating MimeMessage out of Word Archive","2012-07-09 06:49:12"
361795,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","Decorater in columns (AbstractDateColumn, AbstractLongColumn, ...)","2012-07-09 06:50:53"
362483,"Scout","Scout","daniel.wiehl","CLOSED","FIXED","JAX-WS support RT","2012-07-09 06:49:30"
362485,"Scout","Scout SDK","daniel.wiehl","CLOSED","FIXED","JAX-WS support SDK","2012-07-09 06:49:41"
