"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
514839,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","Problem downloading source code","2017-04-06 06:27:24"
514840,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","Issue setting up openPASS: Setup Qt","2017-04-06 06:46:37"
530851,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","Algorithm_TrajectoryFollower_Implementation::Init() tireCoefficent typo","2018-02-07 11:03:57"
531370,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","Agent*Importer::Import(): replace returned nullptr by false","2018-02-20 04:54:28"
531371,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","DOS/Unix line ending style of source files","2018-02-20 04:51:21"
531372,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","Linux compatibility","2018-02-20 05:01:02"
531374,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","CoreShare/log.h: 64bit compatibility","2018-02-20 05:15:43"
531388,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","openPass_GUI: invalid use of non-static member function StartSimulation in ModelPcm.cpp","2018-02-20 07:41:08"
531658,"Simopenpass","General","simopenpass-inbox","UNCONFIRMED"," ---","OpenDRIVE SceneryImporter objects, signals and road marks","2018-02-26 04:25:51"
533317,"Simopenpass","General","simopenpass-inbox","NEW"," ---","License statements in file headers are inconsistent","2018-04-06 10:37:35"
530849,"Simopenpass","General","simopenpass-inbox","RESOLVED","FIXED","Dynamics_TwoTrack_Implementation::SetNextState() wrong calculation of Y position","2018-09-06 03:31:51"
