"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
396923,"Smila","Miscellaneous","smila.misc-inbox","NEW"," ---","Remove JMX client / Ontology REST API","2013-01-08 11:34:27"
411609,"Smila","Storage","smila.storages-inbox","NEW"," ---","ObjectStore implementation based on HDFS/HBase","2015-01-19 09:02:14"
453748,"Smila","Search Framework","Andreas.Weber","REOPENED"," ---","""close"" in OSGi console doesn't stop SMILA","2015-05-12 10:22:15"
435651,"Smila","Importing","Andreas.Weber","RESOLVED","FIXED","Feedcrawler should also get optional 'deltaProperties'","2015-03-19 07:22:13"
370972,"Smila","Processing","andreas.schank","CLOSED","FIXED","BPEL pipeline fails with ""Commit failed, Transaction timout"" after very long running pipelet invocation","2013-04-15 11:50:23"
397678,"Smila","Job Management","Andreas.Weber","CLOSED","FIXED","Bucket.getDataObjectNamePrefix returns null pointer Prefix","2013-01-08 11:39:26"
398861,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","WebFetcher doesn't extract website metadata","2014-05-23 09:39:44"
398962,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","FileFetcher doesn't extract metadata","2014-05-23 09:42:24"
400946,"Smila","Miscellaneous","Andreas.Weber","CLOSED","FIXED","ValueFormatHelper should support ISO 8601 time zone","2014-05-23 09:43:35"
403828,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","RecordMerger: Merge all values, not only those with a key in the target record.","2013-04-15 11:51:12"
405337,"Smila","Miscellaneous","Andreas.Weber","CLOSED","FIXED","Replacing tika dependencies bundle doesn't work without manually cleaning up OSGi cache","2014-05-23 09:49:10"
407732,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","web crawlier will claim that robots.txt prohibits crawling when using a proxy","2015-03-19 07:01:32"
408563,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","RecordMerger: Merge attachments too","2015-03-19 07:02:04"
421432,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","Provide input slot for FeedCrawlerWorker","2015-03-19 07:06:52"
430274,"Smila","Build","Andreas.Weber","CLOSED","FIXED","'deltaColumns' parameter in JdbcCrawlerWorker should not be required","2015-03-19 07:06:33"
431656,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","WebFetcher: new ErrorHandling mode 'ignore'","2015-03-19 07:07:41"
435520,"Smila","Miscellaneous","Andreas.Weber","CLOSED","FIXED","update SMILA website to support Solstice theme","2014-05-23 03:01:55"
438911,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","WebCrawler should be configurable on 40x responses to robots.txt","2014-11-19 06:10:03"
438929,"Smila","Pipelets","Andreas.Weber","CLOSED","FIXED","Adding option to filter out or keep CDATA using HtmlToTextPipelet","2015-03-19 07:08:02"
447868,"Smila","Importing","Andreas.Weber","CLOSED","FIXED","Extend the FileCrawlerService to add file access control list per file","2015-03-19 07:09:58"
452140,"Smila","Miscellaneous","Andreas.Weber","CLOSED","FIXED","Move SMILA code from SVN to Git","2015-03-19 07:08:31"
458100,"Smila","Job Management","Andreas.Weber","CLOSED","FIXED","Removing taskmanager tasks when job run is failed","2015-03-19 07:12:16"
404781,"Smila","Job Management","daniel.stucky","CLOSED","FIXED","Unique identification of worker counter","2014-05-23 09:47:51"
397589,"Smila","Job Management","juergen.schumacher","CLOSED","FIXED","(readonly) JobDefinition can be manipulated after retrieving them from DefinitionPersistence service","2015-03-19 07:01:04"
403987,"Smila","Importing","juergen.schumacher","CLOSED","FIXED","Tika error when extracting text from feed content","2014-05-23 09:45:11"
421719,"Smila","Processing","juergen.schumacher","CLOSED","FIXED","NullPointerException when running BPEL pipeline that calls a long running sub-pipeline","2015-03-19 07:04:52"
423306,"Smila","Processing","juergen.schumacher","CLOSED","FIXED","PipelineProcessorWorker: override configured pipeline in processed record","2015-03-19 07:05:28"
423434,"Smila","Processing","juergen.schumacher","CLOSED","FIXED","PipelineProcessorWorker: records with same record Id in one bulk overwrite each other.","2015-03-19 07:06:12"
448383,"Smila","Build","juergen.schumacher","CLOSED","FIXED","Smila build process should make sure previous build is done before starting","2015-03-19 07:11:09"
392146,"Smila","Search Framework","pfreytag","CLOSED","FIXED","[solr] Handle default operator given in query","2015-03-19 07:00:07"
375428,"Smila","Miscellaneous","smila.misc-inbox","CLOSED","FIXED","Missing HTTP Proxy setting causing web crawler to fail","2012-07-06 02:42:54"
408967,"Smila","Pipelets","smila.pipelets-inbox","CLOSED","FIXED","XslTransformationPipelet cannot transform into plain text","2015-03-19 07:04:00"
411604,"Smila","Processing","smila.processing-inbox","CLOSED","FIXED","Provide scripting alternative for BPEL in synchronous workflows","2015-03-19 07:11:30"
391241,"Smila","Search Framework","smila.search_framework-inbox","CLOSED","FIXED","Thr RequestParser (search servlet) does not create valid oneOf filters","2013-04-15 11:50:28"
392144,"Smila","Search Framework","smila.search_framework-inbox","CLOSED","WONTFIX","[solr] Make search parameter threshold usable with Solr","2013-04-15 07:10:25"
374130,"Smila","Processing","juergen.schumacher","CLOSED","FIXED","Validator should not ignore the extra input definition","2013-04-15 11:51:53"
406071,"Smila","Pipelets","juergen.schumacher","CLOSED","FIXED","TikaPipelet: Improve check for unsupported content types","2015-03-19 07:09:19"
406072,"Smila","Pipelets","juergen.schumacher","CLOSED","FIXED","TikaPipelet: improve logging messages","2015-03-19 07:09:28"
