"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
419458,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Usage of HashSet and HashMap does not preserve the Resources ordering","2013-10-15 09:49:46"
430531,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","ModelLoadManager forces System.gc()","2015-12-08 08:05:45"
447379,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Add support for scheduling rules in the dynamic execution of workflows","2014-10-15 10:29:58"
447395,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Class loading problem during dynamic workflow execution when workflow contains generator components","2014-10-15 11:01:25"
448041,"Sphinx","Navigator & Editor Sockets","sphinx-inbox","UNCONFIRMED"," ---","[BasicTransactionalFormEditor] addPages() method is called twice when the tool is restarted resulting in addition of FormPages twice","2014-10-21 05:52:42"
451197,"Sphinx","Scripting Support","sphinx-inbox","UNCONFIRMED"," ---","Make Class loading in BasicWorkflowRunnerOperation generic and reuseable","2014-11-12 11:37:15"
460267,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Model Reloading issue in Sphinx","2016-02-10 01:11:01"
469242,"Sphinx","Navigator & Editor Sockets","sphinx-inbox","UNCONFIRMED"," ---","Scoping in properties view of UML Example Form Editor","2015-11-17 07:06:59"
480636,"Sphinx","Core","sphinx-inbox","UNCONFIRMED"," ---","Lock on editing domain inside AbstractLoadOperation","2016-06-01 16:20:03"
482078,"Sphinx","Validation Runtime Extensions","sphinx-inbox","UNCONFIRMED"," ---","Unable to navigate from Problem Marker View to corresponding model element having a model which is distributed over multiple resources","2017-03-27 09:43:00"
402616,"Sphinx","Core","sphinx-inbox","NEW"," ---","[EMF Runtime Extensions] Improve ProxyResolutionBehavior","2013-10-01 09:39:29"
402721,"Sphinx","Core","sphinx-inbox","NEW"," ---","Memory improvements on MarkerJob","2013-03-08 04:34:15"
458637,"Sphinx","Navigator & Editor Sockets","ali.akar82","NEW"," ---","EMF Model Search","2015-01-28 08:02:18"
468651,"Sphinx","Navigator & Editor Sockets","ali.akar82","NEW"," ---","Provide custom adapter factories via meta model services","2015-05-28 11:15:16"
372314,"Sphinx","Navigator & Editor Sockets","sphinx-inbox","NEW"," ---","[Form Editor Sockets] Unsaved data is lost if the arxml file is modified through external editor","2012-12-19 11:26:22"
379664,"Sphinx","M2x IDE Integration","sphinx-inbox","NEW"," ---","[Xtend/Xpand IDE Integration] Should not allow creating an Outlet without location","2012-12-19 11:28:29"
392431,"Sphinx","Navigator & Editor Sockets","sphinx-inbox","NEW"," ---","[Graphiti Editor Sockets] Make Sphinx integration for Graphiti a regular part of Sphinx","2012-12-19 11:20:32"
394205,"Sphinx","M2x IDE Integration","sphinx-inbox","NEW"," ---","[Xtend/Xpand IDE Integration] Create an entry in Error Log when transaction in CheckJob fails","2013-05-03 08:30:10"
394730,"Sphinx","M2x IDE Integration","sphinx-inbox","NEW"," ---","[Xtend/Xpand IDE Integration] Buttons ([New], [Edit..], [Remove],...) must be enable/disable together with enable state of OutletsGroup","2013-05-03 08:30:30"
396024,"Sphinx","Core","sphinx-inbox","NEW"," ---","[Eclipse Platform Extensions] Should allow the possibility of selecting several files at a time when creating ""New linked file""","2013-05-03 08:30:47"
396825,"Sphinx","Core","sphinx-inbox","NEW"," ---","[EMF Runtime Extensions] Performance issue with ResourceProblemMarkerService","2013-05-03 08:31:05"
