"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
380036,"Subversive","Core","a.gurov","NEW"," ---","Subversion doesn't use eclipse proxy settings","2012-05-20 05:10:50"
380905,"Subversive","Core","a.gurov","NEW"," ---","Renaming a file changing just the case does a partial commit","2016-07-21 05:22:06"
384018,"Subversive","Core","a.gurov","NEW"," ---","Trust of expired certificate is volatile","2012-07-02 05:45:54"
384826,"Subversive","UI","a.gurov","NEW"," ---","Compare Editor shows truncated content of remote JSP file","2012-07-11 08:21:49"
386183,"Subversive","Core","a.gurov","NEW"," ---","Merge models should be called during all the update/merge/switch operations","2012-09-05 08:18:50"
387494,"Subversive","Core","a.gurov","NEW"," ---","History of a deleted file does not show the revision where the file was deleted","2012-09-05 08:16:41"
388170,"Subversive","Connectors","a.gurov","NEW"," ---","""Deadlock when JNA is loading"" problem on Mac OS X [using SVN Kit connector]","2015-04-16 05:59:35"
392051,"Subversive","UI","a.gurov","NEW"," ---","Add ""Revert changes from revision"" in the History view","2012-12-02 14:51:47"
392882,"Subversive","Core","a.gurov","NEW"," ---","Subversive does not handle multimodule projects correctly (maven projects etc.)","2015-09-04 10:14:30"
394344,"Subversive","Connectors","a.gurov","NEW"," ---","I get an error when I try to tag the trunk of of a project","2012-11-15 04:01:50"
394550,"Subversive","UI","a.gurov","NEW"," ---","SVN+SSH problems when not using port 22","2019-04-30 10:41:10"
407637,"Subversive","Connectors","a.gurov","NEW"," ---","""Apply incoming changes"" on added/added sets the svn:mergeinfo property too","2014-01-27 10:29:46"
409237,"Subversive","Connectors","a.gurov","NEW"," ---","svn+ssh authentication always needs confirmation","2013-06-13 12:00:06"
409967,"Subversive","UI","a.gurov","NEW"," ---","Look for projects in svn:externals","2013-06-05 10:31:13"
411341,"Subversive","Connectors","a.gurov","NEW"," ---","Synchronizations contain extra unwanted resources if selected using working sets","2013-06-21 04:24:50"
416721,"Subversive","Core","a.gurov","NEW"," ---","Patch a Working-Set create a Patch for one Project only","2013-09-06 08:02:19"
421960,"Subversive","Core","a.gurov","NEW"," ---","When merging branches, no indication that merges have already been committed","2013-11-18 08:17:53"
425900,"Subversive","Core","a.gurov","NEW"," ---","Reverting a changeset temporarily","2014-01-16 11:34:16"
427771,"Subversive","Core","a.gurov","NEW"," ---","GGTS - SVN check out never complete","2014-08-24 12:53:58"
429142,"Subversive","UI","a.gurov","NEW"," ---","In some cases merge is very slow","2014-11-01 06:36:20"
431775,"Subversive","Core","a.gurov","NEW"," ---","Typing text in svn commit comment is extremely slow","2015-10-08 08:36:25"
431952,"Subversive","UI","a.gurov","NEW"," ---","If a branch has been renamed, then a merge from that branch to another branch does not show or act upon any revisions made in that branch before the renaming","2014-04-03 15:04:03"
436122,"Subversive","Revision Graph","a.gurov","NEW"," ---","Revision Graph does not show merge info or connections","2016-06-13 04:35:53"
440526,"Subversive","UI","a.gurov","NEW"," ---","Provide an option to exclude already merged revisions","2014-07-28 05:47:42"
440733,"Subversive","Core","a.gurov","NEW"," ---","Treat replace as edit functionality not working in Eclipse Luna","2014-07-30 08:05:19"
441256,"Subversive","Core","a.gurov","NEW"," ---","Subersion changesets not promoted to the filesystem","2014-08-06 11:15:53"
442588,"Subversive","UI","a.gurov","NEW"," ---","Wishlist: implement unified diff option for multiple selected files in commit dialog","2014-08-26 10:21:56"
442671,"Subversive","Core","a.gurov","NEW"," ---","Add option to warn if submitted files contain warnings","2014-08-27 04:42:49"
443901,"Subversive","UI","a.gurov","NEW"," ---","Commit text area disabled with GTK3","2014-09-12 03:08:11"
445889,"Subversive","Connectors","a.gurov","NEW"," ---","Accented characters not correct in the patch file","2014-10-03 11:05:37"
449011,"Subversive","Integrations","a.gurov","NEW"," ---","I would like to see the current branch in the workspace title","2014-10-27 16:10:54"
452520,"Subversive","Revision Graph","a.gurov","NEW"," ---","ID-BTB7O","2014-11-20 10:16:13"
457406,"Subversive","UI","a.gurov","NEW"," ---","specific error message when returning ""attempt to write a readonly database""","2015-01-16 03:44:36"
457863,"Subversive","UI","a.gurov","NEW"," ---","Character encoding problem with JavaScript files","2015-01-19 12:39:23"
478299,"Subversive","UI","a.gurov","NEW"," ---","Lock dialog does not show the owner","2015-12-16 08:13:37"
481805,"Subversive","Connectors","a.gurov","NEW"," ---","SVNKit 1.8 makes wrong password attempts and locks user account","2015-11-16 04:45:27"
372783,"Subversive","UI","igor.burilo","NEW"," ---","Compare with Branch/Tag actions do not work with the complex branch/tag structures","2012-02-28 13:17:49"
376235,"Subversive","Core","igor.burilo","NEW"," ---","The compare editor of ""Edit conflicts"" should show only the changes coming from the merged changesets","2012-04-18 09:39:33"
388407,"Subversive","Core","a.gurov","REOPENED"," ---","When marking as merged, the file is considered as ""added""","2014-01-27 10:32:32"
471473,"Subversive","UI","a.gurov","RESOLVED","FIXED","StringIndexOutOfBoundsException in bugtraq in History View","2015-07-23 01:52:30"
376317,"Subversive","Connectors","a.gurov","RESOLVED","FIXED","SVN Connectors failed to install in Eclipse 64 bit for RCP and RAP Developers.","2012-12-23 16:31:53"
377166,"Subversive","Core","a.gurov","RESOLVED","FIXED","NPE in SVNUtility when repository is unavailable [ID-S1M7B]","2012-04-26 14:04:06"
