"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
441592,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Could not add plugin from platform properties","2014-10-07 18:46:46"
445789,"Thym","Android","thym-inbox","UNCONFIRMED"," ---","Connection failed when launching Android emulator","2015-11-06 05:26:07"
445795,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Add debugging support to all platforms","2014-10-02 11:21:27"
448105,"Thym","General","thym-inbox","UNCONFIRMED"," ---","JSDT classpath configuration process fails with [Include path contains duplicate entry] error for ionic myApp project","2016-03-18 22:59:29"
454402,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Offer a quick fix for ""Android SDK location is not defined"" exception","2016-03-18 23:22:08"
454466,"Thym","iOS","thym-inbox","UNCONFIRMED"," ---","Export native iOS project doesn't understand framework ""custom"" attribute","2014-12-08 12:17:20"
469832,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Handle npm entries that are not cordova plugins on the cordova plugin discovery wizard","2015-06-10 08:09:03"
483696,"Thym","General","thym-inbox","UNCONFIRMED"," ---","Provide action to launch Native IDE","2016-05-26 12:26:15"
484958,"Thym","General","thym-inbox","UNCONFIRMED"," ---","ResourceException below HybridProjectCreator.createBasicProject","2016-06-27 09:55:17"
472604,"Thym","General","wojciech.galanciak","UNCONFIRMED"," ---","StandInException in WPLibraryResolver.detectVersion (111)","2015-07-14 06:26:03"
447200,"Thym","General","gorkem.ercan","NEW"," ---","Support signing when exporting mobile applications","2016-03-18 23:00:22"
446234,"Thym","General","thym-inbox","NEW"," ---","Need a way to identify Thym launch configurations.","2016-06-27 09:57:08"
447223,"Thym","General","thym-inbox","NEW"," ---","New Cordova project wizard should also allow import","2014-10-15 03:13:21"
451194,"Thym","General","thym-inbox","NEW"," ---","Plugin discovery dialog does not look OK with Dark themes","2014-11-12 10:42:09"
455085,"Thym","General","thym-inbox","NEW"," ---","Handle info tag on plugin.xml","2014-12-12 14:30:02"
455105,"Thym","General","thym-inbox","NEW"," ---","Drag and Drop Cordova plugin installation.","2014-12-12 18:45:04"
455332,"Thym","Windows","thym-inbox","NEW"," ---","Console cannot handle national characters","2016-06-27 09:57:59"
455449,"Thym","Android","thym-inbox","NEW"," ---","Automatically guess a location for Android SDK","2014-12-17 04:28:48"
455507,"Thym","General","thym-inbox","NEW"," ---","Download Hybrid engine dialog should have a default selection","2014-12-17 11:01:39"
455982,"Thym","Android","thym-inbox","NEW"," ---","Allow device selection when multiple Android devices are connected","2014-12-22 12:45:46"
457817,"Thym","General","thym-inbox","NEW"," ---","Show hints/details when plugin registry isn't accessible","2015-01-19 05:27:20"
462447,"Thym","General","thym-inbox","NEW"," ---","Unable to read config.xml after import of a project with 'www' linked folder","2015-03-18 06:33:38"
462505,"Thym","General","thym-inbox","NEW"," ---","Run as support for package explorer","2015-03-18 15:35:54"
462765,"Thym","iOS","thym-inbox","NEW"," ---","console output for iOS","2015-03-21 11:57:18"
463004,"Thym","General","thym-inbox","NEW"," ---","Show plugin documentation on double-click","2015-03-24 13:17:26"
470384,"Thym","General","thym-inbox","NEW"," ---","Incorrect message in Import Cordova Project Wizard","2015-06-17 10:25:06"
478146,"Thym","iOS","thym-inbox","NEW"," ---","Display error dialog when no iOS SDKs are found","2015-09-23 12:06:54"
483722,"Thym","Windows","thym-inbox","NEW"," ---","Support for windows instead of wp8","2016-03-18 22:49:32"
455349,"Thym","Windows","wojciech.galanciak","NEW"," ---","[Windows Phone] Run on Real device support","2015-01-08 12:46:05"
461206,"Thym","Windows","wojciech.galanciak","NEW"," ---","Icon and Splash screen support for WP8","2015-03-18 12:30:37"
462185,"Thym","General","amisevsk","RESOLVED","FIXED","Adopt new plugin syntax for config.xml","2016-09-26 10:35:42"
483624,"Thym","General","amisevsk","RESOLVED","FIXED","Decorations for the www folder","2016-06-27 10:05:02"
439650,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Unable to download Mobile Engine v. 3.4.1 for Android","2014-07-31 01:50:20"
440753,"Thym","Releng","gorkem.ercan","RESOLVED","FIXED","Include source features/bundles in repository","2014-08-04 03:56:45"
441029,"Thym","Android","gorkem.ercan","RESOLVED","FIXED","Cannot leave 'Hybrid Mobile/Android' Preference page","2014-08-03 05:09:05"
442536,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Internal Error ""Hybrid Mobile Engine Library pre-compilation""","2014-08-27 11:27:09"
443450,"Thym","Android","gorkem.ercan","RESOLVED","FIXED","Implement resource file action for Android","2014-09-06 11:08:04"
445211,"Thym","General","gorkem.ercan","RESOLVED","FIXED","After thym installation some error log entries appears twice first is original entry, second with ""org.eclipse.thym.core"" as message","2014-09-26 13:44:51"
446315,"Thym","iOS","gorkem.ercan","RESOLVED","FIXED","Use simctl (part of Xcode 6) instead of ios-sim","2014-10-09 20:37:23"
446323,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Plug-in Discovery wizard should retrieve the catalog only if the registry tab is visible","2014-10-12 01:31:16"
446421,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Align generated html and js with the Cordova CLI one","2014-11-18 20:17:47"
457066,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Use config.xml to store engine information","2015-04-08 18:53:01"
462846,"Thym","General","gorkem.ercan","RESOLVED","FIXED","Support for independent platform releases","2015-04-08 18:54:26"
