"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
325547,"Tigerstripe","Core","danijoh2","NEW"," ---","Provide Multi-select smart copy","2010-09-30 01:01:25"
219034,"Tigerstripe","Core","erdillon","NEW"," ---","Tigerstripe's metamodel should leverage EMF","2010-08-09 22:16:27"
220345,"Tigerstripe","Core","erdillon","NEW"," ---","New MetaModel Issues","2010-08-09 22:16:45"
230942,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","ITigerstripeProfile should implement IWorkingCopy","2010-08-17 02:18:10"
240157,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Include annotations in the exported UML2 model","2008-07-14 09:18:06"
241904,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Provide option to not export abstract associations","2008-07-24 19:11:30"
245955,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Global find&replace text feature to enhance refactoring","2008-10-06 06:58:07"
249599,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Enhancement Ideas for Patterns","2008-10-07 05:48:01"
250073,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Extend custom audit functionality to allow selection of ""strictness"" and ""on-demand"" audit","2008-10-08 18:34:31"
253210,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Synonym entries in Velocity Templates for Artifact Patterns","2008-11-03 10:22:49"
258270,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Update Bulk Import menu entry","2008-12-10 12:00:40"
270582,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","XML Import does not use the latest schema","2009-03-31 06:42:23"
278012,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Array of string stereotype attribute handling","2009-05-27 05:45:26"
278691,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Open up multiplicities","2009-06-01 18:42:58"
290392,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","order of tigerstripe.xml elements changes after edit with Tigerstripe Descriptor Editor","2010-07-20 02:57:00"
304281,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Add support for static attributes and methods","2010-03-01 17:50:05"
319838,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Propose to add a primitive datatype and support in instance diagrams","2010-07-14 07:58:03"
322165,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Allow for model-element type as stereotype attribute","2012-03-01 16:06:14"
326370,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Provide related association renames on Entity rename","2012-02-14 12:15:51"
348669,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","Add support for generics to the model","2011-06-07 21:39:11"
353592,"Tigerstripe","Core","tigerstripe.core-inbox","NEW"," ---","[Usability] Automatic addition of transitive dependencies","2011-08-03 01:46:23"
219565,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Auditor reports invalid diagram error","2008-07-18 16:43:29"
220536,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Reference links are not managed in the same way as associations","2008-07-18 16:44:19"
222171,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Provide link name hiding options on instance diagrams","2008-03-11 02:57:46"
226857,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Provide diagram UML selection options","2008-04-13 22:20:15"
231743,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Allow packages to be diagrammed (package dependency diagrams)","2008-05-13 03:59:49"
235357,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Add ability to show navigation path(s) on an instance-diagram","2008-06-03 11:01:15"
241953,"Tigerstripe","Diagrams","tigerstripe.diagram-inbox","NEW"," ---","Show 'Error decoartors' on Class diagram","2008-07-24 07:12:24"
221560,"Tigerstripe","Documentation","tigerstripe.documentation-inbox","NEW"," ---","Provide XSDs for XML config files - tigerstripe.xml etc.","2010-07-14 21:14:52"
259622,"Tigerstripe","UI","tigerstripe.ui-inbox","NEW"," ---","Deployed Plugins dialog needs to indiacte M0/M1 type","2008-12-24 04:40:53"
