"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
522338,"Titan","Plug-ins","titan-inbox","UNCONFIRMED"," ---","multiple testcase choice","2017-09-15 02:14:00"
529524,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","Invoking functions from specific places are not covered with warnings or errors","2020-06-09 11:16:24"
538149,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","dual port bug","2018-08-22 04:44:50"
562849,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","RAW codec: Odd behavior of PADDING attribute","2020-06-07 03:56:16"
569238,"Titan","Core","titan-inbox","UNCONFIRMED"," ---","xsd2ttcn creates cyclical definitions","2020-12-02 11:23:23"
515533,"Titan","Core","bence.janos.szabo","NEW"," ---","report impossible connect and map statements","2017-08-15 09:02:48"
497244,"Titan","Plug-ins","titan-inbox","NEW"," ---","Open declaration sometimes does not work","2017-05-03 10:08:41"
498139,"Titan","Plug-ins","titan-inbox","NEW"," ---","Refresh problems if a file is modified or deleted outside Eclipse","2017-05-04 06:31:24"
500048,"Titan","Core","titan-inbox","NEW"," ---","Add suport for ASN.1 named numbers and named bits","2020-06-07 03:54:45"
500345,"Titan","Core","titan-inbox","NEW"," ---","Support initializing modulepar-s with modulepars","2020-06-09 11:13:26"
500801,"Titan","Core","titan-inbox","NEW"," ---","improve runtime performance by using r-value semantics","2016-09-03 11:26:05"
504053,"Titan","Core","titan-inbox","NEW"," ---","increased gcc warning levels reveal some potential casting issues","2018-08-28 02:20:47"
511384,"Titan","Plug-ins","titan-inbox","NEW"," ---","in the oneM2M tests there is a situation where fields of the anytype type are not recognised in the Designer","2017-01-31 09:11:51"
511771,"Titan","Plug-ins","titan-inbox","NEW"," ---","Test that eclipse plug in handles modified template restrictions well","2017-02-07 09:26:00"
514317,"Titan","Core","titan-inbox","NEW"," ---","Support of ranges of integer literal values in enumerated","2020-06-07 03:53:59"
519512,"Titan","Core","titan-inbox","NEW"," ---","Check if runs on clause check can be standard compliant","2020-06-09 11:06:41"
