"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
527981,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","callstack: Callgraphs should be saved to disk","2017-12-01 00:29:04"
527982,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","callstack: Scale flamegraphs at 100%","2017-12-05 10:05:16"
527987,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[Traceevent] Add markers on timegraph wrt to span events.","2017-12-01 00:31:20"
527988,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[callstack] Show callgraph","2018-03-21 13:18:48"
527989,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[traceevent] support marker events","2017-12-01 00:33:35"
527990,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[traceevent] support Object lifespan events","2017-12-01 00:36:55"
527991,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[analysis] Implement dataprovider model","2017-12-01 00:38:04"
527992,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","Build stability meta-bug","2018-03-17 22:54:40"
528017,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","callstack: Unify the callstacks and flamegraph views","2017-12-01 09:05:31"
528018,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","VM: one VM model to rule them all","2017-12-01 09:09:21"
528119,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","analyses: Let userspace augment kernel data","2017-12-04 14:34:31"
528157,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","callstack: Make arrows more official","2018-03-21 13:20:01"
531989,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Callstack Links or spans improperly generated in TraceEvent","2018-03-05 18:23:30"
532568,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","[intermittent failure] Rest unit tests fail","2018-03-17 22:54:40"
